ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"10,12-octadecadienoic acid",C094849,,Alzheimer Disease,MESH:D000544,,CASP3,9.84,,18077176
"10,12-octadecadienoic acid",C094849,,Alzheimer Disease,MESH:D000544,,PPARG,9.84,,15993441|16407166|30328325
10-(2-pyrazolylethoxy)camptothecin,C534422,,Alzheimer Disease,MESH:D000544,,CASP3,4.01,,18077176
103D5R,C496879,,Alzheimer Disease,MESH:D000544,,VEGFA,3.82,,15732116
10-decarbamoylmitomycin C,C067795,26909-37-5,Alzheimer Disease,MESH:D000544,,CASP3,2.91,,18077176
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Alzheimer Disease,MESH:D000544,,ACHE,11.99,,22944069|23047022
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Alzheimer Disease,MESH:D000544,,BCHE,11.99,,23022600
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Alzheimer Disease,MESH:D000544,,TF,11.99,,15060098|17192785
10-hydroxycamptothecin,C028098,67656-30-8,Alzheimer Disease,MESH:D000544,,BCL2,8.17,,18077176
10-hydroxycamptothecin,C028098,67656-30-8,Alzheimer Disease,MESH:D000544,,CASP3,8.17,,18077176
10-hydroxynortriptyline,C013567,1156-99-6,Alzheimer Disease,MESH:D000544,,CYP2D6,4.85,,7574463
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Alzheimer Disease,MESH:D000544,,BAX,11.28,,18077176
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Alzheimer Disease,MESH:D000544,,BCL2,11.28,,18077176
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Alzheimer Disease,MESH:D000544,,CASP3,11.28,,18077176
