ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
103D5R,C496879,,Asthma,MESH:D001249,,VEGFA,3.70,,11907124|15201500|19263519
10-hydroxycamptothecin,C028098,67656-30-8,Asthma,MESH:D001249,,BCL2,3.42,,18357729
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Asthma,MESH:D001249,,BCL2,6.59,,18357729
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Asthma,MESH:D001249,,PARP1,6.59,,18261157
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Asthma,MESH:D001249,,IL1B,8.74,,9176529
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Asthma,MESH:D001249,,TNF,8.74,600807,12356572|14681301|16456144|17450233|20049212
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,"Asthma, Occupational",MESH:D059366,,TNF,4.81,,25721048
10-nitro-oleic acid,C521487,,Asthma,MESH:D001249,,HMOX1,20.33,,18048809
10-nitro-oleic acid,C521487,,Asthma,MESH:D001249,,ICAM1,20.33,,17014439|25003170
10-nitro-oleic acid,C521487,,Asthma,MESH:D001249,,MMP9,20.33,,11742282|15131573
10-nitro-oleic acid,C521487,,Asthma,MESH:D001249,,PARP1,20.33,,18261157
10-nitro-oleic acid,C521487,,Asthma,MESH:D001249,,PLAU,20.33,,21912604
10-nitro-oleic acid,C521487,,Asthma,MESH:D001249,,TNF,20.33,600807,12356572|14681301|16456144|17450233|20049212
10-nitro-oleic acid,C521487,,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,4.16,,16502481|20485159
10-nitro-oleic acid,C521487,,"Asthma, Occupational",MESH:D059366,,PTGS2,9.56,,25721048
10-nitro-oleic acid,C521487,,"Asthma, Occupational",MESH:D059366,,TNF,9.56,,25721048
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Asthma,MESH:D001249,,PARP1,6.55,,18261157
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Asthma,MESH:D001249,,PTEN,6.55,,17982072
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,Asthma,MESH:D001249,,PARP1,3.21,,18261157
"1,10-phenanthroline",C025205,66-71-7,Asthma,MESH:D001249,,CAT,17.19,,18048809
"1,10-phenanthroline",C025205,66-71-7,Asthma,MESH:D001249,,HMOX1,17.19,,18048809
"1,10-phenanthroline",C025205,66-71-7,Asthma,MESH:D001249,,ICAM1,17.19,,17014439|25003170
"1,10-phenanthroline",C025205,66-71-7,Asthma,MESH:D001249,,MMP9,17.19,,11742282|15131573
"1,10-phenanthroline",C025205,66-71-7,Asthma,MESH:D001249,,PLAU,17.19,,21912604
"1,10-phenanthroline",C025205,66-71-7,Asthma,MESH:D001249,,SOD1,17.19,,22867017
"1,10-phenanthroline",C025205,66-71-7,Asthma,MESH:D001249,,VEGFA,17.19,,11907124|15201500|19263519
"1,1,1,2-tetrafluoro-2-chloroethane",C072959,2837-89-0,Asthma,MESH:D001249,,CYP2E1,4.44,,28807506
"11,15-dioxo-9-hydroxy-2,3,4,5-tetranorprostan-1,20-dioic acid",C527346,,"Asthma, Occupational",MESH:D059366,,PTGS1,5.68,,25721048
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Asthma,MESH:D001249,,CAT,6.07,,18048809
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Asthma,MESH:D001249,,CYP2E1,6.07,,28807506
"1,1,1-trichloroethane",C024566,71-55-6,Asthma,MESH:D001249,,CYP2E1,4.18,,28807506
"1,1,1-trichloroethane",C024566,71-55-6,Asthma,MESH:D001249,,HMOX1,4.18,,18048809
"1,12-benzoperylene",C006718,191-24-2,Asthma,MESH:D001249,,HMOX1,5.51,,18048809
"1,12-benzoperylene",C006718,191-24-2,Asthma,MESH:D001249,,IL6,5.51,,29902480
"1,12-benzoperylene",C006718,191-24-2,Asthma,MESH:D001249,,PARP1,5.51,,18261157
"1,12-benzoperylene",C006718,191-24-2,Asthma,MESH:D001249,,PTEN,5.51,,17982072
"1,12-benzoperylene",C006718,191-24-2,Asthma,MESH:D001249,,TNF,5.51,600807,12356572|14681301|16456144|17450233|20049212
"1,12-benzoperylene",C006718,191-24-2,"Asthma, Occupational",MESH:D059366,,TNF,2.70,,25721048
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Asthma,MESH:D001249,,CAT,11.06,,18048809
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Asthma,MESH:D001249,,IL6,11.06,,29902480
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Asthma,MESH:D001249,,SOD1,11.06,,22867017
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,4.58,,16502481|20485159
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,"Asthma, Occupational",MESH:D059366,,PTGS1,11.28,,25721048
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,"Asthma, Occupational",MESH:D059366,,PTGS2,11.28,,25721048
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Asthma,MESH:D001249,,CCL2,3.64,,19373627
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Asthma,MESH:D001249,,BCL2,8.76,,18357729
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Asthma,MESH:D001249,,PARP1,8.76,,18261157
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Asthma,MESH:D001249,,TGFB1,8.76,,16365456|19138248
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,"Asthma, Occupational",MESH:D059366,,TGFB1,4.23,,25721048
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Asthma,MESH:D001249,,NOS2,7.03,,19800904
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Asthma,MESH:D001249,,TNF,7.03,600807,12356572|14681301|16456144|17450233|20049212
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,"Asthma, Occupational",MESH:D059366,,TNF,4.30,,25721048
"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",C000705689,,Asthma,MESH:D001249,,CAT,5.96,,18048809
"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",C000705689,,Asthma,MESH:D001249,,SOD1,5.96,,22867017
"1,1-bis(4-hydroxyphenyl)-2-phenylbut-1-ene",C052383,91221-46-4,Asthma,MESH:D001249,,TIMP3,4.11,,16926187
11-dehydrocorticosterone,C003552,72-23-1,Asthma,MESH:D001249,,HSD11B2,9.14,,11932298
11-dehydrocorticosterone,C003552,72-23-1,Asthma,MESH:D001249,,IL6,9.14,,29902480
11-deoxyprostaglandin E1,C034008,37786-00-8,Asthma,MESH:D001249,,TNF,3.52,600807,12356572|14681301|16456144|17450233|20049212
11-deoxyprostaglandin E1,C034008,37786-00-8,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,5.16,,16502481|20485159
11-deoxyprostaglandin E1,C034008,37786-00-8,"Asthma, Occupational",MESH:D059366,,PTGS2,13.05,,25721048
11-deoxyprostaglandin E1,C034008,37786-00-8,"Asthma, Occupational",MESH:D059366,,TNF,13.05,,25721048
"1,1-dichloro-1-fluoroethane",C068320,,Asthma,MESH:D001249,,CYP2E1,4.09,,28807506
"1,1-dichloroethane",C501196,75-34-3,Asthma,MESH:D001249,,CYP2E1,4.09,,28807506
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,ARG1,37.20,,19281908|19800904
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,BCL2,37.20,,18357729
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,HMOX1,37.20,,18048809
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,HTR2A,37.20,,25322896
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,IL10,37.20,,29317916
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,IL1B,37.20,,9176529
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,IL4,37.20,,18357729
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,IL6,37.20,,29902480
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,NOS2,37.20,,19800904
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,TGFB1,37.20,,16365456|19138248
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,TNF,37.20,600807,12356572|14681301|16456144|17450233|20049212
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Asthma,MESH:D001249,,VEGFA,37.20,,11907124|15201500|19263519
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,3.73,,16502481|20485159
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Asthma, Occupational",MESH:D059366,,PTGS2,13.46,,25721048
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Asthma, Occupational",MESH:D059366,,TGFB1,13.46,,25721048
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Asthma, Occupational",MESH:D059366,,TNF,13.46,,25721048
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Asthma,MESH:D001249,,CAT,13.47,,18048809
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Asthma,MESH:D001249,,IL1B,13.47,,9176529
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Asthma,MESH:D001249,,IL6,13.47,,29902480
"11-fluoro-7-(14,14,15,15-pentafluoro-6-methyl-10-thia-6-azapentadecyl)estra-1,3-5(10)-triene-3,17-diol",C541120,,Asthma,MESH:D001249,,NQO1,3.57,,20049212
"11-hydroxy-5,8,12,14-eicosatetraenoic acid",C027356,73151-66-3,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,5.51,,16502481|20485159
"11-hydroxy-5,8,12,14-eicosatetraenoic acid",C027356,73151-66-3,"Asthma, Occupational",MESH:D059366,,PTGS2,5.42,,25721048
11-hydroxytestosterone,C037914,1816-85-9,Asthma,MESH:D001249,,HSD11B2,4.96,,11932298
11-ketotestosterone,C003600,53187-98-7,Asthma,MESH:D001249,,HSD11B2,4.28,,11932298
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Asthma,MESH:D001249,,CYP2E1,6.24,,28807506
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Asthma,MESH:D001249,,HMOX1,6.24,,18048809
1-(1-naphthyl)piperazine,C048241,57536-86-4,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,5.51,,16502481|20485159
1-(1-naphthyl)piperazine,C048241,57536-86-4,"Asthma, Occupational",MESH:D059366,,PTGS2,5.42,,25721048
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,"Asthma, Aspirin-Induced",MESH:D055963,,PTGIR,7.87,,20485159
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,"Asthma, Aspirin-Induced",MESH:D055963,,TBXA2R,7.87,,16502481|20485159
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,Asthma,MESH:D001249,,HMOX1,15.15,,18048809
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,Asthma,MESH:D001249,,IL1B,15.15,,9176529
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,Asthma,MESH:D001249,,MMP1,15.15,,24469321
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,Asthma,MESH:D001249,,MMP9,15.15,,11742282|15131573
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,4.50,,16502481|20485159
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,"Asthma, Occupational",MESH:D059366,,PTGS2,4.41,,25721048
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,Asthma,MESH:D001249,,IL10,12.54,,29317916
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,Asthma,MESH:D001249,,IL1B,12.54,,9176529
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,Asthma,MESH:D001249,,TNF,12.54,600807,12356572|14681301|16456144|17450233|20049212
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,"Asthma, Occupational",MESH:D059366,,TNF,4.46,,25721048
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Asthma,MESH:D001249,,ALOX5,23.01,600807,
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Asthma,MESH:D001249,,CCL2,23.01,,19373627
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Asthma,MESH:D001249,,IL1B,23.01,,9176529
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Asthma,MESH:D001249,,IL6,23.01,,29902480
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Asthma,MESH:D001249,,NOS2,23.01,,19800904
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Asthma,MESH:D001249,,TNF,23.01,600807,12356572|14681301|16456144|17450233|20049212
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,"Asthma, Occupational",MESH:D059366,,TNF,4.01,,25721048
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,"Asthma, Aspirin-Induced",MESH:D055963,,PTGS2,4.18,,16502481|20485159
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,"Asthma, Occupational",MESH:D059366,,PTGS2,4.08,,25721048
"1,2,3,4-tetrahydroisoquinoline",C014843,,Asthma,MESH:D001249,,IL6,3.35,,29902480
"1,2,3,4-tetrahydroisoquinoline",C014843,,"Asthma, Occupational",MESH:D059366,,PLA2G4A,5.66,,27504716
"1,2,3,5-tetrachlorobenzene",C030387,634-90-2,Asthma,MESH:D001249,,CYP2E1,4.44,,28807506
"1,2,3,7,8-pentachlorodibenzo-p-dioxin",C051452,40321-76-4,Asthma,MESH:D001249,,AREG,7.25,,15696081
"1,2,3,7,8-pentachlorodibenzo-p-dioxin",C051452,40321-76-4,Asthma,MESH:D001249,,IL5,7.25,,23266719|7540862
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Asthma,MESH:D001249,,IL10,12.83,,29317916
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Asthma,MESH:D001249,,IL1B,12.83,,9176529
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Asthma,MESH:D001249,,MMP9,12.83,,11742282|15131573
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Asthma,MESH:D001249,,TGFB1,12.83,,16365456|19138248
