ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Epilepsy,MESH:D004827,,FOS,9.08,,15973680
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Epilepsy,MESH:D004827,,KCNQ2,9.08,,16464983|29942082
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,"Epilepsy, Benign Neonatal",MESH:D020936,,KCNQ2,7.32,,19380078|26910900
"10,11-dihydro-10-hydroxycarbamazepine",C039775,,Epilepsy,MESH:D004827,therapeutic,,,,17516704
"10,11-dihydro-10-hydroxycarbamazepine",C039775,,Epilepsy,MESH:D004827,,ABCB1,4.37,,19570321|8001500
103D5R,C496879,,Epilepsy,MESH:D004827,,AKT1,3.67,,20064661
103D5R,C496879,,"Epilepsy, Temporal Lobe",MESH:D004833,,VEGFA,4.63,,17533168
10-deacetylpaclitaxel,C095360,,Epilepsy,MESH:D004827,,ABCB1,4.91,,19570321|8001500
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Epilepsy,MESH:D004827,,ALB,3.59,,15356194|17121744
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,"Epilepsy, Tonic-Clonic",MESH:D004830,,BCHE,4.13,,15121994
10-hydroxynortriptyline,C013567,1156-99-6,"Epilepsy, Tonic-Clonic",MESH:D004830,,CYP2D6,5.05,,16835697
10-nitro-oleic acid,C521487,,Epilepsy,MESH:D004827,,AKT1,2.98,,20064661
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Epilepsy,MESH:D004827,,AKT1,3.21,,20064661
"1,10-phenanthroline",C025205,66-71-7,Epilepsy,MESH:D004827,,ALB,4.57,,15356194|17121744
"1,10-phenanthroline",C025205,66-71-7,Epilepsy,MESH:D004827,,BDNF,4.57,,15282290
"1,10-phenanthroline",C025205,66-71-7,"Epilepsy, Temporal Lobe",MESH:D004833,,VEGFA,3.41,,17533168
"1,10-phenanthroline",C025205,66-71-7,"Epilepsy, Tonic-Clonic",MESH:D004830,,BDNF,5.35,,16023256
"1,10-phenanthroline",C025205,66-71-7,"Epilepsy, Tonic-Clonic",MESH:D004830,,HBEGF,5.35,,16023256
"11,12-epoxy-5,8,14-eicosatrienoic acid",C046783,,Epilepsy,MESH:D004827,,AKT1,3.33,,20064661
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,"Epilepsy, Tonic-Clonic",MESH:D004830,,CYP2D6,3.87,,16835697
"1,1,1-trichloroethane",C024566,71-55-6,Epilepsy,MESH:D004827,,GRIN2A,7.12,,20890276|23933818
"1,1,1-trichloroethane",C024566,71-55-6,Epilepsy,MESH:D004827,,GRIN2B,7.12,,16407536|29942082
"1,1,1-trichloroethane",C024566,71-55-6,Epilepsy,MESH:D004827,,OPRM1,7.12,,2415332
"1,1,1-trichloroethane",C024566,71-55-6,"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT",OMIM:245570,,GRIN2A,6.05,245570,
"1,1,1-trichloroethane",C024566,71-55-6,"Epilepsy, Rolandic",MESH:D019305,,GRIN2A,5.25,,23933819
"1,1,1-trichloroethane",C024566,71-55-6,"Myoclonic Epilepsy, Juvenile",MESH:D020190,,GABRA1,5.12,611136,
"1,12-benzoperylene",C006718,191-24-2,Epilepsy,MESH:D004827,,POLG,3.40,,18716558
"1,12-benzoperylene",C006718,191-24-2,"Epilepsy, Complex Partial",MESH:D017029,,SCN3A,4.38,,18242854
"1,12-benzoperylene",C006718,191-24-2,Pyridoxine-dependent epilepsy,MESH:C536254,,ALDH7A1,5.13,266100,28087462
"1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one",C532626,,Epilepsy,MESH:D004827,,CHRM1,5.25,,18333967
"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",C561234,,Epilepsy,MESH:D004827,,AKT1,3.55,,20064661
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Epilepsy,MESH:D004827,,TGFB1,3.10,,29483653
"1,1-bis(4-hydroxyphenyl)-2-phenylbut-1-ene",C052383,91221-46-4,"Epilepsy, Temporal Lobe",MESH:D004833,,GRM4,5.50,,15694259
"1,1-diethyl-2-hydroxy-2-nitrosohydrazine",C084012,86831-65-4,Epilepsy,MESH:D004827,,GPX1,3.93,,19499324
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Epilepsy,MESH:D004827,,AKT1,7.09,,20064661
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Epilepsy,MESH:D004827,,GFAP,7.09,,21177194
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Epilepsy,MESH:D004827,,TGFB1,7.09,,29483653
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Epilepsy, Temporal Lobe",MESH:D004833,,KDR,7.40,,17533168
