ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"10,12-octadecadienoic acid",C094849,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,PPARG,4.25,,35654975
10-(6'-plastoquinonyl)decyltriphenylphosphonium,C532038,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,STC2,4.46,,24097666
10-decarbamoylmitomycin C,C067795,26909-37-5,Non-alcoholic Fatty Liver Disease,MESH:D065626,,JAK2,3.87,,28100771
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,ATP5F1B,4.31,,25666834
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,FAS,3.70,,23127599
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,IL1B,9.25,,32613381
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,TNF,9.25,,32613381
10-nitro-oleic acid,C521487,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,TNF,2.70,,32613381
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,CSF2,11.29,,21664615
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,IL3,11.29,,21664615
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,PTEN,11.29,,26023714
"1,10-phenanthroline",C025205,66-71-7,Non-alcoholic Fatty Liver Disease,MESH:D065626,,ACE,9.52,,21664615
"1,10-phenanthroline",C025205,66-71-7,Non-alcoholic Fatty Liver Disease,MESH:D065626,,AHR,9.52,,29416063
"1,10-phenanthroline",C025205,66-71-7,Non-alcoholic Fatty Liver Disease,MESH:D065626,,CAT,9.52,,29718361
"1,10-phenanthroline",C025205,66-71-7,Non-alcoholic Fatty Liver Disease,MESH:D065626,,SREBF1,9.52,,23603006|24633463
"1,1,1,2-tetrafluoro-2-chloroethane",C072959,2837-89-0,Non-alcoholic Fatty Liver Disease,MESH:D065626,,CYP2E1,4.59,,26428356
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Non-alcoholic Fatty Liver Disease,MESH:D065626,,AHR,24.25,,29416063
