ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
103D5R,C496879,,Heart Diseases,MESH:D006331,,VEGFA,3.52,,16844662
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Heart Diseases,MESH:D006331,,ALB,3.30,,24309158
10-nitro-oleic acid,C521487,,Heart Diseases,MESH:D006331,,ABCC1,3.24,,16330681
"1,10-phenanthroline",C025205,66-71-7,Heart Diseases,MESH:D006331,,ALB,5.18,,24309158
"1,10-phenanthroline",C025205,66-71-7,Heart Diseases,MESH:D006331,,NPPB,5.18,,18004637
"1,10-phenanthroline",C025205,66-71-7,Heart Diseases,MESH:D006331,,VEGFA,5.18,,16844662
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Heart Diseases,MESH:D006331,,TH,3.95,,9822156
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Heart Diseases,MESH:D006331,,TH,3.30,,9822156
"1,1-bis(3'-indolyl)-1-(p-anisyl)methane",C545255,,Heart Diseases,MESH:D006331,,TH,4.36,,9822156
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Heart Diseases,MESH:D006331,,VEGFA,2.54,,16844662
11-hydroxyandrostenedione,C003582,564-32-9,Heart Diseases,MESH:D006331,,AGT,3.91,,19373235
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Heart Diseases,MESH:D006331,,NPPB,3.60,,18004637
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,Heart Diseases,MESH:D006331,,PTGIR,3.52,,16154102
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,Heart Diseases,MESH:D006331,,SIRT1,3.50,,23217256
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Heart Diseases,MESH:D006331,,AGT,2.83,,19373235
"1,2,4-triazole",C045575,288-88-0,Heart Diseases,MESH:D006331,,VEGFA,3.46,,16844662
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Heart Diseases,MESH:D006331,,ABCB1A,2.16,,16844662
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Heart Diseases,MESH:D006331,,HDAC1,2.16,,18625706
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Heart Diseases,MESH:D006331,,SPP1,2.16,,23558518
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Heart Diseases,MESH:D006331,,TIMP1,2.16,,23558518
"1,2-benzisothiazoline-3-one",C015699,2634-33-5,Heart Diseases,MESH:D006331,,MT2A,3.92,,16144979
"(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane",C478160,,Heart Diseases,MESH:D006331,,APEX1,3.76,,22262564
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Heart Diseases,MESH:D006331,,AGT,2.86,,19373235
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Heart Diseases,MESH:D006331,,ALB,6.55,,24309158
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Heart Diseases,MESH:D006331,,ATP2A2,6.55,,19328205
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Heart Diseases,MESH:D006331,,SIRT1,6.55,,23217256
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Heart Diseases,MESH:D006331,,TH,6.55,,9822156
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Heart Diseases,MESH:D006331,,VEGFA,6.55,,16844662
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Heart Diseases,MESH:D006331,,AGT,6.27,,19373235
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Heart Diseases,MESH:D006331,,CYBA,6.27,,16330681
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Heart Diseases,MESH:D006331,,ABCC2,2.64,,16330681
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Heart Diseases,MESH:D006331,,VEGFA,2.46,,16844662
"1,2-diethyl-3-hydroxypyridin-4-one",C068543,115900-75-9,Heart Diseases,MESH:D006331,,EPO,7.69,,16707910
"1,2-diethyl-3-hydroxypyridin-4-one",C068543,115900-75-9,Heart Diseases,MESH:D006331,,VEGFA,7.69,,16844662
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Heart Diseases,MESH:D006331,,AGT,3.96,,19373235
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Heart Diseases,MESH:D006331,,XDH,3.96,,17217956
"1,2-dilauroylphosphatidylcholine",C015153,18285-71-7,Heart Diseases,MESH:D006331,,PON1,4.28,,28396702
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,ABCB1A,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,ABCC1,8.81,,16330681
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,ADRA2A,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,ALB,8.81,,24309158
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,APEX1,8.81,,22262564
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,ATP2A2,8.81,,19328205
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,ATP5ME,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,ATP5PF,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,BSN,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,CYBA,8.81,,16330681
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,GCG,8.81,,3277781
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,HADHB,8.81,,17116638
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,HDAC1,8.81,,18625706
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,HDAC3,8.81,,18625706
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,HSPB6,8.81,,18948619
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,MT2A,8.81,,16144979
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,NCF4,8.81,,16330681
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,NPPB,8.81,,18004637
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,OGG1,8.81,,21873502
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,PNPLA2,8.81,,21585347|23867907
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,PPP2CA,8.81,,15247211
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,PSMA2,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,PTGIR,8.81,,16154102
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,RAC2,8.81,,16330681
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,RARG,8.81,,26237429
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,SCO1,8.81,,23345593
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,SFRP1,8.81,,30377735
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,SIRT1,8.81,,23217256
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,SPP1,8.81,,23558518
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,TCF4,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,TIMP1,8.81,,23558518
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,TNNT2,8.81,,17848144
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,VEGFA,8.81,,16844662
"1,2-Dimethylhydrazine",D019813,540-73-8,Heart Diseases,MESH:D006331,,XDH,8.81,,17217956
"1,2-dioleoyloxy-3-(trimethylammonium)propane",C070046,113669-21-9,Heart Diseases,MESH:D006331,,VEGFA,2.52,,16844662
"1,2-dioleoyl-sn-glycero-3-phosphoglycerol",C051388,66322-31-4,Heart Diseases,MESH:D006331,,PON1,4.42,,28396702
"1,2-dipalmitoylphosphatidylglycerol",C030345,4537-77-3,Heart Diseases,MESH:D006331,,PON1,4.97,,28396702
"1,2-dithiol-3-thione",C049325,,Heart Diseases,MESH:D006331,,ALB,4.35,,24309158
"1,2-dithiol-3-thione",C049325,,Heart Diseases,MESH:D006331,,APEX1,4.35,,22262564
