ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
103D5R,C496879,,"Hypoxia-Ischemia, Brain",MESH:D020925,,HIF1A,12.75,,23694759
103D5R,C496879,,"Hypoxia-Ischemia, Brain",MESH:D020925,,VEGFA,12.75,,23694759
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Hypoxia,MESH:D000860,,ATP5F1B,4.48,,19579223
"1,10-phenanthroline",C025205,66-71-7,Hypoxia,MESH:D000860,,BDNF,14.25,,16553631
"1,10-phenanthroline",C025205,66-71-7,Hypoxia,MESH:D000860,,CA9,14.25,,16954440
"1,10-phenanthroline",C025205,66-71-7,Hypoxia,MESH:D000860,,EGR1,14.25,,12468449
"1,10-phenanthroline",C025205,66-71-7,Hypoxia,MESH:D000860,,GAPDH,14.25,,19579223
"1,10-phenanthroline",C025205,66-71-7,Hypoxia,MESH:D000860,,SOD2,14.25,,18258771|19579223
"1,10-phenanthroline",C025205,66-71-7,"Hypoxia-Ischemia, Brain",MESH:D020925,,HIF1A,8.59,,23694759
"1,10-phenanthroline",C025205,66-71-7,"Hypoxia-Ischemia, Brain",MESH:D020925,,VEGFA,8.59,,23694759
"11,12-epoxy-5,8,14-eicosatrienoic acid",C046783,,Hypoxia,MESH:D000860,,NME1,4.47,,19579223
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Hypoxia,MESH:D000860,,ATF4,3.71,,14604972
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,"Hypoxia-Ischemia, Brain",MESH:D020925,,NOS2,4.76,,23694759
"11-deoxy-16-phenoxy-17,18,19,20-tetranorprostaglandin E1",C032405,80558-61-8,Hypoxia,MESH:D000860,,NOS3,4.88,,10956627
11-deoxyprostaglandin E1,C034008,37786-00-8,Hypoxia,MESH:D000860,,NOS3,4.53,,10956627
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Hypoxia,MESH:D000860,,MPO,3.08,,8552434
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Hypoxia-Ischemia, Brain",MESH:D020925,,HIF1A,14.28,,23694759
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Hypoxia-Ischemia, Brain",MESH:D020925,,NOS2,14.28,,23694759
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Hypoxia-Ischemia, Brain",MESH:D020925,,VEGFA,14.28,,23694759
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Hypoxia,MESH:D000860,,NPPA,4.01,,11311734
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,Hypoxia,MESH:D000860,,GNAS,3.25,,20862257
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,"Hypoxia, Brain",MESH:D002534,,ITPR2,4.47,,17285299
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,C534222,,Hypoxia,MESH:D000860,,PDYN,10.59,,11311734
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,C534222,,Hypoxia,MESH:D000860,,POMC,10.59,,11311734|24412703
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,"Hypoxia-Ischemia, Brain",MESH:D020925,,NOS2,4.46,,23694759
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Hypoxia,MESH:D000860,,BDNF,6.90,,16553631
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Hypoxia,MESH:D000860,,NOS3,6.90,,10956627
"1,2,4-triazole",C045575,288-88-0,"Hypoxia-Ischemia, Brain",MESH:D020925,,VEGFA,5.04,,23694759
"1,2,4-trimethylcyclohexane",C069243,2234-75-5,Hypoxia,MESH:D000860,,NOS1,5.54,,10956627
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Hypoxia,MESH:D000860,,ALDOB,3.02,,19579223
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Hypoxia,MESH:D000860,,EGR1,3.02,,12468449
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Hypoxia,MESH:D000860,,NOS3,3.02,,10956627
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Hypoxia,MESH:D000860,,TFPI,3.02,,23727623
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Hypoxia-Ischemia, Brain",MESH:D020925,,HIF1A,2.95,,23694759
"1,2,5,6-tetrabromocyclooctane",C540596,,Hypoxia,MESH:D000860,,AHCY,9.92,,19579223
