ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"1,12-benzoperylene",C006718,191-24-2,Diffuse Cerebral Sclerosis of Schilder,MESH:D002549,,POLG,5.71,,17923349|18716558|20138553
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,6.02,617145,
"1-(2,3-dihydrobenzo(b)(1,4)dioxin-6-yl)-4-((6-fluoropyridin-3-yl)methyl)piperazine",C570533,,"Child Development Disorders, Pervasive",MESH:D002659,,DRD4,7.31,,20731709
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Alternating hemiplegia of childhood,MESH:C536589,,ATP1A2,4.63,104290,
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Hypophosphatasia, Childhood",MESH:C562440,,ALPL,4.55,241510,
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Myopathy, Reducing Body, X-Linked, Childhood-Onset",MESH:C567468,,FHL1,4.94,300718,
"1,25-dihydroxyvitamin D",C097949,66772-14-3,"Hypercalciuria, childhood idiopathic",MESH:C536082,,KL,6.22,,20394945
"1,25-dihydroxyvitamin D",C097949,66772-14-3,"Hypophosphatasia, Childhood",MESH:C562440,,ALPL,6.13,241510,
"(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane",C478160,,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,6.26,617145,
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,5.71,617145,
"1,2-diacetylbenzene",C048792,704-00-7,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,,GPR88,7.13,616939,
"1,2-diamino-4-nitrobenzene",C012277,99-56-9,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,5.70,617145,
"1,2-Dimethylhydrazine",D019813,540-73-8,Alternating hemiplegia of childhood,MESH:C536589,,ATP1A3,3.60,614820,22842232|24631656
"1,2-Dimethylhydrazine",D019813,540-73-8,"Child Development Disorders, Pervasive",MESH:D002659,,DRD4,3.37,,20731709
"1,2-Dimethylhydrazine",D019813,540-73-8,Diffuse Cerebral Sclerosis of Schilder,MESH:D002549,,POLG,3.92,,17923349|18716558|20138553
"1,2-Dimethylhydrazine",D019813,540-73-8,"DYSTONIA, CHILDHOOD-ONSET, WITH OPTIC ATROPHY AND BASAL GANGLIA ABNORMALITIES",OMIM:617282,,MECR,3.97,617282,
"1,2-Dimethylhydrazine",D019813,540-73-8,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,3.88,617384,
"1,2-Dimethylhydrazine",D019813,540-73-8,"MONONEUROPATHY OF THE MEDIAN NERVE, MILD",OMIM:613353,,SH3TC2,4.08,613353,
"1,2-Dimethylhydrazine",D019813,540-73-8,"Myopathy, Reducing Body, X-Linked, Childhood-Onset",MESH:C567468,,FHL1,3.73,300718,
"1,2-Dimethylhydrazine",D019813,540-73-8,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,3.07,617145,
"1,2-Dimethylhydrazine",D019813,540-73-8,Sick Building Syndrome,MESH:D018877,,PNPLA6,3.78,,23418070
"1,2-Dimethylhydrazine",D019813,540-73-8,Spinal Muscular Atrophies of Childhood,MESH:D014897,,DYNC1H1,4.67,158600,
"1,2-Dimethylhydrazine",D019813,540-73-8,Spinal Muscular Atrophies of Childhood,MESH:D014897,,SMN1,4.67,253300|253400|253550,17924536
"1,2-Dimethylhydrazine",D019813,540-73-8,"STRIATONIGRAL DEGENERATION, CHILDHOOD-ONSET",OMIM:617054,,VAC14,4.06,617054,
"1,2-dithiol-3-thione",C049325,,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,4.32,617145,
1-(2-trifluoromethoxyphenyl)-2-nitroethanone,C576882,,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,5.03,617145,
1-(2-trifluoromethoxyphenyl)-2-nitroethanone,C576882,,Sick Building Syndrome,MESH:D018877,,PNPLA6,5.74,,23418070
"1,3-butadiene",C031763,106-99-0,Alternating hemiplegia of childhood,MESH:C536589,,ATP1A3,4.65,614820,22842232|24631656
"1,3-dichloro-2-propanol",C033489,96-23-1,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,5.61,617145,
"1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one",C532657,,Diffuse Cerebral Sclerosis of Schilder,MESH:D002549,,POLG,6.95,,17923349|18716558|20138553
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,4.73,617384,
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,"Hypophosphatasia, Childhood",MESH:C562440,,ALPL,4.19,241510,
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,3.92,617145,
1-(5-chloro-6-(trifluoromethoxy)-1H-benzoimidazol-2-yl)-1H-pyrazole-4-carboxylic acid,C559853,,"Hypophosphatasia, Childhood",MESH:C562440,,ALPL,7.08,241510,
15-deoxyprostaglandin J2,C477819,,"Myopathy, Reducing Body, X-Linked, Childhood-Onset",MESH:C567468,,FHL1,6.22,300718,
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,D019307,84477-87-2,"Hypophosphatasia, Childhood",MESH:C562440,,ALPL,6.07,241510,
"1,6-hexamethylene diisocyanate",C015262,822-06-0,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,,SQSTM1,5.55,617145,
18alpha-glycyrrhetinic acid,C119129,1449-05-4,"Hypophosphatasia, Childhood",MESH:C562440,,ALPL,5.88,241510,
