ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
10-decarbamoylmitomycin C,C067795,26909-37-5,Lupus Nephritis,MESH:D008181,,JAK1,4.98,,31182691
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,"Lupus Erythematosus, Systemic",MESH:D008180,,FAS,3.97,,36999444
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Lupus Nephritis,MESH:D008181,,FAS,4.60,,33632240|38555047
10-nitro-oleic acid,C521487,,"Lupus Erythematosus, Systemic",MESH:D008180,,PTGS2,3.23,,17761345
10-nitro-oleic acid,C521487,,Lupus Nephritis,MESH:D008181,,MMP9,4.06,,22479529
"1,10-phenanthroline",C025205,66-71-7,"Lupus Erythematosus, Systemic",MESH:D008180,,CAT,2.73,,27497885
"1,10-phenanthroline",C025205,66-71-7,Lupus Nephritis,MESH:D008181,,MMP9,3.55,,22479529
"1,1,1,3,3,3-hexafluoro-2-(2-fluoro-4'-((4-(pyridin-4-ylmethyl)piperazin-1-yl)methyl)-(1,1'-biphenyl)-4-yl)propan-2-ol",C575715,,"Lupus Erythematosus, Systemic",MESH:D008180,,IL21,5.54,,17911475
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,"Lupus Erythematosus, Systemic",MESH:D008180,,CAT,3.36,,27497885
"1,12-benzoperylene",C006718,191-24-2,"Lupus Erythematosus, Systemic",MESH:D008180,,IL6,2.14,,18158872
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,"Lupus Erythematosus, Systemic",MESH:D008180,,CAT,13.48,,27497885
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,"Lupus Erythematosus, Systemic",MESH:D008180,,IL6,13.48,,18158872
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,"Lupus Erythematosus, Systemic",MESH:D008180,,PTGS2,13.48,,17761345
