ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"10,12-octadecadienoic acid",C094849,,Osteoarthritis,MESH:D010003,,PPARG,4.41,,17568789
103D5R,C496879,,Osteoarthritis,MESH:D010003,,SLC2A1,4.41,,18973239
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,"Osteoarthritis, Hip",MESH:D015207,,DIABLO,5.30,,30664745
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Osteoarthritis,MESH:D010003,,IL1B,3.96,,21954917|37943572
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,"Osteoarthritis, Spine",MESH:D055013,,CXCL8,15.12,,34697729
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,"Osteoarthritis, Spine",MESH:D055013,,TNF,15.12,,34697729
10-nitro-oleic acid,C521487,,Osteoarthritis,MESH:D010003,,PTGS2,3.11,,32004530
10-nitro-oleic acid,C521487,,"Osteoarthritis, Spine",MESH:D055013,,TNF,4.40,,34697729
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Osteoarthritis,MESH:D010003,,CLIC1,4.47,,18784066
"1,10-phenanthroline",C025205,66-71-7,Osteoarthritis,MESH:D010003,,AKR1C1,14.13,,18784066
"1,10-phenanthroline",C025205,66-71-7,Osteoarthritis,MESH:D010003,,AKR1C2,14.13,,18784066
"1,10-phenanthroline",C025205,66-71-7,Osteoarthritis,MESH:D010003,,ENO1,14.13,,18784066
"1,10-phenanthroline",C025205,66-71-7,Osteoarthritis,MESH:D010003,,GAPDH,14.13,,18784066
"1,10-phenanthroline",C025205,66-71-7,Osteoarthritis,MESH:D010003,,SOD2,14.13,,15292528|18784066|22108257
"1,10-phenanthroline",C025205,66-71-7,"Osteoarthritis, Spine",MESH:D055013,,CXCL8,4.26,,34697729
