ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
103D5R,C496879,,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK1,13.03,,24894820
103D5R,C496879,,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK3,13.03,,24894820
10-decarbamoylmitomycin C,C067795,26909-37-5,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK1,11.32,,24894820
10-decarbamoylmitomycin C,C067795,26909-37-5,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK3,11.32,,24894820
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Pneumonia,MESH:D011014,,PARP1,3.31,,20561897
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Pneumonia,MESH:D011014,,IL1B,9.00,,21625544
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Pneumonia,MESH:D011014,,TNF,9.00,,21625544|28917655|34390737
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,"Pneumonia, Pneumococcal",MESH:D011018,,CXCL8,5.47,,24894820
10-nitro-oleic acid,C521487,,Pneumonia,MESH:D011014,,HMOX1,12.89,,16582079
10-nitro-oleic acid,C521487,,Pneumonia,MESH:D011014,,IKBKB,12.89,,31095431
10-nitro-oleic acid,C521487,,Pneumonia,MESH:D011014,,PARP1,12.89,,20561897
10-nitro-oleic acid,C521487,,Pneumonia,MESH:D011014,,TNF,12.89,,21625544|28917655|34390737
10-nitro-oleic acid,C521487,,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK1,10.56,,24894820
10-nitro-oleic acid,C521487,,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK3,10.56,,24894820
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Pneumonia,MESH:D011014,,CSF2,6.81,,11732872
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Pneumonia,MESH:D011014,,PARP1,6.81,,20561897
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,Pneumonia,MESH:D011014,,PARP1,3.28,,20561897
"1,10-phenanthroline",C025205,66-71-7,Pneumonia,MESH:D011014,,AHR,8.96,,23337360
"1,10-phenanthroline",C025205,66-71-7,Pneumonia,MESH:D011014,,EGR1,8.96,,29787794
"1,10-phenanthroline",C025205,66-71-7,Pneumonia,MESH:D011014,,HMOX1,8.96,,16582079
"1,10-phenanthroline",C025205,66-71-7,Pneumonia,MESH:D011014,,IL1R1,8.96,,21625544
"1,10-phenanthroline",C025205,66-71-7,"Pneumonia, Pneumococcal",MESH:D011018,,CXCL8,14.68,,24894820
"1,10-phenanthroline",C025205,66-71-7,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK1,14.68,,24894820
"1,10-phenanthroline",C025205,66-71-7,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK3,14.68,,24894820
"1,10-phenanthroline",C025205,66-71-7,"Pneumonia, Viral",MESH:D011024,,ACE,5.29,,15381116
"11,12-epoxy-5,8,14-eicosatrienoic acid",C046783,,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK1,11.84,,24894820
"11,12-epoxy-5,8,14-eicosatrienoic acid",C046783,,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK3,11.84,,24894820
"1,1,1,3,3,3-hexafluoro-2-(2-fluoro-4'-((4-(pyridin-4-ylmethyl)piperazin-1-yl)methyl)-(1,1'-biphenyl)-4-yl)propan-2-ol",C575715,,Pneumonia,MESH:D011014,,IL17A,4.48,,21625544
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Pneumonia,MESH:D011014,,AHR,3.27,,23337360
"1,1,1-trichloroethane",C024566,71-55-6,Pneumonia,MESH:D011014,,HMOX1,2.51,,16582079
"1,12-benzoperylene",C006718,191-24-2,Pneumonia,MESH:D011014,,AHR,6.14,,23337360
"1,12-benzoperylene",C006718,191-24-2,Pneumonia,MESH:D011014,,HMOX1,6.14,,16582079
"1,12-benzoperylene",C006718,191-24-2,Pneumonia,MESH:D011014,,IL6,6.14,,21625544
"1,12-benzoperylene",C006718,191-24-2,Pneumonia,MESH:D011014,,PARP1,6.14,,20561897
"1,12-benzoperylene",C006718,191-24-2,Pneumonia,MESH:D011014,,TNF,6.14,,21625544|28917655|34390737
"1,12-benzoperylene",C006718,191-24-2,"Pneumonia, Pneumococcal",MESH:D011018,,CXCL8,3.34,,24894820
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Pneumonia,MESH:D011014,,IL6,3.13,,21625544
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Pneumonia,MESH:D011014,,CASP1,13.59,,21625544
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Pneumonia,MESH:D011014,,CCL2,13.59,,21625544
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Pneumonia,MESH:D011014,,TLR4,13.59,,26882889
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Pneumonia,MESH:D011014,,PARP1,5.87,,20561897
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Pneumonia,MESH:D011014,,TGFB1,5.87,,21625544
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Pneumonia,MESH:D011014,,IFNG,7.33,,21625544
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Pneumonia,MESH:D011014,,TNF,7.33,,21625544|28917655|34390737
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,"Pneumonia, Aspiration",MESH:D011015,,NOS2,4.58,,15607125
11-dehydrocorticosterone,C003552,72-23-1,Pneumonia,MESH:D011014,,IL6,3.71,,21625544
11-deoxyprostaglandin E1,C034008,37786-00-8,Pneumonia,MESH:D011014,,TNF,3.60,,21625544|28917655|34390737
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pneumonia,MESH:D011014,,HMOX1,19.47,,16582079
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pneumonia,MESH:D011014,,IFNG,19.47,,21625544
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pneumonia,MESH:D011014,,IL1B,19.47,,21625544
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pneumonia,MESH:D011014,,IL4,19.47,,21625544
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pneumonia,MESH:D011014,,IL6,19.47,,21625544
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pneumonia,MESH:D011014,,TGFB1,19.47,,21625544
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pneumonia,MESH:D011014,,TNF,19.47,,21625544|28917655|34390737
