ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"10,12-octadecadienoic acid",C094849,,Psoriasis,MESH:D011565,,PPARG,4.50,,10815854
103D5R,C496879,,Psoriasis,MESH:D011565,,VEGFA,4.10,,16385345
10-carboxymethyl-9-acridanone,C026430,38609-97-1,Psoriasis,MESH:D011565,,TP53,4.89,,10384915
10-decarbamoylmitomycin C,C067795,26909-37-5,Psoriasis,MESH:D011565,,STAT3,12.42,,23143594
10-decarbamoylmitomycin C,C067795,26909-37-5,Psoriasis,MESH:D011565,,TP53,12.42,,10384915
10-decarbamoylmitomycin C,C067795,26909-37-5,Psoriasis,MESH:D011565,,TYK2,12.42,,20953190
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Psoriasis,MESH:D011565,,IL1B,10.07,,7744320
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Psoriasis,MESH:D011565,,TNF,10.07,,16844318|7744320
10-nitro-oleic acid,C521487,,Psoriasis,MESH:D011565,,NFKBIA,6.74,,20953190
10-nitro-oleic acid,C521487,,Psoriasis,MESH:D011565,,TNF,6.74,,16844318|7744320
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Psoriasis,MESH:D011565,,CSF2,4.07,,7744320
"1,10-phenanthroline",C025205,66-71-7,Psoriasis,MESH:D011565,,CAT,14.97,,12559600
"1,10-phenanthroline",C025205,66-71-7,Psoriasis,MESH:D011565,,SOD2,14.97,,7744320
"1,10-phenanthroline",C025205,66-71-7,Psoriasis,MESH:D011565,,STAT3,14.97,,23143594
"1,10-phenanthroline",C025205,66-71-7,Psoriasis,MESH:D011565,,TP53,14.97,,10384915
"1,10-phenanthroline",C025205,66-71-7,Psoriasis,MESH:D011565,,VEGFA,14.97,,16385345
"11,11'-dideoxyverticilin",C490191,,Psoriasis,MESH:D011565,,TP53,4.34,,10384915
"1,1,1,3,3,3-hexafluoro-2-(2-fluoro-4'-((4-(pyridin-4-ylmethyl)piperazin-1-yl)methyl)-(1,1'-biphenyl)-4-yl)propan-2-ol",C575715,,Psoriasis,MESH:D011565,,IL23R,5.64,605606,19169254|20953190|24212883
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Psoriasis,MESH:D011565,,CAT,3.33,,12559600
"1,12-benzoperylene",C006718,191-24-2,Psoriasis,MESH:D011565,,IL6,6.81,,16844318
"1,12-benzoperylene",C006718,191-24-2,Psoriasis,MESH:D011565,,LCE3D,6.81,,20953190|24212883
"1,12-benzoperylene",C006718,191-24-2,Psoriasis,MESH:D011565,,MKI67,6.81,,10384915
"1,12-benzoperylene",C006718,191-24-2,Psoriasis,MESH:D011565,,TNF,6.81,,16844318|7744320
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Psoriasis,MESH:D011565,,CAT,8.08,,12559600
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Psoriasis,MESH:D011565,,IL6,8.08,,16844318
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Psoriasis,MESH:D011565,,NOS2,13.84,,20953189
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Psoriasis,MESH:D011565,,PPARG,13.84,,10815854
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Psoriasis,MESH:D011565,,TNF,13.84,,16844318|7744320
"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",C000705689,,Psoriasis,MESH:D011565,,CAT,3.30,,12559600
11-dehydrocorticosterone,C003552,72-23-1,Psoriasis,MESH:D011565,,IL6,4.03,,16844318
11-dehydro-thromboxane B2,C049235,67910-12-7,Psoriasis,MESH:D011565,,APOE,4.80,,16433808
11-deoxyprostaglandin E1,C034008,37786-00-8,Psoriasis,MESH:D011565,,TNF,3.92,,16844318|7744320
"1,1-diethyl-2-hydroxy-2-nitrosohydrazine",C084012,86831-65-4,Psoriasis,MESH:D011565,,APOE,4.40,,16433808
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,IL12B,28.40,,19169254|19169255|20953190
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,IL1B,28.40,,7744320
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,IL4,28.40,,19169254
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,IL6,28.40,,16844318
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,NFKBIA,28.40,,20953190
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,NOS2,28.40,,20953189
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,TNF,28.40,,16844318|7744320
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Psoriasis,MESH:D011565,,VEGFA,28.40,,16385345
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Psoriasis,MESH:D011565,,CAT,15.76,,12559600
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Psoriasis,MESH:D011565,,IL1B,15.76,,7744320
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Psoriasis,MESH:D011565,,IL6,15.76,,16844318
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol,C435044,,Psoriasis,MESH:D011565,,IL1B,3.40,,7744320
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,Psoriasis,MESH:D011565,,IL1B,8.82,,7744320
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,Psoriasis,MESH:D011565,,TNF,8.82,,16844318|7744320
"12,20-dihydroxy-5,8,10,14-eicosatetraenoic acid",C040735,,Psoriasis,MESH:D011565,marker/mechanism,,,,3087403
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Psoriasis,MESH:D011565,,CSF2,22.38,,7744320
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Psoriasis,MESH:D011565,,IL1B,22.38,,7744320
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Psoriasis,MESH:D011565,,IL6,22.38,,16844318
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Psoriasis,MESH:D011565,,NOS2,22.38,,20953189
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Psoriasis,MESH:D011565,,TNF,22.38,,16844318|7744320
"1,2,3,4-tetrahydroisoquinoline",C014843,,Psoriasis,MESH:D011565,,IL6,3.76,,16844318
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Psoriasis,MESH:D011565,,IL1B,5.56,,7744320
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Psoriasis,MESH:D011565,,TNF,5.56,,16844318|7744320
"1,2,3-trichloropropane",C009536,96-18-4,Psoriasis,MESH:D011565,,TNF,2.84,,16844318|7744320
"1,2,4,5-tetrabromobenzene",C110818,636-28-2,Psoriasis,MESH:D011565,,CAT,4.85,,12559600
"1,24-dihydroxyvitamin D2",C063087,124043-51-2,Psoriasis,MESH:D011565,,TNF,3.81,,16844318|7744320
"1,2,4-triazole",C045575,288-88-0,Psoriasis,MESH:D011565,,VEGFA,4.03,,16385345
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Psoriasis,MESH:D011565,,CP,5.61,,12559600
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Psoriasis,MESH:D011565,,CYP2S1,5.61,,12711469
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Psoriasis,MESH:D011565,,MKI67,5.61,,10384915
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Psoriasis,MESH:D011565,,NFKBIA,5.61,,20953190
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Psoriasis,MESH:D011565,,PCNA,5.61,,10384915
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Psoriasis,MESH:D011565,,TP53,5.61,,10384915
"1,2,5,6-tetrabromocyclooctane",C540596,,Psoriasis,MESH:D011565,,PCNA,2.76,,10384915
"1,2,5,8-tetrahydroxy anthraquinone",C543211,,Psoriasis,MESH:D011565,,NFKBIA,7.62,,20953190
"1,2,5,8-tetrahydroxy anthraquinone",C543211,,Psoriasis,MESH:D011565,,STAT3,7.62,,23143594
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Psoriasis,MESH:D011565,,IL6,2.91,,16844318
12-acetoxyhawtriwaic acid lactone,C513234,,Psoriasis,MESH:D011565,,TNF,3.58,,16844318|7744320
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Psoriasis,MESH:D011565,,IL1B,9.24,,7744320
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Psoriasis,MESH:D011565,,IL4,9.24,,19169254
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Psoriasis,MESH:D011565,,TNF,9.24,,16844318|7744320
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,CSF2,21.76,,7744320
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,IL1B,21.76,,7744320
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,IL4,21.76,,19169254
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,IL6,21.76,,16844318
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,NFKBIA,21.76,,20953190
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,NOS2,21.76,,20953189
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,TNF,21.76,,16844318|7744320
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Psoriasis,MESH:D011565,,VEGFA,21.76,,16385345
"1,2-bis(isothiazol-5-yl)disulfane",C579148,,Psoriasis,MESH:D011565,,TP53,3.92,,10384915
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Psoriasis,MESH:D011565,,IL1B,12.46,,7744320
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Psoriasis,MESH:D011565,,IL6,12.46,,16844318
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Psoriasis,MESH:D011565,,TNF,12.46,,16844318|7744320
"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",C569107,,Psoriasis,MESH:D011565,,NFKBIA,6.55,,20953190
"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",C569107,,Psoriasis,MESH:D011565,,TNIP1,6.55,,19169254|20953190
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Psoriasis,MESH:D011565,,CSMD1,12.37,,20953187
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Psoriasis,MESH:D011565,,GJB2,12.37,,20953187|24212883
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Psoriasis,MESH:D011565,,IL6,12.37,,16844318
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Psoriasis,MESH:D011565,,NOS2,12.37,,20953189
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Psoriasis,MESH:D011565,,TNF,12.37,,16844318|7744320
12-dehydrogingerdione,C587370,,Psoriasis,MESH:D011565,,IL6,10.76,,16844318
12-dehydrogingerdione,C587370,,Psoriasis,MESH:D011565,,NOS2,10.76,,20953189
12-deoxyphorbolphenylacetate-20-acetate,C029705,54662-30-5,Psoriasis,MESH:D011565,,SOD2,4.27,,7744320
"1,2-diaminobenzene",C034193,95-54-5,Psoriasis,MESH:D011565,,CAT,4.05,,12559600
"1,2-dibromo-2,4-dicyanobutane",C039411,35691-65-7,Psoriasis,MESH:D011565,,IL1B,3.33,,7744320
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,CAT,16.47,,12559600
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,CP,16.47,,12559600
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,IL1B,16.47,,7744320
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,IL6,16.47,,16844318
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,SOD2,16.47,,7744320
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,TNF,16.47,,16844318|7744320
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,TP53,16.47,,10384915
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Psoriasis,MESH:D011565,,VEGFA,16.47,,16385345
"1,2-diethyl-3-hydroxypyridin-4-one",C068543,115900-75-9,Psoriasis,MESH:D011565,,VEGFA,4.10,,16385345
"1',2'-dihydrorotenone",C044985,6659-45-6,Psoriasis,MESH:D011565,,TP53,3.62,,10384915
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,CAT,27.72,,12559600
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,IL1B,27.72,,7744320
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,IL6,27.72,,16844318
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,MKI67,27.72,,10384915
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,NOS2,27.72,,20953189
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,SOD2,27.72,,7744320
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,TNF,27.72,,16844318|7744320
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Psoriasis,MESH:D011565,,TP53,27.72,,10384915
"1,2-dihydroxynaphthalene",C050642,574-00-5,Psoriasis,MESH:D011565,,CAT,3.76,,12559600
"1,2-dimethyl-4-nitrobenzene",C063609,99-51-4,Psoriasis,MESH:D011565,,NOS2,3.30,,20953189
"1,2-Dimethylhydrazine",D019813,540-73-8,Psoriasis,MESH:D011565,,AP1S3,5.52,616106,
"1,2-Dimethylhydrazine",D019813,540-73-8,Psoriasis,MESH:D011565,,CARD14,5.52,602723,23143594|24212883
