ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Pulmonary Edema,MESH:D011654,,PARP1,3.35,,11818323
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Pulmonary Edema,MESH:D011654,,TNF,3.63,,21188088|34390737
10-nitro-oleic acid,C521487,,Pulmonary Edema,MESH:D011654,,PARP1,5.78,,11818323
10-nitro-oleic acid,C521487,,Pulmonary Edema,MESH:D011654,,TNF,5.78,,21188088|34390737
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,C552819,,Pulmonary Edema,MESH:D011654,,PARP1,3.26,,11818323
"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",C471674,,Pulmonary Edema,MESH:D011654,,PARP1,3.32,,11818323
"1,10-phenanthroline",C025205,66-71-7,Pulmonary Edema,MESH:D011654,,CAT,2.47,,15612528
"1,1,1,3,3,3-hexafluoro-2-(2-fluoro-4'-((4-(pyridin-4-ylmethyl)piperazin-1-yl)methyl)-(1,1'-biphenyl)-4-yl)propan-2-ol",C575715,,Pulmonary Edema,MESH:D011654,,IL17A,4.52,,28600744
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Pulmonary Edema,MESH:D011654,,CAT,3.05,,15612528
"1,12-benzoperylene",C006718,191-24-2,Pulmonary Edema,MESH:D011654,,PARP1,2.67,,11818323
"1,12-benzoperylene",C006718,191-24-2,Pulmonary Edema,MESH:D011654,,TNF,2.67,,21188088|34390737
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Pulmonary Edema,MESH:D011654,,CAT,3.30,,15612528
"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane",C552530,,Pulmonary Edema,MESH:D011654,,PARP1,3.04,,11818323
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,Pulmonary Edema,MESH:D011654,,TNF,3.14,,21188088|34390737
"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",C000705689,,Pulmonary Edema,MESH:D011654,,CAT,3.03,,15612528
"11-deoxy-16-phenoxy-17,18,19,20-tetranorprostaglandin E1",C032405,80558-61-8,Pulmonary Edema,MESH:D011654,,NOS3,4.67,,16844920
11-deoxyprostaglandin E1,C034008,37786-00-8,Pulmonary Edema,MESH:D011654,,NOS3,9.33,,16844920
11-deoxyprostaglandin E1,C034008,37786-00-8,Pulmonary Edema,MESH:D011654,,TNF,9.33,,21188088|34390737
"1,1-diethyl-2-hydroxy-2-nitrosohydrazine",C084012,86831-65-4,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,6.48,,25373139
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pulmonary Edema,MESH:D011654,therapeutic,,,,24963491
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pulmonary Edema,MESH:D011654,,TNF,2.30,,21188088|34390737
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Pulmonary Edema,MESH:D011654,,CAT,3.68,,15612528
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,Pulmonary Edema,MESH:D011654,,TNF,3.29,,21188088|34390737
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,Pulmonary Edema,MESH:D011654,,TNF,2.85,,21188088|34390737
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Pulmonary Edema,MESH:D011654,,NOS3,3.37,,16844920
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Pulmonary Edema,MESH:D011654,therapeutic,,,,28694203
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Pulmonary Edema,MESH:D011654,,TNF,2.38,,21188088|34390737
"1,2,3-trichloropropane",C009536,96-18-4,Pulmonary Edema,MESH:D011654,,TNF,2.57,,21188088|34390737
"1,2,4,5-tetrabromobenzene",C110818,636-28-2,Pulmonary Edema,MESH:D011654,,CAT,4.56,,15612528
"1,24-dihydroxyvitamin D2",C063087,124043-51-2,Pulmonary Edema,MESH:D011654,,TNF,3.52,,21188088|34390737
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Pulmonary Edema,MESH:D011654,,NOS3,2.98,,16844920
"(1,2,5,6-tetrahydropyridin-4-yl)methylphosphinic acid",C101879,,Pulmonary Edema,MESH:D011654,,PARP1,4.00,,11818323
"1,2,5,8-tetrahydroxy anthraquinone",C543211,,Pulmonary Edema,MESH:D011654,,PARP1,3.21,,11818323
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Pulmonary Edema,MESH:D011654,,IL17A,3.53,,28600744
12-acetoxyhawtriwaic acid lactone,C513234,,Pulmonary Edema,MESH:D011654,,TNF,3.29,,21188088|34390737
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Pulmonary Edema,MESH:D011654,,NLRP3,10.88,,33012731
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Pulmonary Edema,MESH:D011654,,NOS3,10.88,,16844920
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Pulmonary Edema,MESH:D011654,,PARP1,10.88,,11818323
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Pulmonary Edema,MESH:D011654,,TNF,10.88,,21188088|34390737
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Pulmonary Edema,MESH:D011654,,NOS3,4.91,,16844920
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Pulmonary Edema,MESH:D011654,,PARP1,4.91,,11818323
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Pulmonary Edema,MESH:D011654,,TNF,4.91,,21188088|34390737
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Pulmonary Edema,MESH:D011654,,TNF,2.93,,21188088|34390737
"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",C569107,,Pulmonary Edema,MESH:D011654,,PARP1,2.83,,11818323
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Pulmonary Edema,MESH:D011654,,TNF,2.05,,21188088|34390737
"1,2-diaminobenzene",C034193,95-54-5,Pulmonary Edema,MESH:D011654,,CAT,3.77,,15612528
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Pulmonary Edema,MESH:D011654,,CAT,2.55,,15612528
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Pulmonary Edema,MESH:D011654,,TNF,2.55,,21188088|34390737
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Pulmonary Edema,MESH:D011654,,CAT,9.50,,15612528
