ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"1,10-phenanthroline",C025205,66-71-7,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,MIF,5.60,604302,
"1,12-benzoperylene",C006718,191-24-2,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,3.99,604302,
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.55,604302,
11-dehydrocorticosterone,C003552,72-23-1,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,6.14,604302,
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,4.70,604302,
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.94,604302,
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.34,604302,
"1,2,3,4-tetrahydroisoquinoline",C014843,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.86,604302,
"1,25-dihydroxyvitamin D",C097949,66772-14-3,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,4.99,604302,
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,4.29,604302,
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.42,604302,
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,4.35,604302,
12-dehydrogingerdione,C587370,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,6.28,604302,
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,3.95,604302,
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,4.66,604302,
"1,2-Dimethylhydrazine",D019813,540-73-8,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,2.27,604302,
"1,2-Dipalmitoylphosphatidylcholine",D015060,2644-64-6,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.73,604302,
"1,2-dithiol-3-thione",C049325,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,MIF,4.44,604302,
"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",C000603962,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.36,604302,
"1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine",C534147,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.51,604302,
"1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole",C524478,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,4.86,604302,
"1,3-dichloro-2-propanol",C033489,96-23-1,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,4.74,604302,
"1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one",C532657,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,5.22,604302,
"1',3'-dihydro-1'-ethanol-3',3'-dimethyl-8-methoxy-6-nitro-spiro(2H-1-benzopyran-2,2'-(2H)-indole)",C555017,,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,,IL6,6.49,604302,
