ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"1,1,1,3,3,3-hexafluoro-2-(2-fluoro-4'-((4-(pyridin-4-ylmethyl)piperazin-1-yl)methyl)-(1,1'-biphenyl)-4-yl)propan-2-ol",C575715,,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,RORC,6.38,,25395965
"1,12-benzoperylene",C006718,191-24-2,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,NFIL3,4.27,,25395965
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,AANAT,5.33,,12736803
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,BHLHE40,6.30,,25395965
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,NFIL3,6.30,,25395965
"1,2-Dimethylhydrazine",D019813,540-73-8,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,AANAT,6.13,,12736803
"1,2-Dimethylhydrazine",D019813,540-73-8,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,BHLHE40,6.13,,25395965
"1,2-Dimethylhydrazine",D019813,540-73-8,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,CRY1,6.13,614163,
"1,2-Dimethylhydrazine",D019813,540-73-8,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,NFIL3,6.13,,25395965
"1,2-Dimethylhydrazine",D019813,540-73-8,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,RORC,6.13,,25395965
1-(2-trifluoromethoxyphenyl)-2-nitroethanone,C576882,,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,BHLHE40,4.40,,25395965
"1,3-butadiene",C031763,106-99-0,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,CRY1,6.08,614163,
"1,3-butadiene",C031763,106-99-0,"Sleep Disorders, Circadian Rhythm",MESH:D020178,,RORC,6.08,,25395965
