ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Heat Stroke,MESH:D018883,,FOS,4.83,,24039931
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,Stroke,MESH:D020521,,ITGA2B,9.51,,9445356
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,Stroke,MESH:D020521,,ITGB3,9.51,,9445356
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Stroke,MESH:D020521,,ALB,3.65,,14514741|16174931|16809570|17270091
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Heat Stroke,MESH:D018883,,IL1B,12.21,,24039931
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Heat Stroke,MESH:D018883,,TNF,12.21,,16878031|24039931
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Stroke,MESH:D020521,,IL1B,9.35,,10950380
"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",C549914,,Stroke,MESH:D020521,,TNF,9.35,,10950380
10-nitro-oleic acid,C521487,,Heat Stroke,MESH:D018883,,RELA,8.78,,24039931
10-nitro-oleic acid,C521487,,Heat Stroke,MESH:D018883,,TNF,8.78,,16878031|24039931
10-nitro-oleic acid,C521487,,Ischemic Stroke,MESH:D000083242,,PLAU,4.53,,15502123
10-nitro-oleic acid,C521487,,Stroke,MESH:D020521,,ICAM1,13.72,,20083630
10-nitro-oleic acid,C521487,,Stroke,MESH:D020521,,PLAU,13.72,,12742636
10-nitro-oleic acid,C521487,,Stroke,MESH:D020521,,PTGS2,13.72,,20083630
10-nitro-oleic acid,C521487,,Stroke,MESH:D020521,,TNF,13.72,,10950380
"1,10-phenanthroline",C025205,66-71-7,Ischemic Stroke,MESH:D000083242,,PLAU,4.03,,15502123
"1,10-phenanthroline",C025205,66-71-7,Stroke,MESH:D020521,,ACE,12.84,,15534175
"1,10-phenanthroline",C025205,66-71-7,Stroke,MESH:D020521,,ALB,12.84,,14514741|16174931|16809570|17270091
"1,10-phenanthroline",C025205,66-71-7,Stroke,MESH:D020521,,ICAM1,12.84,,20083630
"1,10-phenanthroline",C025205,66-71-7,Stroke,MESH:D020521,,PLAU,12.84,,12742636
"1,10-phenanthroline",C025205,66-71-7,Stroke,MESH:D020521,,SOD1,12.84,,10698074
"1,1,1-trichloroethane",C024566,71-55-6,Heat Stroke,MESH:D018883,,RELB,4.33,,24039931
"1,12-benzoperylene",C006718,191-24-2,Heat Stroke,MESH:D018883,,IL6,8.12,,24039931
"1,12-benzoperylene",C006718,191-24-2,Heat Stroke,MESH:D018883,,RELA,8.12,,24039931
