ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,Paratuberculosis,MESH:D010283,,TF,5.94,,22633222
10-nitro-oleic acid,C521487,,"Tuberculosis, Pulmonary",MESH:D014397,,MMP7,4.98,,24890593
"1,10-phenanthroline",C025205,66-71-7,"Tuberculosis, Pulmonary",MESH:D014397,,MMP8,4.68,,24890593
"1,12-benzoperylene",C006718,191-24-2,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,CISH,4.39,607948,
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,CCL2,5.35,607948,
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,"Tuberculosis, Pulmonary",MESH:D014397,,CCL2,4.87,,16352737|18940815
"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane",C492909,,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,IFNG,5.17,607948,
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,IFNG,4.24,607948,
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Paratuberculosis,MESH:D010283,,F2,5.07,,22633222
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,"Tuberculosis, Bovine",MESH:D014380,,IL4,5.59,,17387165
"11-fluoro-7-(14,14,15,15-pentafluoro-6-methyl-10-thia-6-azapentadecyl)estra-1,3-5(10)-triene-3,17-diol",C541120,,Paratuberculosis,MESH:D010283,,C3,6.07,,22633222
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,CCL2,4.82,607948,
"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine",C093337,,"Tuberculosis, Pulmonary",MESH:D014397,,CCL2,4.35,,16352737|18940815
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,CISH,3.85,607948,
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Tuberculosis, Pulmonary",MESH:D014397,,MMP8,3.61,,24890593
12-acetoxyhawtriwaic acid lactone,C513234,,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,IFNG,5.33,607948,
"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,"Tuberculosis, Bovine",MESH:D014380,,IL4,5.73,,17387165
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,CCL2,8.43,607948,
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,IFNG,8.43,607948,
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,"Tuberculosis, Bovine",MESH:D014380,,IL4,5.18,,17387165
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,"Tuberculosis, Pulmonary",MESH:D014397,,CCL2,3.32,,16352737|18940815
"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",C569107,,"Tuberculosis, Pulmonary",MESH:D014397,,MMP7,4.76,,24890593
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,,IFNG,3.89,607948,
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Tuberculosis,MESH:D014376,,HP,3.59,,16597321
