ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
"1,1-diethyl-2-hydroxy-2-nitrosohydrazine",C084012,86831-65-4,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,6.48,,25373139
"1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one",C095284,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,5.74,,25373139
"2,2',4,4',5-brominated diphenyl ether",C477694,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.72,,25373139
"2',3,3',4',5-pentachloro-4-hydroxybiphenyl",C111118,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.73,,25373139
"2,6-dinitrotoluene",C023514,606-20-2,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.71,,25373139
"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",C049584,105650-23-5,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,4.31,,25373139
"3-(2-(2,2-dimethylpropylsulfanyl)pyridin-3-yl)-N-(3-hydroxycyclohexyl)acrylamide",C515661,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,7.03,,25373139
3-(2-(4-chlorophenylsulfanyl)phenyl)-N-(4-dimethylaminobutyl)acrylamide,C470768,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,7.03,,25373139
"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.71,,25373139
"3-(4-Amino-5-cyclopropylpyrimidine-2-yl)-1-(2-fluorobenzyl)-1H-pyrazolo(3,4-b)pyridine",C423582,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,6.68,,25373139
3-(4-pyridyl)-1H-indole,C569798,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,5.2,,25373139
3-(5'-hydroxymethyl-2'-furyl)-1-benzylindazole,C090937,154453-18-6,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,5.88,,25373139
"4-(2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-1-propenyl)benzoic acid",C038864,71441-28-6,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,5,,25373139
"4,4'-diaminodiphenylmethane",C009505,101-77-9,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.59,,25373139
"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.33,,25373139
4-hydroxyphenyl 4-isopropoxyphenylsulfone,C000613560,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.32,,25373139
4-toluidine,C029370,106-49-0,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,4.63,,25373139
5-chloro-2-(5-chlorothiophene-2-sulfonylamino)-N-(4-(morpholine-4-sulfonyl)phenyl)benzamide,C515616,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,7.23,,25373139
Acetazolamide,D000086,59-66-5,Pulmonary edema of mountaineers,MESH:C535833,therapeutic,,,,32226695
acetovanillone,C056165,498-02-2,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,5,,25373139
Acrylamide,D020106,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.33,,25373139
adrenocorticotropin zinc,C006418,53468-06-7,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,5.12,,25373139
Air Pollutants,D000393,,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.2,,25373139
Ammonium Chloride,D000643,12125-02-9,Pulmonary edema of mountaineers,MESH:C535833,,GUCY1A1,3.44,,25373139
