GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
activation of protein kinase A activity,GO:0034199,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
activation of protein kinase B activity,GO:0032148,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
acute inflammatory response,GO:0002526,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
adipose tissue development,GO:0060612,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
androgen metabolic process,GO:0008209,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
angiogenesis,GO:0001525,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
angiogenesis involved in wound healing,GO:0060055,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
apoptotic cell clearance,GO:0043277,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
apoptotic DNA fragmentation,GO:0006309,Altitude Sickness,MESH:D000532,2,Dexamethasone|Pentoxifylline,0,
apoptotic process,GO:0006915,Altitude Sickness,MESH:D000532,4,Acetazolamide|Dexamethasone|Nitroglycerin|Pentoxifylline,0,
articular cartilage development,GO:0061975,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
ATP metabolic process,GO:0046034,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
autophagosome assembly,GO:0000045,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
autophagy,GO:0006914,Altitude Sickness,MESH:D000532,2,Dexamethasone|Pentoxifylline,0,
behavioral response to formalin induced pain,GO:0061368,Altitude Sickness,MESH:D000532,1,Nitroglycerin,0,
behavioral response to pain,GO:0048266,Altitude Sickness,MESH:D000532,2,Dexamethasone|Pentoxifylline,0,
bile acid biosynthetic process,GO:0006699,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
bone development,GO:0060348,Altitude Sickness,MESH:D000532,1,Dexamethasone,0,
