GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
4-hydroxyproline metabolic process,GO:0019471,Alzheimer Disease,MESH:D000544,3,Berberine|Particulate Matter|Resveratrol,0,
5-methylcytosine metabolic process,GO:0019857,Alzheimer Disease,MESH:D000544,1,Particulate Matter,0,
abscission,GO:0009838,Alzheimer Disease,MESH:D000544,1,Melatonin,0,
acetylcholine biosynthetic process,GO:0008292,Alzheimer Disease,MESH:D000544,3,Acetylcholine|Donepezil|Scopolamine,0,
acetylcholine catabolic process,GO:0006581,Alzheimer Disease,MESH:D000544,4,Acetylcholine|Donepezil|Midazolam|Physostigmine,3,ACE|ACHE|BCHE
acetylcholine catabolic process in synaptic cleft,GO:0001507,Alzheimer Disease,MESH:D000544,0,,2,ACE|ACHE
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0003069,Alzheimer Disease,MESH:D000544,0,,1,SOD2
acetylcholine metabolic process,GO:0008291,Alzheimer Disease,MESH:D000544,2,Acetylcholine|Zinc,1,ACHE
acetylcholine receptor signaling pathway,GO:0095500,Alzheimer Disease,MESH:D000544,3,Acetylcholine|Nicotine|Scopolamine,3,ACHE|CHRNA7|CHRNB2
acetylcholine secretion,GO:0061526,Alzheimer Disease,MESH:D000544,1,Midazolam,0,
acetylcholine secretion,GO:0061526,Alzheimer disease type 2,MESH:C536595,1,Manganese,0,
"acetylcholine secretion, neurotransmission",GO:0014055,Alzheimer Disease,MESH:D000544,1,Dronabinol,0,
acetyl-CoA biosynthetic process,GO:0006085,Alzheimer Disease,MESH:D000544,2,Glucose|Streptozocin,0,
acetyl-CoA metabolic process,GO:0006084,Alzheimer Disease,MESH:D000544,1,Glucose,0,
acrosome assembly,GO:0001675,Alzheimer Disease,MESH:D000544,2,Cannabidiol|Paroxetine,1,NECTIN2
actin cytoskeleton organization,GO:0030036,Alzheimer Disease,MESH:D000544,2,Cannabidiol|Plant Extracts,1,ABI3
actin filament depolymerization,GO:0030042,Alzheimer Disease,MESH:D000544,0,,1,SLC30A6
actin filament organization,GO:0007015,Alzheimer Disease,MESH:D000544,3,Dronabinol|Hydrogen Peroxide|Melatonin,5,BCL2|CD2AP|NCK2|PTK2B|TF
actin filament polymerization,GO:0030041,Alzheimer Disease,MESH:D000544,1,Resveratrol,1,CD2AP
actin filament reorganization,GO:0090527,Alzheimer Disease,MESH:D000544,1,Particulate Matter,0,
action potential,GO:0001508,Alzheimer Disease,MESH:D000544,3,Minocycline|Nicotine|Particulate Matter,1,CHRNB2
activation of adenylate cyclase activity,GO:0007190,Alzheimer Disease,MESH:D000544,3,Dronabinol|Glucose|Sodium Fluoride,0,
activation of adenylate cyclase activity,GO:0007190,Alzheimer disease type 2,MESH:C536595,1,Manganese,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Alzheimer Disease,MESH:D000544,10,Copper Sulfate|Deferoxamine|Dronabinol|Folic Acid|Glucose|Homocysteine|Indomethacin|Particulate Matter|Reactive Oxygen Species|Resveratrol,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Alzheimer disease type 2,MESH:C536595,1,Manganese,0,
