GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Asthma,MESH:D001249,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Status Asthmaticus,MESH:D013224,1,Isoproterenol,0,
4-hydroxyproline biosynthetic process,GO:0019472,Asthma,MESH:D001249,1,Methylprednisolone,0,
4-hydroxyproline biosynthetic process,GO:0019472,Status Asthmaticus,MESH:D013224,1,Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,Asthma,MESH:D001249,6,Carbon Tetrachloride|Dietary Fats|Methylprednisolone|Paraquat|Particulate Matter|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,Status Asthmaticus,MESH:D013224,1,Methylprednisolone,0,
4-nitrophenol metabolic process,GO:0018960,Asthma,MESH:D001249,0,,1,CYP2E1
5-methylcytosine biosynthetic process,GO:0046082,Asthma,MESH:D001249,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Asthma,MESH:D001249,2,Particulate Matter|Vehicle Emissions,0,
acetaldehyde metabolic process,GO:0006117,Asthma,MESH:D001249,2,Acetaldehyde|Diazinon,1,ALDH2
acetate biosynthetic process,GO:0019413,Asthma,MESH:D001249,1,bisphenol A,0,
acetate metabolic process,GO:0006083,Asthma,MESH:D001249,3,Captan|Dietary Fats|geraniol,0,
acetylcholine biosynthetic process,GO:0008292,Asthma,MESH:D001249,6,Acetylcholine|bisphenol A|Diazinon|Paraquat|Polychlorinated Biphenyls|Tretinoin,0,
acetylcholine catabolic process,GO:0006581,Asthma,MESH:D001249,3,Acetylcholine|Aldicarb|Coumaphos,0,
acetylcholine metabolic process,GO:0008291,Asthma,MESH:D001249,4,Acetylcholine|Arsenic|bisphenol A|Zinc,0,
acetylcholine metabolic process,GO:0008291,Status Asthmaticus,MESH:D013224,1,Isoflurane,0,
acetylcholine receptor signaling pathway,GO:0095500,Asthma,MESH:D001249,2,Acetylcholine|Parathion,0,
acetylcholine secretion,GO:0061526,Asthma,MESH:D001249,3,Aluminum Hydroxide|bisphenol A|Tretinoin,0,
acetyl-CoA biosynthetic process,GO:0006085,Asthma,MESH:D001249,2,Acetaminophen|Streptozocin,0,
acetyl-CoA metabolic process,GO:0006084,Asthma,MESH:D001249,1,Glyphosate,0,
acrosome assembly,GO:0001675,Asthma,MESH:D001249,1,Malathion,0,
acrosome reaction,GO:0007340,Asthma,MESH:D001249,2,bisphenol A|Glyphosate,0,
actin cytoskeleton organization,GO:0030036,Asthma,MESH:D001249,6,bisphenol A|Glutathione|Glyphosate|Mercury|perfluorooctane sulfonic acid|Smoke,1,PTEN
actin cytoskeleton organization,GO:0030036,"Asthma, Occupational",MESH:D059366,1,Silicon Dioxide,0,
actin cytoskeleton reorganization,GO:0031532,Asthma,MESH:D001249,1,bisphenol A,0,
actin filament bundle assembly,GO:0051017,Asthma,MESH:D001249,1,Triclosan,0,
actin filament capping,GO:0051693,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 8",OMIM:613207,1,perfluorodecanoic acid,0,
actin filament depolymerization,GO:0030042,Asthma,MESH:D001249,1,bisphenol A,0,
actin filament network formation,GO:0051639,Asthma,MESH:D001249,1,Adenosine,0,
actin filament organization,GO:0007015,Asthma,MESH:D001249,0,,2,BCL2|CCL11
actin filament organization,GO:0007015,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 8",OMIM:613207,1,perfluorodecanoic acid,0,
actin filament polymerization,GO:0030041,Asthma,MESH:D001249,1,Resveratrol,0,
actin filament reorganization,GO:0090527,Asthma,MESH:D001249,1,Particulate Matter,0,
action potential,GO:0001508,Asthma,MESH:D001249,2,Nifedipine|Particulate Matter,0,
action potential initiation,GO:0099610,Asthma,MESH:D001249,1,Paraquat,1,SOD1
activated T cell proliferation,GO:0050798,Asthma,MESH:D001249,0,,1,IL4
activation of adenylate cyclase activity,GO:0007190,Asthma,MESH:D001249,2,Cyclic AMP|Isoproterenol,1,ADCY2
activation of adenylate cyclase activity,GO:0007190,Status Asthmaticus,MESH:D013224,1,Isoproterenol,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Asthma,MESH:D001249,3,Paraquat|Particulate Matter|Resveratrol,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Asthma,MESH:D001249,11,Arsenic Trioxide|Benzo(a)pyrene|Cadmium|Dexamethasone|Glyphosate|Methotrexate|Nitric Oxide|perfluorooctane sulfonic acid|pyrazolanthrone|Resveratrol|Tretinoin,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Status Asthmaticus,MESH:D013224,2,Isoflurane|Ketamine,0,
