GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acetate biosynthetic process,GO:0019413,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
actin cytoskeleton organization,GO:0030036,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
activation of protein kinase A activity,GO:0034199,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
activation of protein kinase B activity,GO:0032148,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
adipose tissue development,GO:0060612,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
aerobic respiration,GO:0009060,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
alanine metabolic process,GO:0006522,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
aluminum ion homeostasis,GO:0055079,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
amino-acid betaine metabolic process,GO:0006577,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
amino acid biosynthetic process,GO:0008652,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
angiogenesis,GO:0001525,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
apoptotic chromosome condensation,GO:0030263,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
apoptotic DNA fragmentation,GO:0006309,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
apoptotic process,GO:0006915,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,2,Aluminum|Calcitriol,0,
apoptotic process,GO:0006915,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
arginine metabolic process,GO:0006525,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
asparagine metabolic process,GO:0006528,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
aspartate metabolic process,GO:0006531,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
ATP metabolic process,GO:0046034,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcifediol,0,
autophagosome assembly,GO:0000045,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
autophagy,GO:0006914,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
autophagy of mitochondrion,GO:0000422,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
behavioral fear response,GO:0001662,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
bone mineralization,GO:0030282,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
bone trabecula formation,GO:0060346,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
calcitriol biosynthetic process from calciol,GO:0036378,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,2,Calcifediol|Calcitriol,0,
calcium ion homeostasis,GO:0055074,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcifediol,0,
calcium ion homeostasis,GO:0055074,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
calcium-mediated signaling,GO:0019722,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
cAMP biosynthetic process,GO:0006171,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
cell adhesion,GO:0007155,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
cell aggregation,GO:0098743,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
cell chemotaxis,GO:0060326,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,2,Aluminum|Calcitriol,0,
cell chemotaxis,GO:0060326,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
cell cycle,GO:0007049,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
cell death,GO:0008219,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,2,Aluminum|Calcitriol,0,
cell death,GO:0008219,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
cell differentiation,GO:0030154,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,3,"24,25-Dihydroxyvitamin D 3|Calcitriol|Ro 23-7553",0,
cell growth,GO:0016049,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
cell migration,GO:0016477,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
cell population proliferation,GO:0008283,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,2,"24,25-Dihydroxyvitamin D 3|Calcitriol",0,
cell population proliferation,GO:0008283,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
cell quiescence,GO:0044838,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Aluminum,0,
cell redox homeostasis,GO:0045454,Chronic Kidney Disease-Mineral and Bone Disorder,MESH:D012080,1,Calcitriol,0,
cellular calcium ion homeostasis,GO:0006874,Chronic Kidney Diseases of Uncertain Etiology,MESH:D000092702,1,Endosulfan,0,
