GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,LRAT
2-oxoglutarate metabolic process,GO:0006103,Liver Cirrhosis,MESH:D008103,1,Niclosamide,0,
2-oxoglutarate metabolic process,GO:0006103,"Liver Cirrhosis, Experimental",MESH:D008106,0,,5,AADAT|ADHFE1|COL6A1|GOT1|GPT
3'-phosphoadenosine 5'-phosphosulfate metabolic process,GO:0050427,"Liver Cirrhosis, Experimental",MESH:D008106,0,,2,SULT1E1|SULT2A1
3'-UTR-mediated mRNA stabilization,GO:0070935,"Liver Cirrhosis, Biliary",MESH:D008105,0,,1,MAPK14
4-hydroxyproline biosynthetic process,GO:0019472,Liver Cirrhosis,MESH:D008103,2,Fructose|Genistein,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Liver Cirrhosis, Alcoholic",MESH:D008104,1,Genistein,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Liver Cirrhosis, Biliary",MESH:D008105,1,Fructose,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Liver Cirrhosis, Experimental",MESH:D008106,1,Genistein,0,
4-hydroxyproline catabolic process,GO:0019470,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,PRODH
4-hydroxyproline metabolic process,GO:0019471,Liver Cirrhosis,MESH:D008103,7,Carbon Tetrachloride|Cyclophosphamide|Dietary Fats|Doxorubicin|Particulate Matter|puerarin|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Liver Cirrhosis, Biliary",MESH:D008105,1,Carbon Tetrachloride,0,
4-hydroxyproline metabolic process,GO:0019471,"Liver Cirrhosis, Experimental",MESH:D008106,4,Carbon Tetrachloride|Doxorubicin|pyrrolidine dithiocarbamic acid|Resveratrol,0,
4-nitrophenol metabolic process,GO:0018960,"Liver Cirrhosis, Alcoholic",MESH:D008104,0,,1,CYP2E1
5-methylcytosine biosynthetic process,GO:0046082,Liver Cirrhosis,MESH:D008103,1,bisphenol A,0,
5-methylcytosine biosynthetic process,GO:0046082,"Liver Cirrhosis, Experimental",MESH:D008106,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Liver Cirrhosis,MESH:D008103,1,Particulate Matter,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Liver Cirrhosis,MESH:D008103,1,Ethanol,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,"Liver Cirrhosis, Alcoholic",MESH:D008104,1,Ethanol,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,"Liver Cirrhosis, Experimental",MESH:D008106,1,Ethanol,0,
9-cis-retinoic acid biosynthetic process,GO:0042904,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ALDH1A1
9-cis-retinoic acid metabolic process,GO:0042905,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ALDH1A1
abscission,GO:0009838,Liver Cirrhosis,MESH:D008103,1,Melatonin,0,
abscission,GO:0009838,"Liver Cirrhosis, Experimental",MESH:D008106,1,Melatonin,0,
acetaldehyde biosynthetic process,GO:0046186,Liver Cirrhosis,MESH:D008103,2,Diethylnitrosamine|Ethanol,0,
acetaldehyde biosynthetic process,GO:0046186,"Liver Cirrhosis, Alcoholic",MESH:D008104,1,Ethanol,0,
acetaldehyde biosynthetic process,GO:0046186,"Liver Cirrhosis, Experimental",MESH:D008106,2,Diethylnitrosamine|Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Liver Cirrhosis,MESH:D008103,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,"Liver Cirrhosis, Alcoholic",MESH:D008104,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,"Liver Cirrhosis, Experimental",MESH:D008106,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Liver Cirrhosis,MESH:D008103,1,Chlorpyrifos,0,
