GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Diabetes Mellitus, Type 2",MESH:D003924,1,Calcium,0,
3'-phosphoadenosine 5'-phosphosulfate metabolic process,GO:0050427,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,ENPP1
4-hydroxyproline biosynthetic process,GO:0019472,Diabetes Mellitus,MESH:D003920,1,Methylprednisolone,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Diabetes Mellitus, Experimental",MESH:D003921,1,Fructose,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Diabetes Mellitus, Type 1",MESH:D003922,1,Genistein,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Diabetes Mellitus, Type 2",MESH:D003924,2,Fructose|Genistein,0,
4-hydroxyproline metabolic process,GO:0019471,Diabetes Mellitus,MESH:D003920,6,Berberine|Docosahexaenoic Acids|Methylprednisolone|Particulate Matter|puerarin|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Diabetes Mellitus, Congenital Autoimmune",MESH:C565730,1,Cyclophosphamide,0,
4-hydroxyproline metabolic process,GO:0019471,"Diabetes Mellitus, Experimental",MESH:D003921,5,Berberine|Cyclophosphamide|Dietary Fats|puerarin|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Diabetes Mellitus, Type 1",MESH:D003922,2,Cyclophosphamide|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Diabetes Mellitus, Type 2",MESH:D003924,4,Berberine|Dietary Fats|Particulate Matter|Resveratrol,0,
5-methylcytosine biosynthetic process,GO:0046082,Diabetes Mellitus,MESH:D003920,1,bisphenol A,0,
5-methylcytosine biosynthetic process,GO:0046082,"Diabetes Mellitus, Experimental",MESH:D003921,1,bisphenol A,0,
5-methylcytosine biosynthetic process,GO:0046082,"Diabetes Mellitus, Type 1",MESH:D003922,1,bisphenol A,0,
5-methylcytosine biosynthetic process,GO:0046082,"Diabetes Mellitus, Type 2",MESH:D003924,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Diabetes Mellitus,MESH:D003920,1,Particulate Matter,0,
5-methylcytosine metabolic process,GO:0019857,"Diabetes Mellitus, Type 2",MESH:D003924,2,Particulate Matter|Vehicle Emissions,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,"Diabetes Mellitus, Type 2",MESH:D003924,1,Ethanol,0,
9-cis-retinoic acid biosynthetic process,GO:0042904,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,CYP1A1
abscission,GO:0009838,"Diabetes Mellitus, Experimental",MESH:D003921,1,Dibutyl Phthalate,0,
abscission,GO:0009838,"Diabetes Mellitus, Type 2",MESH:D003924,1,Dibutyl Phthalate,0,
acetaldehyde biosynthetic process,GO:0046186,"Diabetes Mellitus, Type 2",MESH:D003924,2,Diethylnitrosamine|Ethanol,0,
acetaldehyde catabolic process,GO:0046187,"Diabetes Mellitus, Type 2",MESH:D003924,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Diabetes Mellitus,MESH:D003920,2,Chlorpyrifos|Diazinon,0,
acetate biosynthetic process,GO:0019413,Diabetes Mellitus,MESH:D003920,1,bisphenol A,0,
acetate biosynthetic process,GO:0019413,"Diabetes Mellitus, Experimental",MESH:D003921,1,bisphenol A,0,
acetate biosynthetic process,GO:0019413,"Diabetes Mellitus, Type 1",MESH:D003922,1,bisphenol A,0,
acetate biosynthetic process,GO:0019413,"Diabetes Mellitus, Type 2",MESH:D003924,3,bisphenol A|bisphenol S|perfluorooctanoic acid,0,
acetate metabolic process,GO:0006083,Diabetes Mellitus,MESH:D003920,1,Chlorpyrifos,0,
acetate metabolic process,GO:0006083,"Diabetes Mellitus, Experimental",MESH:D003921,2,Cholesterol|Dietary Fats,0,
acetate metabolic process,GO:0006083,"Diabetes Mellitus, Type 2",MESH:D003924,1,Dietary Fats,0,
