GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Epilepsy,MESH:D004827,1,Calcium,0,
2-oxoglutarate metabolic process,GO:0006103,Epilepsy,MESH:D004827,0,,1,L2HGDH
4-hydroxyproline biosynthetic process,GO:0019472,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,"Epilepsy, Absence",MESH:D004832,1,Doxorubicin,0,
4-hydroxyproline metabolic process,GO:0019471,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Methylprednisolone,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Ethanol,0,
acetaldehyde biosynthetic process,GO:0046186,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Epilepsy,MESH:D004827,1,"N-Methyl-3,4-methylenedioxyamphetamine",0,
acetate metabolic process,GO:0006083,Epilepsy,MESH:D004827,2,Propofol|Sevoflurane,0,
acetate metabolic process,GO:0006083,"Epilepsy, Generalized",MESH:D004829,1,Propofol,0,
acetate metabolic process,GO:0006083,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Propofol,0,
acetone metabolic process,GO:0043443,Epilepsy,MESH:D004827,1,Propofol,0,
acetone metabolic process,GO:0043443,"Epilepsy, Generalized",MESH:D004829,1,Propofol,0,
acetone metabolic process,GO:0043443,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Propofol,0,
acetylcholine biosynthetic process,GO:0008292,"Epilepsy, Reflex",MESH:D020195,1,Polychlorinated Biphenyls,0,
acetylcholine catabolic process,GO:0006581,Epilepsy,MESH:D004827,1,Midazolam,0,
acetylcholine catabolic process,GO:0006581,"Epilepsy, Tonic-Clonic",MESH:D004830,2,Midazolam|Soman,1,BCHE
acetylcholine metabolic process,GO:0008291,Epilepsy,MESH:D004827,2,Cisplatin|Pentylenetetrazole,0,
acetylcholine metabolic process,GO:0008291,"Epilepsy, Absence",MESH:D004832,1,Pentylenetetrazole,0,
acetylcholine metabolic process,GO:0008291,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Pentylenetetrazole,0,
acetylcholine receptor signaling pathway,GO:0095500,"Epilepsy, Frontal Lobe",MESH:D017034,0,,2,CHRNA4|CHRNB2
acetylcholine receptor signaling pathway,GO:0095500,"Epilepsy, Generalized",MESH:D004829,0,,1,CHRNA7
acetylcholine receptor signaling pathway,GO:0095500,"Epilepsy, Nocturnal Frontal Lobe, Type 1",MESH:C563930,0,,1,CHRNA4
acetylcholine receptor signaling pathway,GO:0095500,"Epilepsy, Nocturnal Frontal Lobe, Type 3",MESH:C565334,0,,1,CHRNB2
acetylcholine secretion,GO:0061526,Epilepsy,MESH:D004827,1,Midazolam,0,
acetylcholine secretion,GO:0061526,"Epilepsy, Tonic-Clonic",MESH:D004830,3,Aluminum Hydroxide|Midazolam|Soman,0,
"acetylcholine secretion, neurotransmission",GO:0014055,Epilepsy,MESH:D004827,1,Dronabinol,0,
acetyl-CoA biosynthetic process,GO:0006085,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Acetaminophen,0,
acetyl-CoA biosynthetic process from pyruvate,GO:0006086,Epilepsy,MESH:D004827,0,,1,VDAC1
acidic amino acid transport,GO:0015800,Epilepsy,MESH:D004827,0,,2,SLC1A2|SLC1A3
acinar cell differentiation,GO:0090425,"Epilepsy, Idiopathic Generalized",MESH:C562694,0,,1,CLCN2
acrosome assembly,GO:0001675,"Epilepsy, Tonic-Clonic",MESH:D004830,1,Paroxetine,0,
