GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,GPT
4-hydroxyproline biosynthetic process,GO:0019472,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,Fructose|Genistein,0,
4-hydroxyproline catabolic process,GO:0019470,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ALDH4A1
4-hydroxyproline metabolic process,GO:0019471,Non-alcoholic Fatty Liver Disease,MESH:D065626,3,Dietary Fats|puerarin|Resveratrol,0,
4-nitrophenol metabolic process,GO:0018960,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,CYP2E1
5-methylcytosine biosynthetic process,GO:0046082,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,bisphenol A,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Ethanol,0,
9-cis-retinoic acid biosynthetic process,GO:0042904,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ALDH1A1
9-cis-retinoic acid metabolic process,GO:0042905,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ALDH1A1
acetaldehyde biosynthetic process,GO:0046186,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,Diethylnitrosamine|Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,mancozeb|Maneb,1,ALDH2
acetate biosynthetic process,GO:0019413,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,bisphenol A|perfluorooctanoic acid,0,
acetate metabolic process,GO:0006083,Non-alcoholic Fatty Liver Disease,MESH:D065626,3,Cholesterol|Dietary Fats|geraniol,0,
acetylcholine biosynthetic process,GO:0008292,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,bisphenol A|sodium arsenite,0,
acetylcholine catabolic process,GO:0006581,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ACE
acetylcholine catabolic process in synaptic cleft,GO:0001507,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ACE
acetylcholine metabolic process,GO:0008291,Non-alcoholic Fatty Liver Disease,MESH:D065626,3,bisphenol A|Choline|sodium arsenite,0,
acetylcholine secretion,GO:0061526,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,bisphenol A,0,
acetyl-CoA biosynthetic process,GO:0006085,Non-alcoholic Fatty Liver Disease,MESH:D065626,4,Acetaminophen|cobaltiprotoporphyrin|Glucose|Streptozocin,0,
acetyl-CoA biosynthetic process from pyruvate,GO:0006086,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PDK4
acetyl-CoA metabolic process,GO:0006084,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,Cadmium Chloride|Glucose,0,
acinar cell differentiation,GO:0090425,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,NR5A2
acrosome reaction,GO:0007340,Non-alcoholic Fatty Liver Disease,MESH:D065626,3,bisphenol A|puerarin|Taurine,0,
actin cytoskeleton organization,GO:0030036,Non-alcoholic Fatty Liver Disease,MESH:D065626,5,bisphenol A|cyanoginosin LR|Genistein|Plant Extracts|Thioctic Acid,2,MRTFA|PTEN
