GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Heart Diseases,MESH:D006331,2,Catechin|Isoproterenol,0,
4-hydroxyproline biosynthetic process,GO:0019472,Heart Diseases,MESH:D006331,2,Fructose|Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,Heart Diseases,MESH:D006331,7,Cyclophosphamide|Dietary Fats|Doxorubicin|Methylprednisolone|Paraquat|Particulate Matter|Resveratrol,0,
5-methylcytosine biosynthetic process,GO:0046082,Heart Diseases,MESH:D006331,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Heart Diseases,MESH:D006331,2,Particulate Matter|Vehicle Emissions,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Heart Diseases,MESH:D006331,1,Ethanol,0,
abscission,GO:0009838,Heart Diseases,MESH:D006331,1,Melatonin,0,
acetaldehyde biosynthetic process,GO:0046186,Heart Diseases,MESH:D006331,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Heart Diseases,MESH:D006331,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Heart Diseases,MESH:D006331,2,Acetaldehyde|iprodione,0,
acetate biosynthetic process,GO:0019413,Heart Diseases,MESH:D006331,2,bisphenol A|perfluorooctanoic acid,0,
acetate metabolic process,GO:0006083,Heart Diseases,MESH:D006331,3,Amiodarone|Dietary Fats|Propofol,0,
acetoacetic acid metabolic process,GO:0043438,Heart Diseases,MESH:D006331,1,Amiodarone,0,
acetone metabolic process,GO:0043443,Heart Diseases,MESH:D006331,1,Propofol,0,
acetylcholine biosynthetic process,GO:0008292,Heart Diseases,MESH:D006331,3,bisphenol A|Paraquat|sodium arsenite,0,
acetylcholine catabolic process,GO:0006581,Heart Diseases,MESH:D006331,1,Midazolam,0,
acetylcholine metabolic process,GO:0008291,Heart Diseases,MESH:D006331,7,Arsenic|bisphenol A|Cisplatin|Lipopolysaccharides|sodium arsenite|Vitamin E|Zinc,0,
acetylcholine receptor signaling pathway,GO:0095500,Heart Diseases,MESH:D006331,1,Thiamethoxam,0,
acetylcholine secretion,GO:0061526,Heart Diseases,MESH:D006331,3,bisphenol A|manganese chloride|Midazolam,0,
acetyl-CoA biosynthetic process,GO:0006085,Heart Diseases,MESH:D006331,1,Streptozocin,0,
acetyl-CoA metabolic process,GO:0006084,Heart Diseases,MESH:D006331,1,Cadmium Chloride,0,
acrosome assembly,GO:0001675,Heart Diseases,MESH:D006331,1,Cannabidiol,0,
acrosome reaction,GO:0007340,Heart Diseases,MESH:D006331,3,bisphenol A|coenzyme Q10|Taurine,0,
actin crosslink formation,GO:0051764,Heart Diseases,MESH:D006331,0,,1,TNNT2
actin cytoskeleton organization,GO:0030036,Heart Diseases,MESH:D006331,7,Acetylcysteine|bisphenol A|Cannabidiol|Doxorubicin|Glutathione|Plant Extracts|Thioctic Acid,4,ADRA2A|RAC2|S1PR2|SFRP1
actin cytoskeleton reorganization,GO:0031532,Heart Diseases,MESH:D006331,1,bisphenol A,0,
actin filament bundle assembly,GO:0051017,Heart Diseases,MESH:D006331,1,Trichloroethylene,1,RAC2
actin filament capping,GO:0051693,Heart Diseases,MESH:D006331,1,Isoniazid,0,
actin filament depolymerization,GO:0030042,Heart Diseases,MESH:D006331,2,bisphenol A|Cadmium Chloride,0,
actin filament organization,GO:0007015,Heart Diseases,MESH:D006331,3,Hydrogen Peroxide|Melatonin|palytoxin,1,RAC2
actin filament polymerization,GO:0030041,Heart Diseases,MESH:D006331,5,Ethanol|Lipopolysaccharides|Norepinephrine|Resveratrol|salinomycin,0,
actin filament reorganization,GO:0090527,Heart Diseases,MESH:D006331,1,Particulate Matter,0,
action potential,GO:0001508,Heart Diseases,MESH:D006331,4,E 4031|nefazodone|Nifedipine|Particulate Matter,0,
action potential,GO:0001508,Pulmonary Heart Disease,MESH:D011660,1,Nifedipine,0,
action potential initiation,GO:0099610,Heart Diseases,MESH:D006331,5,Chloroquine|Fluoxetine|Lidocaine|Paraquat|Valproic Acid,0,
activation of adenylate cyclase activity,GO:0007190,Heart Diseases,MESH:D006331,7,Dopamine|Isoproterenol|Itraconazole|manganese chloride|Miconazole|Morphine|Naloxone,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Heart Diseases,MESH:D006331,11,Acetylcysteine|Cadmium Chloride|Deferoxamine|Indomethacin|manganese chloride|Paraquat|Particulate Matter|Reactive Oxygen Species|Resveratrol|S-allylcysteine|Verapamil,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Pulmonary Heart Disease,MESH:D011660,1,Indomethacin,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Heart Diseases,MESH:D006331,25,"2,2',4,4'-tetrabromodiphenyl ether|Acetylcysteine|Arsenic Trioxide|Axitinib|Benzo(a)pyrene|Cadmium|Chloroquine|Cisplatin|Crizotinib|Dexamethasone|Dextroamphetamine|Docetaxel|Doxorubicin|Hydrogen Peroxide|Imatinib Mesylate|Indomethacin|lead nitrate|manganese chloride|mangiferin|Methamphetamine|nilotinib|Nitric Oxide|pyrazolanthrone|Resveratrol|Sunitinib",0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Pulmonary Heart Disease,MESH:D011660,1,Indomethacin,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0008635,Heart Diseases,MESH:D006331,2,Cisplatin|manganese chloride,0,
activation of GTPase activity,GO:0090630,Heart Diseases,MESH:D006331,2,Arsenic Trioxide|Norepinephrine,0,
activation of immune response,GO:0002253,Heart Diseases,MESH:D006331,4,Isoniazid|Paraquat|perfluorooctanoic acid|Rifampin,0,
activation of phospholipase C activity,GO:0007202,Heart Diseases,MESH:D006331,1,bisphenol A,0,
activation of protein kinase A activity,GO:0034199,Heart Diseases,MESH:D006331,10,Aldosterone|bisphenol A|Dexamethasone|Ethinyl Estradiol|Hydrocortisone|Itraconazole|Miconazole|Propofol|Resveratrol|Sodium Bicarbonate,0,
activation of protein kinase activity,GO:0032147,Heart Diseases,MESH:D006331,6,Aspirin|Cisplatin|Ethanol|Lipopolysaccharides|Metformin|Permethrin,1,ADRA2A
activation of protein kinase B activity,GO:0032148,Heart Diseases,MESH:D006331,48,"2,2',4,4'-tetrabromodiphenyl ether|Acetylcysteine|Allopurinol|Arsenic Trioxide|Benzo(a)pyrene|bisphenol A|boric acid|Cadmium Chloride|caffeic acid phenethyl ester|Cisplatin|Curcumin|Dexamethasone|Dietary Fats|Doxorubicin|Drugs, Chinese Herbal|Environmental Pollutants|Epinephrine|erdosteine|Erlotinib Hydrochloride|Ethanol|Etoposide|Fluorouracil|Fructose|Gallic Acid|Hydrogen Peroxide|Lipopolysaccharides|Matrines|Melatonin|Metformin|Metoprolol|Norepinephrine|Paraquat|Particulate Matter|Permethrin|pifithrin|Plant Extracts|pyrazolanthrone|Reactive Oxygen Species|Resveratrol|sodium arsenite|Sodium Selenite|Streptozocin|Tamoxifen|Testosterone|tetrandrine|Tobacco Smoke Pollution|tricarbonyldichlororuthenium (II) dimer|Warfarin",1,ADRA2A
activation of protein kinase C activity,GO:1990051,Heart Diseases,MESH:D006331,5,bisphenol A|Mannitol|Paclitaxel|Reactive Oxygen Species|Vincristine,0,
acute inflammatory response,GO:0002526,Heart Diseases,MESH:D006331,7,Arsenic Trioxide|Curcumin|Cyclophosphamide|Dexamethasone|Dietary Fats|Lipopolysaccharides|Ozone,0,
acute inflammatory response,GO:0002526,Pulmonary Heart Disease,MESH:D011660,1,Ozone,0,
acute inflammatory response to antigenic stimulus,GO:0002438,Heart Diseases,MESH:D006331,1,Particulate Matter,0,
acute-phase response,GO:0006953,Heart Diseases,MESH:D006331,0,,2,CRP|EPO
acyl-CoA metabolic process,GO:0006637,Heart Diseases,MESH:D006331,1,Dietary Fats,0,
acylglycerol acyl-chain remodeling,GO:0036155,Heart Diseases,MESH:D006331,0,,1,PNPLA2
acylglycerol homeostasis,GO:0055090,Heart Diseases,MESH:D006331,2,Paraquat|sodium arsenite,0,
acylglycerol metabolic process,GO:0006639,Heart Diseases,MESH:D006331,1,bisphenol A,0,
adaptive immune response,GO:0002250,Heart Diseases,MESH:D006331,2,Chloroquine|perfluorooctanoic acid,0,
adaptive thermogenesis,GO:1990845,Heart Diseases,MESH:D006331,3,Caffeine|Norepinephrine|Propranolol,0,
adenine metabolic process,GO:0046083,Heart Diseases,MESH:D006331,4,Cadmium|Cadmium Chloride|perfluorooctanoic acid|Selenium,0,
adenosine biosynthetic process,GO:0046086,Heart Diseases,MESH:D006331,2,sodium arsenite|Streptozocin,0,
adenosine catabolic process,GO:0006154,Heart Diseases,MESH:D006331,1,Fructose,1,XDH
adenosine metabolic process,GO:0046085,Heart Diseases,MESH:D006331,4,Amiodarone|Indomethacin|perfluorooctanoic acid|sodium arsenite,0,
adenosine metabolic process,GO:0046085,Pulmonary Heart Disease,MESH:D011660,1,Indomethacin,0,
adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071880,Heart Diseases,MESH:D006331,1,Isoproterenol,1,ADRA2A
adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,Heart Diseases,MESH:D006331,1,Isoproterenol,5,ADRA2A|AGT|GCG|PTGIR|S1PR2
adenylate cyclase-inhibiting adrenergic receptor signaling pathway,GO:0071881,Heart Diseases,MESH:D006331,0,,1,ADRA2A
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0007193,Heart Diseases,MESH:D006331,1,Acetylcysteine,1,ADRA2A
adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188,Heart Diseases,MESH:D006331,0,,1,GCG
adiponectin secretion,GO:0070162,Heart Diseases,MESH:D006331,1,Plant Preparations,0,
adipose tissue development,GO:0060612,Heart Diseases,MESH:D006331,34,Amiodarone|Arsenic|Benzo(a)pyrene|bisphenol A|Cadmium|Cadmium Chloride|Carnitine|Ciprofloxacin|Clofibrate|Clozapine|Cyclosporine|Dexamethasone|Dietary Fats|fenugreek seed meal|Heparin|High Fructose Corn Syrup|Hydrocortisone|Indomethacin|Melatonin|Metformin|Methylprednisolone|Particulate Matter|perfluorooctanoic acid|Pesticides|Plant Extracts|Plant Oils|polydatin|Resveratrol|Risperidone|sodium arsenite|Telmisartan|Testosterone|Troglitazone|Zidovudine,0,
adipose tissue development,GO:0060612,Pulmonary Heart Disease,MESH:D011660,1,Indomethacin,0,
ADP biosynthetic process,GO:0006172,Heart Diseases,MESH:D006331,4,Doxorubicin|Hydrogen Peroxide|Metformin|Tobacco Smoke Pollution,0,
ADP metabolic process,GO:0046031,Heart Diseases,MESH:D006331,4,Cadmium Chloride|Clomipramine|perfluorooctanoic acid|Trichloroethylene,0,
adrenal gland development,GO:0030325,Heart Diseases,MESH:D006331,1,bisphenol A,0,
adrenergic receptor signaling pathway,GO:0071875,Heart Diseases,MESH:D006331,0,,1,ADRA2A
adult behavior,GO:0030534,Heart Diseases,MESH:D006331,5,"3,4,5,3',4'-pentachlorobiphenyl|bisphenol A|Cannabidiol|Cocaine|epigallocatechin gallate",0,
adult feeding behavior,GO:0008343,Heart Diseases,MESH:D006331,9,"3,4,5,3',4'-pentachlorobiphenyl|bisphenol A|deoxynivalenol|Dietary Fats|Ethanol|Fluoxetine|Fructose|Methylprednisolone|T-2 Toxin",0,
adult locomotory behavior,GO:0008344,Heart Diseases,MESH:D006331,18,Acetylcysteine|Acrylamide|Benzo(a)pyrene|bisphenol A|Cocaine|Doxorubicin|Ethanol|ferrostatin-1|Fluoxetine|Lidocaine|manganese chloride|Paraquat|Particulate Matter|Pesticides|sodium arsenite|Streptozocin|Taurine|Valproic Acid,0,
adult walking behavior,GO:0007628,Heart Diseases,MESH:D006331,5,Acrylamide|Cannabidiol|Ethanol|Melatonin|oleuropein,0,
aerobic electron transport chain,GO:0019646,Heart Diseases,MESH:D006331,8,"2,2',4,4'-tetrabromodiphenyl ether|Bupivacaine|Cannabidiol|Curcumin|Cyclosporine|deoxynivalenol|Streptozocin|Troglitazone",0,
