GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Hepatitis,MESH:D006505,1,Oxygen,0,
3'-phosphoadenosine 5'-phosphosulfate metabolic process,GO:0050427,"Hepatitis, Alcoholic",MESH:D006519,0,,1,SULT1E1
4-hydroxyproline biosynthetic process,GO:0019472,Hepatitis,MESH:D006505,1,Methylprednisolone,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Hepatitis, Autoimmune",MESH:D019693,1,Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,Hepatitis,MESH:D006505,4,Carbon Tetrachloride|Dietary Fats|Methylprednisolone|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Hepatitis, Animal",MESH:D006520,1,Dietary Fats,0,
4-hydroxyproline metabolic process,GO:0019471,"Hepatitis, Autoimmune",MESH:D019693,1,Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,Hepatitis B,MESH:D006509,1,Cyclophosphamide,0,
4-hydroxyproline metabolic process,GO:0019471,Hepatitis C,MESH:D006526,1,Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Hepatitis, Chronic",MESH:D006521,1,Cyclophosphamide,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Hepatitis,MESH:D006505,1,Ethanol,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,"Hepatitis, Alcoholic",MESH:D006519,1,Ethanol,0,
abscission,GO:0009838,Hepatitis,MESH:D006505,1,Melatonin,0,
abscission,GO:0009838,"Hepatitis, Autoimmune",MESH:D019693,1,Melatonin,0,
acetaldehyde biosynthetic process,GO:0046186,Hepatitis,MESH:D006505,2,Diethylnitrosamine|Ethanol,0,
acetaldehyde biosynthetic process,GO:0046186,"Hepatitis, Alcoholic",MESH:D006519,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Hepatitis,MESH:D006505,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,"Hepatitis, Alcoholic",MESH:D006519,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Hepatitis,MESH:D006505,1,Diazinon,0,
acetate biosynthetic process,GO:0019413,Hepatitis,MESH:D006505,1,perfluorooctanoic acid,0,
acetate metabolic process,GO:0006083,Hepatitis,MESH:D006505,2,Amiodarone|Dietary Fats,0,
acetate metabolic process,GO:0006083,"Hepatitis, Animal",MESH:D006520,1,Dietary Fats,0,
acetoacetic acid metabolic process,GO:0043438,Hepatitis,MESH:D006505,1,Amiodarone,0,
acetylcholine biosynthetic process,GO:0008292,Hepatitis,MESH:D006505,1,Diazinon,0,
acetylcholine metabolic process,GO:0008291,Hepatitis,MESH:D006505,2,Choline|Lipopolysaccharides,0,
acetylcholine metabolic process,GO:0008291,"Hepatitis, Animal",MESH:D006520,1,Choline,0,
acetylcholine metabolic process,GO:0008291,Hepatitis C,MESH:D006526,1,Vitamin E,0,
