GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Hypertension,MESH:D006973,1,Calcium,0,
2-oxoglutarate metabolic process,GO:0006103,Hypertension,MESH:D006973,3,Antioxidants|Isoproterenol|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Hypertension, Portal",MESH:D006975,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,"Hypertension, Pulmonary",MESH:D006976,1,Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,Ocular Hypertension,MESH:D009798,1,Isoproterenol,0,
2-oxoglutarate metabolic process,GO:0006103,Pulmonary Arterial Hypertension,MESH:D000081029,1,Oxygen,0,
3'-UTR-mediated mRNA stabilization,GO:0070935,Hypertension,MESH:D006973,0,,1,MYD88
4-hydroxyproline biosynthetic process,GO:0019472,Hypertension,MESH:D006973,3,Fructose|Methylprednisolone|Nebivolol,0,
4-hydroxyproline metabolic process,GO:0019471,Hypertension,MESH:D006973,9,Berberine|Bleomycin|Cyclophosphamide|Dietary Fats|Doxorubicin|Methylprednisolone|Particulate Matter|puerarin|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Hypertension, Portal",MESH:D006975,1,Carbon Tetrachloride,0,
4-hydroxyproline metabolic process,GO:0019471,"Hypertension, Pulmonary",MESH:D006976,3,Bleomycin|Paraquat|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Hypertension, Renovascular",MESH:D006978,1,Bleomycin,0,
4-hydroxyproline metabolic process,GO:0019471,Pulmonary Arterial Hypertension,MESH:D000081029,1,Particulate Matter,0,
5-methylcytosine biosynthetic process,GO:0046082,Hypertension,MESH:D006973,1,bisphenol A,0,
5-methylcytosine biosynthetic process,GO:0046082,"Hypertension, Pregnancy-Induced",MESH:D046110,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Hypertension,MESH:D006973,2,Particulate Matter|Vehicle Emissions,0,
5-methylcytosine metabolic process,GO:0019857,Pulmonary Arterial Hypertension,MESH:D000081029,1,Particulate Matter,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Hypertension,MESH:D006973,1,Ethanol,0,
9-cis-retinoic acid biosynthetic process,GO:0042904,Hypertension,MESH:D006973,0,,1,CYP1A1
abscission,GO:0009838,Hypertension,MESH:D006973,1,Melatonin,0,
acetaldehyde biosynthetic process,GO:0046186,Hypertension,MESH:D006973,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Hypertension,MESH:D006973,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Hypertension,MESH:D006973,1,"N-Methyl-3,4-methylenedioxyamphetamine",0,
acetate biosynthetic process,GO:0019413,Hypertension,MESH:D006973,3,bisphenol A|Endosulfan|perfluorooctanoic acid,0,
acetate biosynthetic process,GO:0019413,"Hypertension, Pregnancy-Induced",MESH:D046110,1,bisphenol A,0,
acetate metabolic process,GO:0006083,Essential Hypertension,MESH:D000075222,1,Acetates,0,
acetate metabolic process,GO:0006083,Hypertension,MESH:D006973,4,Dietary Fats|geraniol|Propofol|Sevoflurane,0,
acetate metabolic process,GO:0006083,"Hypertension, Portal",MESH:D006975,1,Amiodarone,0,
acetate metabolic process,GO:0006083,"Hypertension, Pulmonary",MESH:D006976,1,Propofol,0,
acetate metabolic process,GO:0006083,Intracranial Hypertension,MESH:D019586,1,Amiodarone,0,
acetoacetic acid metabolic process,GO:0043438,"Hypertension, Portal",MESH:D006975,1,Amiodarone,0,
acetoacetic acid metabolic process,GO:0043438,Intracranial Hypertension,MESH:D019586,1,Amiodarone,0,
acetone metabolic process,GO:0043443,Hypertension,MESH:D006973,1,Propofol,0,
acetone metabolic process,GO:0043443,"Hypertension, Pulmonary",MESH:D006976,1,Propofol,0,
acetylcholine biosynthetic process,GO:0008292,Hypertension,MESH:D006973,5,Acetylcholine|bisphenol A|Polychlorinated Biphenyls|Scopolamine|sodium arsenite,0,
acetylcholine biosynthetic process,GO:0008292,"Hypertension, Pregnancy-Induced",MESH:D046110,1,bisphenol A,0,
acetylcholine biosynthetic process,GO:0008292,"Hypertension, Pulmonary",MESH:D006976,1,Paraquat,0,
acetylcholine biosynthetic process,GO:0008292,Intracranial Hypertension,MESH:D019586,1,Tretinoin,0,
acetylcholine catabolic process,GO:0006581,Hypertension,MESH:D006973,4,Acetylcholine|Corticosterone|Midazolam|Physostigmine,1,ACE
acetylcholine catabolic process,GO:0006581,"Hypertension, Pulmonary",MESH:D006976,0,,1,ACE
acetylcholine catabolic process,GO:0006581,Intracranial Hypertension,MESH:D019586,1,Midazolam,0,
