GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Hypoxia,MESH:D000860,2,Isoproterenol|Oxygen,0,
2-oxoglutarate metabolic process,GO:0006103,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Oxygen,0,
4-hydroxyproline metabolic process,GO:0019471,Hypoxia,MESH:D000860,3,Bleomycin|Dietary Fats|Resveratrol,0,
acetate metabolic process,GO:0006083,Hypoxia,MESH:D000860,3,Dietary Fats|Propofol|Sevoflurane,0,
acetone metabolic process,GO:0043443,Hypoxia,MESH:D000860,1,Propofol,0,
acetylcholine catabolic process,GO:0006581,Hypoxia,MESH:D000860,1,Midazolam,0,
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0003069,Hypoxia,MESH:D000860,0,,1,SOD2
acetylcholine metabolic process,GO:0008291,Hypoxia,MESH:D000860,3,Isoflurane|Lipopolysaccharides|Vitamin E,0,
acetylcholine metabolic process,GO:0008291,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Lipopolysaccharides,0,
acetylcholine receptor signaling pathway,GO:0095500,Hypoxia,MESH:D000860,1,Nicotine,0,
acetylcholine secretion,GO:0061526,Hypoxia,MESH:D000860,1,Midazolam,0,
acetyl-CoA biosynthetic process,GO:0006085,Hypoxia,MESH:D000860,2,Acetaminophen|Glucose,0,
acetyl-CoA metabolic process,GO:0006084,Hypoxia,MESH:D000860,1,Glucose,1,CS
acrosome reaction,GO:0007340,Hypoxia,MESH:D000860,2,Chlorpromazine|Taurine,0,
actin cytoskeleton organization,GO:0030036,"Hypoxia, Brain",MESH:D002534,1,Plant Extracts,0,
actin filament organization,GO:0007015,Hypoxia,MESH:D000860,2,Hydrogen Peroxide|Oxygen,0,
actin filament organization,GO:0007015,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Oxygen,0,
actin filament polymerization,GO:0030041,Hypoxia,MESH:D000860,3,Lipopolysaccharides|Norepinephrine|Resveratrol,0,
actin filament polymerization,GO:0030041,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Lipopolysaccharides,0,
action potential,GO:0001508,Hypoxia,MESH:D000860,1,Nicotine,0,
action potential initiation,GO:0099610,Hypoxia,MESH:D000860,2,Chloroquine|Lidocaine,0,
action potential initiation,GO:0099610,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Fluoxetine,0,
activation of adenylate cyclase activity,GO:0007190,Hypoxia,MESH:D000860,5,Alprostadil|Glucose|Isoproterenol|Morphine|Naloxone,1,GNAS
activation of adenylate cyclase activity,GO:0007190,"Hypoxia, Brain",MESH:D002534,1,Morphine,0,
activation of adenylate cyclase activity,GO:0007190,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Lithium Chloride,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Hypoxia,MESH:D000860,7,Copper Sulfate|Deferoxamine|Glucose|Indomethacin|Oxygen|Resveratrol|Verapamil,0,
activation of cysteine-type endopeptidase activity,GO:0097202,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Oxygen,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Fetal Hypoxia,MESH:D005311,1,Nitric Oxide,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Hypoxia,MESH:D000860,9,Arsenic Trioxide|Chloroquine|Hydrogen Peroxide|Indomethacin|Isoflurane|Ketamine|Nimodipine|Nitric Oxide|Resveratrol,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,"Hypoxia-Ischemia, Brain",MESH:D020925,2,Dexamethasone|Methamphetamine,0,
activation of GTPase activity,GO:0090630,Hypoxia,MESH:D000860,2,Arsenic Trioxide|Norepinephrine,0,
activation of protein kinase A activity,GO:0034199,Hypoxia,MESH:D000860,2,Propofol|Resveratrol,0,
activation of protein kinase A activity,GO:0034199,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Dexamethasone,0,
activation of protein kinase activity,GO:0032147,Hypoxia,MESH:D000860,2,Indican|Lipopolysaccharides,0,
activation of protein kinase activity,GO:0032147,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Lipopolysaccharides,0,
