GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
5-methylcytosine biosynthetic process,GO:0046082,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
acetate biosynthetic process,GO:0019413,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
acetylcholine biosynthetic process,GO:0008292,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
acetylcholine metabolic process,GO:0008291,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
acetylcholine secretion,GO:0061526,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Manganese,0,
acrosome reaction,GO:0007340,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Chlorpromazine,0,
actin cytoskeleton organization,GO:0030036,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
actin cytoskeleton organization,GO:0030036,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,MRTFB
actin cytoskeleton organization,GO:0030036,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,Ascorbic Acid,0,
actin cytoskeleton reorganization,GO:0031532,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
actin filament capping,GO:0051693,Child Behavior Disorders,MESH:D002653,1,Isoniazid,0,
actin filament depolymerization,GO:0030042,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
actin filament polymerization,GO:0030041,Child Behavior Disorders,MESH:D002653,1,methylmercuric chloride,0,
action potential initiation,GO:0099610,Child Behavior Disorders,MESH:D002653,3,Carbamazepine|Lamotrigine|Valproic Acid,0,
action potential initiation,GO:0099610,"Child Development Disorders, Pervasive",MESH:D002659,1,Valproic Acid,0,
action potential initiation,GO:0099610,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,lead acetate,0,
activation of adenylate cyclase activity,GO:0007190,Child Behavior Disorders,MESH:D002653,2,Lithium Carbonate|Manganese,0,
activation of adenylate cyclase activity,GO:0007190,"Hypercalciuria, childhood idiopathic",MESH:C536082,1,Ketoconazole,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Child Behavior Disorders,MESH:D002653,2,Manganese|methylmercuric chloride,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Child Behavior Disorders,MESH:D002653,3,Dextroamphetamine|Lead|Manganese,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Child Nutrition Disorders,MESH:D015362,1,Mebendazole,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Lead|lead acetate,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0008635,Child Behavior Disorders,MESH:D002653,1,Manganese,0,
activation of immune response,GO:0002253,Child Behavior Disorders,MESH:D002653,1,Isoniazid,0,
activation of phospholipase C activity,GO:0007202,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
activation of protein kinase A activity,GO:0034199,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Lead,0,
activation of protein kinase A activity,GO:0034199,"Hypercalciuria, childhood idiopathic",MESH:C536082,1,Ketoconazole,0,
activation of protein kinase A activity,GO:0034199,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Lead|lead acetate,0,
activation of protein kinase B activity,GO:0032148,Child Behavior Disorders,MESH:D002653,3,bisphenol A|methylmercuric chloride|Phenobarbital,0,
activation of protein kinase B activity,GO:0032148,"Child Development Disorders, Pervasive",MESH:D002659,1,Methionine,0,
activation of protein kinase B activity,GO:0032148,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,lead acetate,0,
activation of protein kinase C activity,GO:1990051,Child Behavior Disorders,MESH:D002653,2,bisphenol A|Lead,0,
activation of protein kinase C activity,GO:1990051,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,1,Lead,0,
acylglycerol metabolic process,GO:0006639,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071880,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071880,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,0,,1,GPR88
adenylate cyclase-inhibiting dopamine receptor signaling pathway,GO:0007195,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,0,,1,GPR88
adipose tissue development,GO:0060612,Child Behavior Disorders,MESH:D002653,5,bisphenol A|DDT|methylmercuric chloride|Olanzapine|Risperidone,0,
adipose tissue development,GO:0060612,"Child Development Disorders, Pervasive",MESH:D002659,1,Risperidone,0,
adipose tissue development,GO:0060612,"Schizophrenia, Childhood",MESH:D012561,1,Clozapine,0,
adrenal gland development,GO:0030325,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
