GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,"Lupus Erythematosus, Discoid",MESH:D008179,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,"Lupus Erythematosus, Systemic",MESH:D008180,1,Hydroxychloroquine,0,
2-oxoglutarate metabolic process,GO:0006103,Lupus Nephritis,MESH:D008181,1,Niclosamide,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Lupus Erythematosus, Systemic",MESH:D008180,1,Methylprednisolone,0,
4-hydroxyproline biosynthetic process,GO:0019472,Lupus Nephritis,MESH:D008181,1,Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,"Lupus Erythematosus, Systemic",MESH:D008180,3,Cyclophosphamide|Methylprednisolone|Particulate Matter,0,
4-hydroxyproline metabolic process,GO:0019471,Lupus Nephritis,MESH:D008181,2,Cyclophosphamide|Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,"Lupus Vasculitis, Central Nervous System",MESH:D020945,1,Cyclophosphamide,0,
5-methylcytosine metabolic process,GO:0019857,"Lupus Erythematosus, Systemic",MESH:D008180,1,Particulate Matter,0,
abscission,GO:0009838,"Lupus Erythematosus, Systemic",MESH:D008180,1,Melatonin,0,
acetate metabolic process,GO:0006083,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Hydroxychloroquine,0,
acetate metabolic process,GO:0006083,"Lupus Erythematosus, Discoid",MESH:D008179,1,Hydroxychloroquine,0,
acetate metabolic process,GO:0006083,"Lupus Erythematosus, Systemic",MESH:D008180,2,Amiodarone|Hydroxychloroquine,0,
acetoacetic acid metabolic process,GO:0043438,"Lupus Erythematosus, Systemic",MESH:D008180,1,Amiodarone,0,
acetylcholine metabolic process,GO:0008291,Lupus Nephritis,MESH:D008181,1,Lipopolysaccharides,0,
acrosome reaction,GO:0007340,"Lupus Erythematosus, Systemic",MESH:D008180,1,Chlorpromazine,0,
actin cytoskeleton organization,GO:0030036,"Lupus Erythematosus, Systemic",MESH:D008180,2,Estradiol|Silicon Dioxide,0,
actin filament capping,GO:0051693,"Lupus Erythematosus, Systemic",MESH:D008180,1,Isoniazid,0,
actin filament capping,GO:0051693,Lupus Nephritis,MESH:D008181,1,Isoniazid,0,
actin filament organization,GO:0007015,"Lupus Erythematosus, Systemic",MESH:D008180,1,Melatonin,0,
actin filament polymerization,GO:0030041,Lupus Nephritis,MESH:D008181,2,Lipopolysaccharides|Niclosamide,0,
actin filament reorganization,GO:0090527,"Lupus Erythematosus, Systemic",MESH:D008180,1,Particulate Matter,0,
action potential,GO:0001508,"Lupus Erythematosus, Systemic",MESH:D008180,2,Minocycline|Particulate Matter,0,
action potential initiation,GO:0099610,"Lupus Erythematosus, Cutaneous",MESH:D008178,2,Chloroquine|Valproic Acid,0,
action potential initiation,GO:0099610,"Lupus Erythematosus, Discoid",MESH:D008179,1,Chloroquine,0,
action potential initiation,GO:0099610,"Lupus Erythematosus, Systemic",MESH:D008180,3,Carbamazepine|Chloroquine|Valproic Acid,0,
activated T cell proliferation,GO:0050798,"Lupus Erythematosus, Systemic",MESH:D008180,0,,2,IL4|ITGAM
activated T cell proliferation,GO:0050798,"Lupus Vasculitis, Central Nervous System",MESH:D020945,0,,1,ITGAM
activation-induced cell death of T cells,GO:0006924,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,FAS
activation-induced cell death of T cells,GO:0006924,Lupus Nephritis,MESH:D008181,0,,1,FAS
activation of cysteine-type endopeptidase activity,GO:0097202,"Lupus Erythematosus, Systemic",MESH:D008180,5,Estradiol|Folic Acid|Homocysteine|Indomethacin|Particulate Matter,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,"Lupus Erythematosus, Cutaneous",MESH:D008178,2,Chloroquine|Sertraline,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,"Lupus Erythematosus, Discoid",MESH:D008179,1,Chloroquine,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,"Lupus Erythematosus, Systemic",MESH:D008180,4,Chloroquine|Diclofenac|Indomethacin|Methotrexate,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Lupus Nephritis,MESH:D008181,2,Dexamethasone|Niclosamide,0,
activation of GTPase activity,GO:0090630,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,RASGRP1
activation of immune response,GO:0002253,Chilblain lupus 1,MESH:C535924,0,,1,TREX1
activation of immune response,GO:0002253,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Rifampin,0,
activation of immune response,GO:0002253,"Lupus Erythematosus, Systemic",MESH:D008180,2,Isoniazid|Rifampin,1,TREX1
activation of immune response,GO:0002253,Lupus Nephritis,MESH:D008181,2,Isoniazid|Rifampin,0,
activation of innate immune response,GO:0002218,Chilblain lupus 1,MESH:C535924,0,,1,STING1
activation of innate immune response,GO:0002218,Lupus Nephritis,MESH:D008181,1,Methimazole,1,MMP2
activation of Janus kinase activity,GO:0042976,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,IL4
activation of protein kinase A activity,GO:0034199,Lupus Nephritis,MESH:D008181,1,Dexamethasone,0,
activation of protein kinase activity,GO:0032147,"Lupus Erythematosus, Systemic",MESH:D008180,1,Aspirin,0,
activation of protein kinase activity,GO:0032147,Lupus Nephritis,MESH:D008181,1,Lipopolysaccharides,0,
activation of protein kinase B activity,GO:0032148,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Fluorouracil,0,
activation of protein kinase B activity,GO:0032148,"Lupus Erythematosus, Systemic",MESH:D008180,10,Estradiol|Ethosuximide|Folic Acid|Melatonin|Metoprolol|Particulate Matter|Silicon Dioxide|Sulfasalazine|Tobacco Smoke Pollution|triptolide,0,
activation of protein kinase B activity,GO:0032148,Lupus Nephritis,MESH:D008181,4,Dexamethasone|Lipopolysaccharides|Niclosamide|Protein Kinase Inhibitors,0,
activation of protein kinase C activity,GO:1990051,"Lupus Erythematosus, Systemic",MESH:D008180,1,Vincristine,0,
acute inflammatory response,GO:0002526,"Lupus Erythematosus, Systemic",MESH:D008180,1,Cyclophosphamide,1,TNFSF4
acute inflammatory response,GO:0002526,Lupus Nephritis,MESH:D008181,3,Cyclophosphamide|Dexamethasone|Lipopolysaccharides,0,
