GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Obesity, Abdominal",MESH:D056128,1,bisphenol F,0,
3'-phosphoadenosine 5'-phosphosulfate metabolic process,GO:0050427,Obesity,MESH:D009765,0,,1,ENPP1
4-hydroxyproline biosynthetic process,GO:0019472,Obesity,MESH:D009765,2,Fructose|Genistein,0,
4-hydroxyproline metabolic process,GO:0019471,Obesity,MESH:D009765,4,Berberine|Dietary Fats|Particulate Matter|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Obesity, Abdominal",MESH:D056128,2,Dietary Fats|Particulate Matter,0,
4-nitrophenol metabolic process,GO:0018960,Obesity,MESH:D009765,0,,1,CYP2E1
5-methylcytosine biosynthetic process,GO:0046082,Obesity,MESH:D009765,1,bisphenol A,0,
5-methylcytosine biosynthetic process,GO:0046082,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Obesity,MESH:D009765,2,Particulate Matter|Vehicle Emissions,0,
5-methylcytosine metabolic process,GO:0019857,"Obesity, Abdominal",MESH:D056128,1,Particulate Matter,0,
acetaldehyde biosynthetic process,GO:0046186,Obesity,MESH:D009765,1,Diethylnitrosamine,0,
acetaldehyde metabolic process,GO:0006117,Obesity,MESH:D009765,1,Chlorpyrifos,0,
acetate biosynthetic process,GO:0019413,Obesity,MESH:D009765,2,bisphenol A|bisphenol S,0,
acetate biosynthetic process,GO:0019413,"Obesity, Abdominal",MESH:D056128,3,bisphenol A|bisphenol F|bisphenol S,0,
acetate biosynthetic process,GO:0019413,Pediatric Obesity,MESH:D063766,1,bisphenol S,0,
acetate metabolic process,GO:0006083,Obesity,MESH:D009765,4,Chlorpyrifos|Cholesterol|Dietary Fats|geraniol,0,
acetate metabolic process,GO:0006083,"Obesity, Abdominal",MESH:D056128,1,Dietary Fats,0,
acetylcholine biosynthetic process,GO:0008292,Obesity,MESH:D009765,2,bisphenol A|Polychlorinated Biphenyls,0,
acetylcholine biosynthetic process,GO:0008292,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
acetylcholine catabolic process,GO:0006581,Obesity,MESH:D009765,1,Chlorpyrifos,2,ACHE|BCHE
acetylcholine catabolic process in synaptic cleft,GO:0001507,Obesity,MESH:D009765,0,,1,ACHE
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0003069,Obesity,MESH:D009765,0,,1,SOD2
acetylcholine metabolic process,GO:0008291,Obesity,MESH:D009765,2,bisphenol A|Chlorpyrifos,1,ACHE
acetylcholine metabolic process,GO:0008291,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
acetylcholine receptor signaling pathway,GO:0095500,Obesity,MESH:D009765,1,Nicotine,1,ACHE
acetylcholine secretion,GO:0061526,Obesity,MESH:D009765,2,bisphenol A|Manganese,0,
acetylcholine secretion,GO:0061526,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
"acetylcholine secretion, neurotransmission",GO:0014055,Obesity,MESH:D009765,1,Dronabinol,0,
acetylcholine transport,GO:0015870,Obesity,MESH:D009765,0,,2,SLC22A1|SLC22A2
acetyl-CoA biosynthetic process,GO:0006085,Obesity,MESH:D009765,4,cobaltiprotoporphyrin|Diethylhexyl Phthalate|Glucose|Streptozocin,1,ACLY
acetyl-CoA metabolic process,GO:0006084,Obesity,MESH:D009765,2,Glucose|Glyphosate,4,ACACB|ACLY|CS|FASN
acrosome assembly,GO:0001675,Obesity,MESH:D009765,1,Diethylhexyl Phthalate,0,
acrosome reaction,GO:0007340,Obesity,MESH:D009765,4,bisphenol A|cyhalothrin|Glyphosate|Taurine,1,ADCY3
acrosome reaction,GO:0007340,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
acrosome reaction,GO:0007340,"Obesity, Morbid",MESH:D009767,0,,1,ADCY3
actin cytoskeleton organization,GO:0030036,Obesity,MESH:D009765,8,Acetylcysteine|Ascorbic Acid|bisphenol A|Genistein|Glutathione|Glyphosate|Mercury|Plant Extracts,1,PTPN1
actin cytoskeleton organization,GO:0030036,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
actin cytoskeleton reorganization,GO:0031532,Obesity,MESH:D009765,1,bisphenol A,0,
actin cytoskeleton reorganization,GO:0031532,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
actin filament bundle assembly,GO:0051017,Obesity,MESH:D009765,0,,1,GAS7
actin filament depolymerization,GO:0030042,Obesity,MESH:D009765,1,bisphenol A,0,
actin filament depolymerization,GO:0030042,"Obesity, Abdominal",MESH:D056128,1,bisphenol A,0,
actin filament organization,GO:0007015,Obesity,MESH:D009765,1,Dronabinol,2,PPARGC1B|TF
actin filament polymerization,GO:0030041,Obesity,MESH:D009765,2,Resveratrol|Tetrachlorodibenzodioxin,1,GAS7
actin filament polymerization,GO:0030041,"Obesity, Abdominal",MESH:D056128,1,Tetrachlorodibenzodioxin,0,
