GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Osteoarthritis,MESH:D010003,0,,1,IDH2
4-hydroxyproline metabolic process,GO:0019471,Osteoarthritis,MESH:D010003,2,Dietary Fats|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,"Osteoarthritis, Knee",MESH:D020370,1,Resveratrol,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Osteoarthritis,MESH:D010003,1,Ethanol,0,
9-cis-retinoic acid biosynthetic process,GO:0042904,Osteoarthritis,MESH:D010003,0,,1,ALDH1A2
acetaldehyde biosynthetic process,GO:0046186,Osteoarthritis,MESH:D010003,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Osteoarthritis,MESH:D010003,1,Ethanol,0,
acetate metabolic process,GO:0006083,Osteoarthritis,MESH:D010003,1,Dietary Fats,0,
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0003069,Osteoarthritis,MESH:D010003,0,,1,SOD2
acetylcholine metabolic process,GO:0008291,Osteoarthritis,MESH:D010003,1,Lipopolysaccharides,0,
acetylcholine metabolic process,GO:0008291,"Osteoarthritis, Knee",MESH:D020370,1,Lipopolysaccharides,0,
acetylcholine receptor signaling pathway,GO:0095500,Osteoarthritis,MESH:D010003,1,Nicotine,0,
acetyl-CoA biosynthetic process,GO:0006085,Osteoarthritis,MESH:D010003,1,Acetaminophen,0,
acetyl-CoA biosynthetic process from pyruvate,GO:0006086,Osteoarthritis,MESH:D010003,0,,1,PDHA1
acetyl-CoA metabolic process,GO:0006084,Osteoarthritis,MESH:D010003,0,,1,ACAA2
actin cytoskeleton organization,GO:0030036,Osteoarthritis,MESH:D010003,0,,4,EZR|RAN|SDCBP|TRPV4
actin filament bundle assembly,GO:0051017,Osteoarthritis,MESH:D010003,0,,2,EZR|PLS3
actin filament network formation,GO:0051639,Osteoarthritis,MESH:D010003,0,,1,PLS3
actin filament organization,GO:0007015,Osteoarthritis,MESH:D010003,0,,1,TRPV4
actin filament polymerization,GO:0030041,Osteoarthritis,MESH:D010003,3,Ethanol|Lipopolysaccharides|Resveratrol,1,LTBP3
actin filament polymerization,GO:0030041,"Osteoarthritis, Hip",MESH:D015207,0,,1,LTBP3
actin filament polymerization,GO:0030041,"Osteoarthritis, Knee",MESH:D020370,2,Lipopolysaccharides|Resveratrol,0,
action potential,GO:0001508,Osteoarthritis,MESH:D010003,1,Nicotine,0,
activation of adenylate cyclase activity,GO:0007190,Osteoarthritis,MESH:D010003,2,Dinoprostone|Lithium Chloride,1,CALCA
activation of adenylate cyclase activity,GO:0007190,"Osteoarthritis, Hip",MESH:D015207,0,,1,CRHR1
activation of cysteine-type endopeptidase activity,GO:0097202,Osteoarthritis,MESH:D010003,4,Indomethacin|MF63 compound|Reactive Oxygen Species|Resveratrol,0,
activation of cysteine-type endopeptidase activity,GO:0097202,"Osteoarthritis, Hip",MESH:D015207,1,Indomethacin,0,
activation of cysteine-type endopeptidase activity,GO:0097202,"Osteoarthritis, Knee",MESH:D020370,1,Resveratrol,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Osteoarthritis,MESH:D010003,4,"Diclofenac|Indomethacin|Resveratrol|theaflavin-3,3'-digallate",0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,"Osteoarthritis, Hip",MESH:D015207,1,Indomethacin,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,"Osteoarthritis, Knee",MESH:D020370,1,Resveratrol,0,
activation of NF-kappaB-inducing kinase activity,GO:0007250,Osteoarthritis,MESH:D010003,0,,2,CHI3L1|TNFSF15
activation of protein kinase A activity,GO:0034199,Osteoarthritis,MESH:D010003,2,Dinoprostone|Resveratrol,0,
activation of protein kinase A activity,GO:0034199,"Osteoarthritis, Knee",MESH:D020370,1,Resveratrol,0,
activation of protein kinase activity,GO:0032147,Osteoarthritis,MESH:D010003,3,Aspirin|Ethanol|Lipopolysaccharides,1,CALCA
activation of protein kinase activity,GO:0032147,"Osteoarthritis, Knee",MESH:D020370,1,Lipopolysaccharides,0,
activation of protein kinase B activity,GO:0032148,Osteoarthritis,MESH:D010003,10,Curcumin|Dietary Fats|Dinoprostone|Ethanol|fisetin|Glucosamine|Lipopolysaccharides|Nicotine|Reactive Oxygen Species|Resveratrol,0,
activation of protein kinase B activity,GO:0032148,"Osteoarthritis, Knee",MESH:D020370,2,Lipopolysaccharides|Resveratrol,0,
activation of protein kinase C activity,GO:1990051,Osteoarthritis,MESH:D010003,1,Reactive Oxygen Species,0,
activin receptor signaling pathway,GO:0032924,Osteoarthritis,MESH:D010003,0,,1,SMAD3
activin receptor signaling pathway,GO:0032924,"Osteoarthritis, Hip",MESH:D015207,0,,1,SMAD3
actomyosin contractile ring assembly,GO:0000915,Osteoarthritis,MESH:D010003,0,,1,PDCD6IP
acute inflammatory response,GO:0002526,Osteoarthritis,MESH:D010003,3,Curcumin|Dietary Fats|Lipopolysaccharides,0,
acute inflammatory response,GO:0002526,"Osteoarthritis, Knee",MESH:D020370,1,Lipopolysaccharides,0,
acute-phase response,GO:0006953,"Osteoarthritis, Hip",MESH:D015207,0,,1,HFE
acute-phase response,GO:0006953,"Osteoarthritis, Spine",MESH:D055013,0,,1,IL6
acyl-CoA metabolic process,GO:0006637,Osteoarthritis,MESH:D010003,1,Dietary Fats,0,
acylglycerol metabolic process,GO:0006639,Osteoarthritis,MESH:D010003,1,Acetaminophen,0,
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:0002460,Osteoarthritis,MESH:D010003,0,,1,TGFB1
adaptive thermogenesis,GO:1990845,Osteoarthritis,MESH:D010003,2,Caffeine|Capsaicin,0,
adenohypophysis development,GO:0021984,"Osteoarthritis, Hip",MESH:D015207,0,,1,SMO
adenosine metabolic process,GO:0046085,Osteoarthritis,MESH:D010003,1,Indomethacin,0,
adenosine metabolic process,GO:0046085,"Osteoarthritis, Hip",MESH:D015207,1,Indomethacin,0,
