GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Wolff-Parkinson-White Syndrome,MESH:D014927,1,Isoproterenol,0,
4-hydroxyproline metabolic process,GO:0019471,Parkinson Disease,MESH:D010300,3,Carbon Tetrachloride|Paraquat|Particulate Matter,0,
4-hydroxyproline metabolic process,GO:0019471,"Parkinson Disease, Secondary",MESH:D010302,3,Doxorubicin|Paraquat|Resveratrol,0,
4-hydroxyproline metabolic process,GO:0019471,Parkinsonian Disorders,MESH:D020734,4,Docosahexaenoic Acids|Paraquat|Particulate Matter|Resveratrol,0,
4-nitrophenol metabolic process,GO:0018960,Parkinson Disease,MESH:D010300,0,,1,CYP2E1
5-methylcytosine metabolic process,GO:0019857,Parkinson Disease,MESH:D010300,2,Particulate Matter|Vehicle Emissions,0,
5-methylcytosine metabolic process,GO:0019857,Parkinsonian Disorders,MESH:D020734,1,Particulate Matter,0,
9-cis-retinoic acid biosynthetic process,GO:0042904,Parkinsonian Disorders,MESH:D020734,0,,2,ALDH1A1|ALDH1A2
9-cis-retinoic acid metabolic process,GO:0042905,Parkinsonian Disorders,MESH:D020734,0,,1,ALDH1A1
abscission,GO:0009838,Parkinson Disease,MESH:D010300,1,Melatonin,0,
abscission,GO:0009838,"Parkinson Disease, Secondary",MESH:D010302,1,Melatonin,0,
abscission,GO:0009838,Parkinsonian Disorders,MESH:D020734,1,Melatonin,0,
acetaldehyde metabolic process,GO:0006117,Parkinson Disease,MESH:D010300,3,Chlorpyrifos|Diazinon|Maneb,1,ALDH2
acetaldehyde metabolic process,GO:0006117,"Parkinson Disease, Secondary",MESH:D010302,1,Maneb,0,
acetaldehyde metabolic process,GO:0006117,Parkinsonian Disorders,MESH:D020734,2,mancozeb|Maneb,0,
acetate biosynthetic process,GO:0019413,Parkinson Disease,MESH:D010300,1,Endosulfan,0,
acetate metabolic process,GO:0006083,Parkinson Disease,MESH:D010300,2,Chlorpyrifos|Ziram,0,
acetate metabolic process,GO:0006083,"Parkinson Disease, Secondary",MESH:D010302,3,Amiodarone|geraniol|Ziram,0,
acetate metabolic process,GO:0006083,Parkinsonian Disorders,MESH:D020734,2,Amiodarone|geraniol,0,
acetate metabolic process,GO:0006083,Wolff-Parkinson-White Syndrome,MESH:D014927,1,Amiodarone,0,
