GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Pneumonia,MESH:D011014,1,Oxygen,0,
3'-UTR-mediated mRNA stabilization,GO:0070935,Pneumonia,MESH:D011014,0,,1,MYD88
4-hydroxyproline biosynthetic process,GO:0019472,Pneumonia,MESH:D011014,1,Methylprednisolone,0,
4-hydroxyproline biosynthetic process,GO:0019472,"Pneumonia, Pneumocystis",MESH:D011020,1,Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,Bronchopneumonia,MESH:D001996,1,Particulate Matter,0,
4-hydroxyproline metabolic process,GO:0019471,Pneumonia,MESH:D011014,6,Bleomycin|Cyclophosphamide|Dietary Fats|Methylprednisolone|Paraquat|Particulate Matter,0,
4-hydroxyproline metabolic process,GO:0019471,"Pneumonia, Pneumocystis",MESH:D011020,2,Cyclophosphamide|Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,"Pneumonia, Viral",MESH:D011024,1,Particulate Matter,0,
5-methylcytosine biosynthetic process,GO:0046082,Pneumonia,MESH:D011014,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Bronchopneumonia,MESH:D001996,1,Particulate Matter,0,
5-methylcytosine metabolic process,GO:0019857,Pneumonia,MESH:D011014,2,Particulate Matter|Vehicle Emissions,0,
5-methylcytosine metabolic process,GO:0019857,"Pneumonia, Viral",MESH:D011024,1,Particulate Matter,0,
acetaldehyde metabolic process,GO:0006117,Pneumonia,MESH:D011014,1,"lipopolysaccharide, Escherichia coli O111 B4",0,
acetate biosynthetic process,GO:0019413,Pneumonia,MESH:D011014,1,bisphenol A,0,
acetate metabolic process,GO:0006083,Pneumonia,MESH:D011014,2,Amiodarone|Dietary Fats,0,
acetoacetic acid metabolic process,GO:0043438,Pneumonia,MESH:D011014,1,Amiodarone,0,
acetylcholine biosynthetic process,GO:0008292,Pneumonia,MESH:D011014,2,bisphenol A|Paraquat,0,
acetylcholine catabolic process,GO:0006581,"Pneumonia, Viral",MESH:D011024,0,,1,ACE
acetylcholine catabolic process in synaptic cleft,GO:0001507,"Pneumonia, Viral",MESH:D011024,0,,1,ACE
acetylcholine metabolic process,GO:0008291,Pneumonia,MESH:D011014,5,Arsenic|bisphenol A|Cisplatin|Lipopolysaccharides|Zinc,0,
acetylcholine secretion,GO:0061526,Pneumonia,MESH:D011014,2,bisphenol A|Manganese,0,
"acetylcholine secretion, neurotransmission",GO:0014055,Pneumonia,MESH:D011014,1,Dronabinol,0,
acetyl-CoA metabolic process,GO:0006084,Pneumonia,MESH:D011014,2,Cadmium Chloride|Glyphosate,0,
acrosome assembly,GO:0001675,Pneumonia,MESH:D011014,1,Sildenafil Citrate,0,
acrosome reaction,GO:0007340,Pneumonia,MESH:D011014,3,bisphenol A|Glyphosate|Taurine,0,
acrosome reaction,GO:0007340,"Pneumonia, Aspiration",MESH:D011015,1,Chlorpromazine,0,
actin cytoskeleton organization,GO:0030036,Pneumonia,MESH:D011014,6,bisphenol A|Glyphosate|Silicon Dioxide|Silver Compounds|Smoke|titanium dioxide,1,CXCL1
