GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Psoriasis,MESH:D011565,1,Hydroxychloroquine,0,
acetate metabolic process,GO:0006083,Psoriasis,MESH:D011565,1,Hydroxychloroquine,0,
acetylcholine biosynthetic process,GO:0008292,Psoriasis,MESH:D011565,1,Tretinoin,0,
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0003069,Psoriasis,MESH:D011565,0,,1,SOD2
acetylcholine secretion,GO:0061526,Psoriasis,MESH:D011565,1,Tretinoin,0,
action potential,GO:0001508,Psoriasis,MESH:D011565,1,Minocycline,0,
action potential initiation,GO:0099610,Parapsoriasis,MESH:D010267,1,Carbamazepine,0,
activated T cell proliferation,GO:0050798,Psoriasis,MESH:D011565,0,,1,IL4
activation of adenylate cyclase activity,GO:0007190,Psoriasis,MESH:D011565,1,Lithium Carbonate,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Psoriasis,MESH:D011565,1,Folic Acid,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Psoriasis,MESH:D011565,2,Methotrexate|Tretinoin,0,
activation of Janus kinase activity,GO:0042976,Psoriasis,MESH:D011565,0,,1,IL4
activation of meiosis,GO:0090427,Psoriasis,MESH:D011565,1,Tretinoin,0,
activation of NF-kappaB-inducing kinase activity,GO:0007250,Psoriasis,MESH:D011565,0,,1,CARD14
activation of protein kinase B activity,GO:0032148,Psoriasis,MESH:D011565,6,5-Methoxypsoralen|Calcitriol|Folic Acid|Sirolimus|Sulfasalazine|Tobacco Smoke Pollution,0,
acute inflammatory response,GO:0002526,Psoriasis,MESH:D011565,0,,1,VNN1
acute-phase response,GO:0006953,Psoriasis,MESH:D011565,0,,3,CRP|IL6|STAT3
adaptive immune response,GO:0002250,Parapsoriasis,MESH:D010267,0,,1,HLA-E
adaptive immune response,GO:0002250,Psoriasis,MESH:D011565,1,tofacitinib,2,ERAP1|HLA-C
adenosine to inosine editing,GO:0006382,Psoriasis,MESH:D011565,1,Methotrexate,0,
adipose tissue development,GO:0060612,Psoriasis,MESH:D011565,5,Calcitriol|Cyclosporine|Folic Acid|Sirolimus|Troglitazone,0,
ADP biosynthetic process,GO:0006172,Psoriasis,MESH:D011565,1,Tobacco Smoke Pollution,0,
adult feeding behavior,GO:0008343,Psoriasis,MESH:D011565,1,Sirolimus,0,
aerobic electron transport chain,GO:0019646,Psoriasis,MESH:D011565,3,Cyclosporine|Methotrexate|Troglitazone,0,
aerobic respiration,GO:0009060,Psoriasis,MESH:D011565,2,Aminolevulinic Acid|Calcitriol,1,CAT
alanine metabolic process,GO:0006522,Psoriasis,MESH:D011565,1,Tobacco Smoke Pollution,0,
aldehyde biosynthetic process,GO:0046184,Psoriasis,MESH:D011565,1,Tretinoin,0,
alpha-tubulin acetylation,GO:0071929,Psoriasis,MESH:D011565,1,Colchicine,0,
amine metabolic process,GO:0009308,Psoriasis,MESH:D011565,1,Methotrexate,0,
amino acid biosynthetic process,GO:0008652,Psoriasis,MESH:D011565,1,Folic Acid,0,
amino acid metabolic process,GO:0006520,Psoriasis,MESH:D011565,2,Methotrexate|Tretinoin,0,
AMPA glutamate receptor clustering,GO:0097113,Psoriasis,MESH:D011565,0,,1,APOE
AMP metabolic process,GO:0046033,Psoriasis,MESH:D011565,1,Folic Acid,0,
amyloid-beta metabolic process,GO:0050435,Psoriasis,MESH:D011565,0,,1,REN
amyloid precursor protein metabolic process,GO:0042982,Psoriasis,MESH:D011565,0,,1,APOE
anatomical structure morphogenesis,GO:0009653,Psoriasis,MESH:D011565,1,Tretinoin,2,REL|TP53
androgen metabolic process,GO:0008209,Psoriasis,MESH:D011565,2,Cyclosporine|Tretinoin,0,
angiogenesis,GO:0001525,Psoriasis,MESH:D011565,3,Folic Acid|naphthalan|tofacitinib,4,ERAP1|S100A7|TGFA|VEGFA
angiogenesis involved in coronary vascular morphogenesis,GO:0060978,Psoriasis,MESH:D011565,0,,1,VEGFA
angiotensin maturation,GO:0002003,Psoriasis,MESH:D011565,0,,1,REN
animal organ morphogenesis,GO:0009887,Psoriasis,MESH:D011565,0,,1,TNF
animal organ regeneration,GO:0031100,Psoriasis,MESH:D011565,0,,2,MKI67|PPARG
anoikis,GO:0043276,Psoriasis,MESH:D011565,1,Tretinoin,0,
antibacterial humoral response,GO:0019731,Parapsoriasis,MESH:D010267,0,,2,HLA-A|HLA-E
