GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
2-oxoglutarate metabolic process,GO:0006103,Pulmonary Edema,MESH:D011654,2,Isoproterenol|Oxygen,0,
4-hydroxyproline biosynthetic process,GO:0019472,Pulmonary Edema,MESH:D011654,1,Methylprednisolone,0,
4-hydroxyproline metabolic process,GO:0019471,Pulmonary Edema,MESH:D011654,9,Berberine|Bleomycin|Cyclophosphamide|Doxorubicin|Methylprednisolone|pachymic acid|Paraquat|Particulate Matter|Resveratrol,0,
5-methylcytosine biosynthetic process,GO:0046082,Pulmonary Edema,MESH:D011654,1,bisphenol A,0,
5-methylcytosine metabolic process,GO:0019857,Pulmonary Edema,MESH:D011654,2,Particulate Matter|Vehicle Emissions,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Pulmonary Edema,MESH:D011654,1,Ethanol,0,
abscission,GO:0009838,Pulmonary Edema,MESH:D011654,1,Melatonin,0,
acetaldehyde biosynthetic process,GO:0046186,Pulmonary Edema,MESH:D011654,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Pulmonary Edema,MESH:D011654,1,Ethanol,0,
acetaldehyde metabolic process,GO:0006117,Pulmonary Edema,MESH:D011654,2,"Chlorpyrifos|lipopolysaccharide, Escherichia coli O111 B4",0,
acetate biosynthetic process,GO:0019413,Pulmonary Edema,MESH:D011654,1,bisphenol A,0,
acetate metabolic process,GO:0006083,Pulmonary Edema,MESH:D011654,4,Chlorpyrifos|geraniol|Propofol|Sevoflurane,0,
acetone metabolic process,GO:0043443,Pulmonary Edema,MESH:D011654,1,Propofol,0,
acetylcholine biosynthetic process,GO:0008292,Pulmonary Edema,MESH:D011654,3,bisphenol A|Paraquat|Tretinoin,0,
acetylcholine catabolic process,GO:0006581,Pulmonary Edema,MESH:D011654,2,Chlorpyrifos|Soman,0,
acetylcholine metabolic process,GO:0008291,Pulmonary Edema,MESH:D011654,5,Arsenic|bisphenol A|Chlorpyrifos|Isoflurane|Lipopolysaccharides,0,
acetylcholine receptor signaling pathway,GO:0095500,Pulmonary Edema,MESH:D011654,1,Nicotine,0,
acetylcholine secretion,GO:0061526,Pulmonary Edema,MESH:D011654,3,bisphenol A|Soman|Tretinoin,0,
"acetylcholine secretion, neurotransmission",GO:0014055,Pulmonary Edema,MESH:D011654,1,Dronabinol,0,
acetyl-CoA biosynthetic process,GO:0006085,Pulmonary Edema,MESH:D011654,1,Acetaminophen,0,
acrosome assembly,GO:0001675,Pulmonary Edema,MESH:D011654,1,Sildenafil Citrate,0,
acrosome reaction,GO:0007340,Pulmonary Edema,MESH:D011654,1,bisphenol A,0,
actin cytoskeleton organization,GO:0030036,Pulmonary Edema,MESH:D011654,10,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC|Acetylcysteine|alpha-Tocopherol|Ascorbic Acid|bisphenol A|Doxorubicin|Silicon Dioxide|Silver Compounds|Smoke|Thioctic Acid",0,
actin cytoskeleton reorganization,GO:0031532,Pulmonary Edema,MESH:D011654,2,bisphenol A|Simvastatin,0,
actin filament bundle organization,GO:0061572,Pulmonary Edema,MESH:D011654,1,"lipopolysaccharide, Escherichia coli O111 B4",0,
actin filament depolymerization,GO:0030042,Pulmonary Edema,MESH:D011654,1,bisphenol A,0,
actin filament organization,GO:0007015,Pulmonary Edema,MESH:D011654,3,Dronabinol|Melatonin|Oxygen,0,
actin filament polymerization,GO:0030041,Pulmonary Edema,MESH:D011654,3,Ethanol|Lipopolysaccharides|Resveratrol,0,
actin filament reorganization,GO:0090527,Pulmonary Edema,MESH:D011654,1,Particulate Matter,0,
action potential,GO:0001508,Pulmonary Edema,MESH:D011654,4,"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol|Nicotine|Nifedipine|Particulate Matter",0,
action potential initiation,GO:0099610,Pulmonary Edema,MESH:D011654,2,Lidocaine|Paraquat,0,
activation of adenylate cyclase activity,GO:0007190,Pulmonary Edema,MESH:D011654,10,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC|3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol|Dronabinol|glyceryl 2-arachidonate|Isoproterenol|Lithium Chloride|Morphine|Naloxone|Pertussis Toxin|Sodium Fluoride",0,
activation of cysteine-type endopeptidase activity,GO:0097202,Pulmonary Edema,MESH:D011654,9,Acetylcysteine|Dantrolene|Dronabinol|Indomethacin|Oxygen|Paraquat|Particulate Matter|Resveratrol|Verapamil,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Pulmonary Edema,MESH:D011654,20,"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol|Acetylcysteine|allyl sulfide|Arsenic Trioxide|Cadmium|Chlorine|Chlorpyrifos|Dexamethasone|Doxorubicin|Indomethacin|Isoflurane|Ketamine|Methamphetamine|Methotrexate|nilotinib|Nitric Oxide|pyrazolanthrone|Resveratrol|Sertraline|Tretinoin",0,
