GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acute-phase response,GO:0006953,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
auditory receptor cell development,GO:0060117,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
bone remodeling,GO:0046849,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
brain renin-angiotensin system,GO:0002035,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
branching involved in salivary gland morphogenesis,GO:0060445,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
camera-type eye development,GO:0043010,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
carboxylic acid metabolic process,GO:0019752,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
cell differentiation,GO:0030154,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cell population proliferation,GO:0008283,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
cell redox homeostasis,GO:0045454,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cell surface receptor signaling pathway,GO:0007166,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
cellular response to cytokine stimulus,GO:0071345,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to dexamethasone stimulus,GO:0071549,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to estradiol stimulus,GO:0071392,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to hepatocyte growth factor stimulus,GO:0035729,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to hydrogen peroxide,GO:0070301,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,2,IL6|MIF
cellular response to hypoxia,GO:0071456,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
cellular response to interleukin-1,GO:0071347,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to interleukin-17,GO:0097398,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to lipopolysaccharide,GO:0071222,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to nutrient levels,GO:0031669,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to prolactin,GO:1990646,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to tumor necrosis factor,GO:0071356,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular response to virus,GO:0098586,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
cellular senescence,GO:0090398,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,MIF
cytokine-mediated signaling pathway,GO:0019221,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
defense response to Gram-negative bacterium,GO:0050829,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
defense response to Gram-positive bacterium,GO:0050830,"Rheumatoid Arthritis, Systemic Juvenile",MESH:C565798,0,,1,IL6
