GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
abscission,GO:0009838,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
actin filament organization,GO:0007015,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
activation of protein kinase B activity,GO:0032148,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
adipose tissue development,GO:0060612,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,1,RORC
adipose tissue development,GO:0060612,"Sleep Disorders, Intrinsic",MESH:D020919,1,Olanzapine,0,
adult walking behavior,GO:0007628,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
alcohol metabolic process,GO:0006066,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
alpha-beta T cell differentiation,GO:0046632,"Sleep Disorders, Circadian Rhythm",MESH:D020178,0,,1,RORC
amino acid metabolic process,GO:0006520,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
AMP catabolic process,GO:0006196,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Haloperidol,0,
AMP catabolic process,GO:0006196,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
"androst-4-ene-3,17-dione biosynthetic process",GO:1903449,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Haloperidol,0,
"androst-4-ene-3,17-dione biosynthetic process",GO:1903449,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
anterior/posterior pattern specification,GO:0009952,"Sleep Disorders, Circadian Rhythm",MESH:D020178,0,,1,BHLHE40
apoptotic chromosome condensation,GO:0030263,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
apoptotic DNA fragmentation,GO:0006309,"Sleep Disorders, Circadian Rhythm",MESH:D020178,3,Haloperidol|Melatonin|Tranylcypromine,0,
apoptotic DNA fragmentation,GO:0006309,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
apoptotic nuclear changes,GO:0030262,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
apoptotic process,GO:0006915,"Sleep Disorders, Circadian Rhythm",MESH:D020178,2,Haloperidol|Melatonin,0,
apoptotic process,GO:0006915,"Sleep Disorders, Intrinsic",MESH:D020919,3,Haloperidol|Olanzapine|Quetiapine Fumarate,0,
ATP biosynthetic process,GO:0006754,"Sleep Disorders, Circadian Rhythm",MESH:D020178,2,Haloperidol|Melatonin,0,
ATP biosynthetic process,GO:0006754,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
ATP metabolic process,GO:0046034,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
attachment of spindle microtubules to kinetochore,GO:0008608,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
autophagosome assembly,GO:0000045,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
autophagy,GO:0006914,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
axon extension,GO:0048675,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
bile acid biosynthetic process,GO:0006699,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
binding of sperm to zona pellucida,GO:0007339,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
blastocyst formation,GO:0001825,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
blood circulation,GO:0008015,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Haloperidol,0,
blood circulation,GO:0008015,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
blue light signaling pathway,GO:0009785,"Sleep Disorders, Circadian Rhythm",MESH:D020178,0,,1,CRY1
calcium-mediated signaling,GO:0019722,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cAMP transport,GO:0070730,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
carbohydrate metabolic process,GO:0005975,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cardiac muscle cell contraction,GO:0086003,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Haloperidol,0,
cardiac muscle cell contraction,GO:0086003,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
carnitine biosynthetic process,GO:0045329,"Sleep Disorders, Intrinsic",MESH:D020919,1,Olanzapine,0,
carnitine transport,GO:0015879,"Sleep Disorders, Intrinsic",MESH:D020919,1,Olanzapine,0,
cell-cell adhesion in response to extracellular stimulus,GO:0140039,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cell chemotaxis,GO:0060326,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cell cycle,GO:0007049,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cell death,GO:0008219,"Sleep Disorders, Circadian Rhythm",MESH:D020178,4,Haloperidol|Melatonin|Phenelzine|Tranylcypromine,0,
cell death,GO:0008219,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
cell differentiation,GO:0030154,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,1,RORC
cell growth,GO:0016049,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cell morphogenesis,GO:0000902,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cell population proliferation,GO:0008283,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cell population proliferation,GO:0008283,"Sleep Disorders, Intrinsic",MESH:D020919,1,Olanzapine,0,
cell redox homeostasis,GO:0045454,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular calcium ion homeostasis,GO:0006874,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular metabolic process,GO:0044237,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular metabolic process,GO:0044237,"Sleep Disorders, Intrinsic",MESH:D020919,1,Quetiapine Fumarate,0,
cellular nitric oxide homeostasis,GO:0033484,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular respiration,GO:0045333,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular response to cAMP,GO:0071320,"Sleep Disorders, Circadian Rhythm",MESH:D020178,0,,1,AANAT
cellular response to DNA damage stimulus,GO:0006974,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular response to gamma radiation,GO:0071480,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular response to hydrogen peroxide,GO:0070301,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular response to interleukin-4,GO:0071353,"Sleep Disorders, Circadian Rhythm",MESH:D020178,0,,1,NFIL3
cellular response to reactive oxygen species,GO:0034614,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cellular response to sterol,GO:0036315,"Sleep Disorders, Circadian Rhythm",MESH:D020178,0,,1,RORC
chemical synaptic transmission,GO:0007268,"Sleep Disorders, Intrinsic",MESH:D020919,2,Olanzapine|Quetiapine Fumarate,0,
cholesterol biosynthetic process,GO:0006695,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Haloperidol,0,
cholesterol biosynthetic process,GO:0006695,"Sleep Disorders, Intrinsic",MESH:D020919,1,Haloperidol,0,
cholesterol homeostasis,GO:0042632,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
cholesterol homeostasis,GO:0042632,"Sleep Disorders, Intrinsic",MESH:D020919,1,Olanzapine,0,
cholesterol metabolic process,GO:0008203,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
chorion development,GO:0060717,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
chromatin remodeling,GO:0006338,"Sleep Disorders, Circadian Rhythm",MESH:D020178,1,Melatonin,0,
