GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Stroke,MESH:D020521,1,Calcium,0,
4-hydroxyproline metabolic process,GO:0019471,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
4-hydroxyproline metabolic process,GO:0019471,Ischemic Stroke,MESH:D000083242,2,Bleomycin|Particulate Matter,0,
4-hydroxyproline metabolic process,GO:0019471,Stroke,MESH:D020521,2,Particulate Matter|Resveratrol,0,
5-methylcytosine metabolic process,GO:0019857,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
5-methylcytosine metabolic process,GO:0019857,Ischemic Stroke,MESH:D000083242,1,Particulate Matter,0,
5-methylcytosine metabolic process,GO:0019857,Stroke,MESH:D020521,1,Particulate Matter,0,
5S class rRNA transcription by RNA polymerase III,GO:0042791,Stroke,MESH:D020521,1,Ethanol,0,
acetaldehyde biosynthetic process,GO:0046186,Stroke,MESH:D020521,1,Ethanol,0,
acetaldehyde catabolic process,GO:0046187,Stroke,MESH:D020521,1,Ethanol,0,
acetylcholine biosynthetic process,GO:0008292,Ischemic Stroke,MESH:D000083242,1,Polychlorinated Biphenyls,0,
acetylcholine biosynthetic process,GO:0008292,Stroke,MESH:D020521,1,Polychlorinated Biphenyls,0,
acetylcholine catabolic process,GO:0006581,Stroke,MESH:D020521,0,,1,ACE
acetylcholine catabolic process in synaptic cleft,GO:0001507,Stroke,MESH:D020521,0,,1,ACE
acetylcholine metabolic process,GO:0008291,Ischemic Stroke,MESH:D000083242,1,Cisplatin,0,
acetylcholine metabolic process,GO:0008291,Stroke,MESH:D020521,2,Arsenic|Vitamin E,0,
acetylcholine receptor signaling pathway,GO:0095500,Stroke,MESH:D020521,1,Nicotine,0,
acetyl-CoA biosynthetic process,GO:0006085,Stroke,MESH:D020521,1,Acetaminophen,0,
acrosome assembly,GO:0001675,Stroke,MESH:D020521,2,Paroxetine|Sildenafil Citrate,0,
acrosome reaction,GO:0007340,Stroke,MESH:D020521,1,Progesterone,0,
actin cytoskeleton organization,GO:0030036,Stroke,MESH:D020521,1,Ascorbic Acid,0,
actin cytoskeleton reorganization,GO:0031532,Stroke,MESH:D020521,1,Simvastatin,0,
actin filament polymerization,GO:0030041,Stroke,MESH:D020521,2,Ethanol|Resveratrol,0,
actin filament reorganization,GO:0090527,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
actin filament reorganization,GO:0090527,Ischemic Stroke,MESH:D000083242,1,Particulate Matter,0,
actin filament reorganization,GO:0090527,Stroke,MESH:D020521,1,Particulate Matter,0,
action potential,GO:0001508,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
action potential,GO:0001508,Ischemic Stroke,MESH:D000083242,2,Minocycline|Particulate Matter,0,
action potential,GO:0001508,Stroke,MESH:D020521,4,Minocycline|Nicotine|Nifedipine|Particulate Matter,0,
action potential initiation,GO:0099610,Stroke,MESH:D020521,0,,1,SOD1
activation of adenylate cyclase activity,GO:0007190,Heat Stroke,MESH:D018883,1,Dopamine,0,
activation of adenylate cyclase activity,GO:0007190,Stroke,MESH:D020521,2,Alprostadil|Naloxone,1,EDNRA
activation of cysteine-type endopeptidase activity,GO:0097202,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Ischemic Stroke,MESH:D000083242,1,Particulate Matter,0,
activation of cysteine-type endopeptidase activity,GO:0097202,Stroke,MESH:D020521,6,Calcium|Folic Acid|Particulate Matter|Reactive Oxygen Species|Resveratrol|Verapamil,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Heat Stroke,MESH:D018883,1,Serotonin,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Ischemic Stroke,MESH:D000083242,3,Cannabinoids|Cisplatin|Methamphetamine,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Stroke,MESH:D020521,8,Cadmium|Dexamethasone|Diclofenac|Methamphetamine|Methotrexate|Nimodipine|Resveratrol|Serotonin,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0008635,Ischemic Stroke,MESH:D000083242,1,Cisplatin,0,
activation of protein kinase A activity,GO:0034199,Stroke,MESH:D020521,5,Aldosterone|Dexamethasone|Ethinyl Estradiol|Hydrocortisone|Resveratrol,0,
activation of protein kinase activity,GO:0032147,Hemorrhagic Stroke,MESH:D000083302,1,Aspirin,0,
activation of protein kinase activity,GO:0032147,Ischemic Stroke,MESH:D000083242,2,Aspirin|Cisplatin,0,
activation of protein kinase activity,GO:0032147,Stroke,MESH:D020521,3,Aspirin|Ethanol|Metformin,1,ITGB3
