GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
3'-UTR-mediated mRNA stabilization,GO:0070935,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,1,TIRAP
3'-UTR-mediated mRNA stabilization,GO:0070935,Tuberculosis,MESH:D014376,0,,1,TIRAP
4-hydroxyproline metabolic process,GO:0019471,"Mycobacterium tuberculosis, susceptibility to infection by",MESH:C536092,1,Particulate Matter,0,
4-hydroxyproline metabolic process,GO:0019471,"Tuberculosis, Pulmonary",MESH:D014397,1,Particulate Matter,0,
5-methylcytosine metabolic process,GO:0019857,"Mycobacterium tuberculosis, susceptibility to infection by",MESH:C536092,1,Particulate Matter,0,
5-methylcytosine metabolic process,GO:0019857,"Tuberculosis, Pulmonary",MESH:D014397,1,Particulate Matter,0,
acetylcholine biosynthetic process,GO:0008292,Tuberculosis,MESH:D014376,1,Tretinoin,0,
acetylcholine metabolic process,GO:0008291,"Tuberculosis, Pulmonary",MESH:D014397,1,Arsenic,0,
acetylcholine secretion,GO:0061526,Tuberculosis,MESH:D014376,1,Tretinoin,0,
actin cytoskeleton organization,GO:0030036,Paratuberculosis,MESH:D010283,0,,1,GSN
actin cytoskeleton organization,GO:0030036,Tuberculosis,MESH:D014376,0,,1,CORO1A
actin filament capping,GO:0051693,Latent Tuberculosis,MESH:D055985,1,Isoniazid,0,
actin filament capping,GO:0051693,Paratuberculosis,MESH:D010283,0,,1,GSN
actin filament capping,GO:0051693,Tuberculosis,MESH:D014376,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Central Nervous System",MESH:D020306,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Gastrointestinal",MESH:D014385,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Lymph Node",MESH:D014388,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Meningeal",MESH:D014390,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Multidrug-Resistant",MESH:D018088,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Pleural",MESH:D014396,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Pulmonary",MESH:D014397,1,Isoniazid,0,
actin filament capping,GO:0051693,"Tuberculosis, Spinal",MESH:D014399,1,Isoniazid,0,
actin filament depolymerization,GO:0030042,Paratuberculosis,MESH:D010283,0,,1,GSN
actin filament organization,GO:0007015,Paratuberculosis,MESH:D010283,0,,2,GSN|TF
actin filament organization,GO:0007015,Tuberculosis,MESH:D014376,0,,1,CORO1A
actin filament polymerization,GO:0030041,Paratuberculosis,MESH:D010283,0,,1,GSN
actin filament reorganization,GO:0090527,"Mycobacterium tuberculosis, susceptibility to infection by",MESH:C536092,1,Particulate Matter,0,
actin filament reorganization,GO:0090527,"Tuberculosis, Pulmonary",MESH:D014397,1,Particulate Matter,0,
