GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acetylcholine biosynthetic process,GO:0008292,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
acetylcholine metabolic process,GO:0008291,Retinal Hemorrhage,MESH:D012166,1,Vitamin E,0,
acetylcholine secretion,GO:0061526,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
action potential,GO:0001508,Retinal Hemorrhage,MESH:D012166,1,Minocycline,0,
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
activation of meiosis,GO:0090427,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
activation of protein kinase B activity,GO:0032148,Retinal Hemorrhage,MESH:D012166,1,Warfarin,0,
adipose tissue development,GO:0060612,Retinal Hemorrhage,MESH:D012166,1,Zidovudine,0,
aldehyde biosynthetic process,GO:0046184,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
amino acid metabolic process,GO:0006520,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
anatomical structure morphogenesis,GO:0009653,Retinal Hemorrhage,MESH:D012166,2,Cytarabine|Tretinoin,0,
androgen metabolic process,GO:0008209,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
angiogenesis,GO:0001525,Retinal Hemorrhage,MESH:D012166,1,Vitamin E,0,
anoikis,GO:0043276,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
apoptotic DNA fragmentation,GO:0006309,Retinal Hemorrhage,MESH:D012166,4,Cytarabine|Minocycline|Tretinoin|Vitamin E,0,
apoptotic process,GO:0006915,Retinal Hemorrhage,MESH:D012166,6,Cytarabine|Minocycline|Tretinoin|Vitamin E|Warfarin|Zidovudine,0,
astrocyte activation,GO:0048143,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
ATP biosynthetic process,GO:0006754,Retinal Hemorrhage,MESH:D012166,1,Vitamin E,0,
ATP metabolic process,GO:0046034,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
atrial cardiac muscle cell differentiation,GO:0055011,Retinal Hemorrhage,MESH:D012166,1,Tretinoin,0,
