GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acetylcholine-gated channel complex,GO:0005892,Alzheimer Disease,MESH:D000544,0,,2,CHRNA7|CHRNB2
acrosomal vesicle,GO:0001669,Alzheimer Disease,MESH:D000544,0,,2,ARC|GAPDHS
actin-based cell projection,GO:0098858,Alzheimer Disease,MESH:D000544,0,,1,ABI3
actin cytoskeleton,GO:0015629,Alzheimer Disease,MESH:D000544,0,,4,ARC|BIN1|CD2AP|SLC30A6
actin filament,GO:0005884,Alzheimer Disease,MESH:D000544,1,Cadmium,2,CD2AP|INPP5D
actin filament bundle,GO:0032432,Alzheimer Disease,MESH:D000544,1,Particulate Matter,0,
adherens junction,GO:0005912,Alzheimer Disease,MESH:D000544,0,,3,ADAM10|PCDH11X|VEGFA
adherens junction,GO:0005912,ALZHEIMER DISEASE 18,OMIM:615590,0,,1,ADAM10
aggresome,GO:0016235,Alzheimer Disease,MESH:D000544,0,,2,CLU|PSEN1
aggresome,GO:0016235,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,0,,1,PSEN1
alphav-beta3 integrin-IGF-1-IGF1R complex,GO:0035867,Alzheimer Disease,MESH:D000544,0,,2,IGF1|IGF1R
alveolar lamellar body,GO:0097208,Alzheimer Disease,MESH:D000544,1,Particulate Matter,0,
amyloid-beta complex,GO:0106003,Alzheimer Disease,MESH:D000544,0,,1,APP
anchoring junction,GO:0070161,Alzheimer Disease,MESH:D000544,0,,2,CASS4|PTK2B
apical cortex,GO:0045179,Alzheimer Disease,MESH:D000544,0,,1,APP
apical dendrite,GO:0097440,Alzheimer Disease,MESH:D000544,0,,2,CLU|PTK2B
apical junction complex,GO:0043296,Alzheimer Disease,MESH:D000544,0,,1,NECTIN2
apical part of cell,GO:0045177,Alzheimer Disease,MESH:D000544,0,,3,APP|HFE|NOS3
apical plasma membrane,GO:0016324,Alzheimer Disease,MESH:D000544,0,,5,ABCA7|CHRNA7|PSEN1|PSEN2|TF
