GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
9+0 motile cilium,GO:0097728,Asthma,MESH:D001249,0,,1,DNAH5
9+2 motile cilium,GO:0097729,Asthma,MESH:D001249,0,,1,DNAH5
acrosomal vesicle,GO:0001669,"Asthma, Aspirin-Induced",MESH:D055963,0,,1,TBXA2R
actin cytoskeleton,GO:0015629,Asthma,MESH:D001249,0,,1,CTNNA3
actin filament,GO:0005884,Asthma,MESH:D001249,1,Cadmium,0,
actin filament bundle,GO:0032432,Asthma,MESH:D001249,1,Particulate Matter,0,
adherens junction,GO:0005912,Asthma,MESH:D001249,0,,4,AGER|CDHR3|CTNNA3|VEGFA
adherens junction,GO:0005912,"Asthma, Occupational",MESH:D059366,0,,2,AGER|CDH17
AIM2 inflammasome complex,GO:0097169,Asthma,MESH:D001249,1,perfluorooctane sulfonic acid,0,
alphav-beta3 integrin-PKCalpha complex,GO:0035866,"Asthma, Occupational",MESH:D059366,0,,1,PRKCA
alveolar lamellar body,GO:0097208,Asthma,MESH:D001249,1,Particulate Matter,0,
amyloid-beta complex,GO:0106003,Asthma,MESH:D001249,1,Paraquat,0,
anchoring junction,GO:0070161,Asthma,MESH:D001249,0,,1,CLDN18
apical part of cell,GO:0045177,"Asthma, Occupational",MESH:D059366,0,,1,PRKCA
apical plasma membrane,GO:0016324,Asthma,MESH:D001249,0,,5,AGER|IL6R|PDE4D|PTEN|TRPA1
apical plasma membrane,GO:0016324,"Asthma, Occupational",MESH:D059366,0,,1,AGER
apicolateral plasma membrane,GO:0016327,Asthma,MESH:D001249,0,,1,KRT19
apoptotic body,GO:0097189,Asthma,MESH:D001249,4,Arsenic|Arsenic Trioxide|Cadmium|syringin,0,
autolysosome,GO:0044754,Asthma,MESH:D001249,5,Arsenic Trioxide|Cadmium|Dietary Fats|epigallocatechin gallate|Paraquat,0,
autolysosome membrane,GO:0120281,Asthma,MESH:D001249,0,,1,HLA-DRB1
autophagosome,GO:0005776,Asthma,MESH:D001249,8,Acetaminophen|Arsenic|Arsenic Trioxide|Benzo(a)pyrene|Cadmium|epigallocatechin gallate|Paraquat|Resveratrol,0,
autophagosome membrane,GO:0000421,"Asthma, Occupational",MESH:D059366,0,,1,PRKD1
axon,GO:0030424,Asthma,MESH:D001249,0,,4,AGER|HTR2A|TGFB1|TRPA1
axon,GO:0030424,"Asthma, Occupational",MESH:D059366,0,,4,AGER|PRKCA|TENM3|TGFB1
axonal spine,GO:0044308,Asthma,MESH:D001249,1,Cadmium,0,
axon cytoplasm,GO:1904115,Asthma,MESH:D001249,0,,2,KIF3A|SOD1
axonemal dynein complex,GO:0005858,Asthma,MESH:D001249,0,,1,DNAH5
axoneme,GO:0005930,Asthma,MESH:D001249,0,,2,DNAH5|KIF3A
axon terminus,GO:0043679,Asthma,MESH:D001249,0,,2,CCL2|CDHR3
azurophil granule lumen,GO:0035578,Asthma,MESH:D001249,0,,2,ARG1|RNASE3
BAD-BCL-2 complex,GO:0097138,Asthma,MESH:D001249,0,,1,BCL2
basal part of cell,GO:0045178,Asthma,MESH:D001249,0,,1,EDN1
basal plasma membrane,GO:0009925,Asthma,MESH:D001249,0,,1,AGER
basal plasma membrane,GO:0009925,"Asthma, Occupational",MESH:D059366,0,,1,AGER
basement membrane,GO:0005604,Asthma,MESH:D001249,0,,3,TIMP3|TNC|VEGFA
basolateral plasma membrane,GO:0016323,"Asthma, Occupational",MESH:D059366,0,,1,CDH17
bicellular tight junction,GO:0005923,Asthma,MESH:D001249,0,,2,ADCYAP1R1|CLDN18
blood microparticle,GO:0072562,Asthma,MESH:D001249,0,,1,TGFB1
blood microparticle,GO:0072562,"Asthma, Occupational",MESH:D059366,0,,1,TGFB1
BRCA1-C complex,GO:0070533,Asthma,MESH:D001249,0,,1,RAD50
Cajal body,GO:0015030,Asthma,MESH:D001249,0,,1,PARP1
calcium channel complex,GO:0034704,Asthma,MESH:D001249,0,,1,PDE4D
calyx of Held,GO:0044305,"Asthma, Occupational",MESH:D059366,0,,1,PRKCA
cardiac Troponin complex,GO:1990584,Asthma,MESH:D001249,1,Isoproterenol,0,
cardiac Troponin complex,GO:1990584,Status Asthmaticus,MESH:D013224,1,Isoproterenol,0,
catalase complex,GO:0062151,Asthma,MESH:D001249,0,,1,CAT
catenin complex,GO:0016342,Asthma,MESH:D001249,0,,2,CDHR3|CTNNA3
catenin complex,GO:0016342,"Asthma, Occupational",MESH:D059366,0,,1,CDH17
cation channel complex,GO:0034703,Asthma,MESH:D001249,0,,1,TRPA1
CatSper complex,GO:0036128,Asthma,MESH:D001249,1,bisphenol A,0,
caveola,GO:0005901,Asthma,MESH:D001249,0,,3,ADCYAP1R1|HMOX1|HTR2A
caveola,GO:0005901,"Asthma, Aspirin-Induced",MESH:D055963,0,,1,PTGS2
caveola,GO:0005901,"Asthma, Occupational",MESH:D059366,0,,1,PTGS2
cell body fiber,GO:0070852,Asthma,MESH:D001249,0,,1,HTR2A
cell-cell junction,GO:0005911,Asthma,MESH:D001249,1,bisphenol A,2,CDHR3|CLDN18
cell-cell junction,GO:0005911,"Asthma, Occupational",MESH:D059366,0,,2,CDH17|PRKD1
cell cortex,GO:0005938,"Asthma, Occupational",MESH:D059366,0,,1,PRKD1
cell junction,GO:0030054,Asthma,MESH:D001249,0,,1,AGER
cell junction,GO:0030054,"Asthma, Occupational",MESH:D059366,0,,2,AGER|CDH17
cell periphery,GO:0071944,Asthma,MESH:D001249,0,,2,KRT19|PDE4B
cell projection,GO:0042995,Asthma,MESH:D001249,0,,4,BGLAP|DNAH5|HTR2A|PTEN
cell projection,GO:0042995,"Asthma, Occupational",MESH:D059366,0,,1,TENM3
cell surface,GO:0009986,Asthma,MESH:D001249,0,,12,ADCYAP1R1|AGER|AREG|CD14|HLA-DPB1|HLA-DRB1|ICAM1|IL1RL1|PLAU|TGFB1|TNF|VEGFA
cell surface,GO:0009986,"Asthma, Aspirin-Induced",MESH:D055963,0,,1,HLA-DPB1
cell surface,GO:0009986,"Asthma, Occupational",MESH:D059366,0,,4,AGER|CDH17|TGFB1|TNF
centriole,GO:0005814,Asthma,MESH:D001249,0,,1,KIF3A
centriole,GO:0005814,"Asthma, Occupational",MESH:D059366,0,,1,HERC2
centrosome,GO:0005813,Asthma,MESH:D001249,0,,5,HNMT|IL1RN|KIF3A|PDE4B|PDE4D
C-fiber,GO:0044299,Asthma,MESH:D001249,0,,1,CCL2
chromatin,GO:0000785,Asthma,MESH:D001249,0,,5,FOXP3|MYB|PARP1|RAD50|STAT4
chromosomal region,GO:0098687,Asthma,MESH:D001249,0,,1,RAD50
chromosome,GO:0005694,Asthma,MESH:D001249,0,,3,IL33|PARP1|RAD50
"chromosome, centromeric region",GO:0000775,Asthma,MESH:D001249,0,,1,PPP2CA
"chromosome, telomeric region",GO:0000781,Asthma,MESH:D001249,0,,1,RAD50
ciliary basal body,GO:0036064,"Asthma, Occupational",MESH:D059366,0,,1,PRKCA
ciliary neurotrophic factor receptor complex,GO:0070110,Asthma,MESH:D001249,0,,1,IL6R
ciliary tip,GO:0097542,Asthma,MESH:D001249,0,,1,KIF3A
cilium,GO:0005929,Asthma,MESH:D001249,0,,3,DNAH5|KIF3A|PDE4D
cis-Golgi network membrane,GO:0033106,Asthma,MESH:D001249,0,,1,HLA-G
clathrin-coated endocytic vesicle,GO:0045334,Asthma,MESH:D001249,0,,1,CTLA4
clathrin-coated endocytic vesicle membrane,GO:0030669,Asthma,MESH:D001249,0,,5,AREG|HLA-DPB1|HLA-DQA1|HLA-DQB1|HLA-DRB1
clathrin-coated endocytic vesicle membrane,GO:0030669,"Asthma, Aspirin-Induced",MESH:D055963,0,,1,HLA-DPB1
collagen-containing extracellular matrix,GO:0062023,Asthma,MESH:D001249,0,,3,BGLAP|TGFB1|TNC
collagen-containing extracellular matrix,GO:0062023,"Asthma, Aspirin-Induced",MESH:D055963,0,,1,POSTN
collagen-containing extracellular matrix,GO:0062023,"Asthma, Occupational",MESH:D059366,0,,1,TGFB1
collagen trimer,GO:0005581,Asthma,MESH:D001249,0,,1,MMP1
condensed chromosome,GO:0000793,Asthma,MESH:D001249,0,,1,RAD50
condensed nuclear chromosome,GO:0000794,Asthma,MESH:D001249,0,,1,RAD50
cone photoreceptor outer segment,GO:0120199,"Asthma, Occupational",MESH:D059366,0,,1,PRKCA
cornified envelope,GO:0001533,Asthma,MESH:D001249,0,,1,SPRR2B
cortical cytoskeleton,GO:0030863,Asthma,MESH:D001249,0,,1,NOS2
cortical granule,GO:0060473,Asthma,MESH:D001249,2,Glutathione|Resveratrol,0,
costamere,GO:0043034,Asthma,MESH:D001249,0,,1,KRT19
cyclin B1-CDK1 complex,GO:0097125,Asthma,MESH:D001249,1,Herbicides,0,
cytoplasm,GO:0005737,Asthma,MESH:D001249,0,,43,ADCY2|ALOX5|AREG|ARG1|ARG2|BCL2|BGLAP|CAT|CCL5|CTNNA3|CYP2E1|DNAH5|DNMT1|EDN1|FOXP3|GSDMB|GSTM1|GSTP1|HNMT|IKZF3|IL13|IL1B|IL33|KIF3A|KRT19|NAT1|NOS2|NPSR1|NPY|NQO1|PARP1|PDE4D|PPP2CA|PTEN|RNASE3|SOD1|SPRR2B|STAT4|TGFB1|TNIP1|TRPA1|VEGFA|WDR36
