GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,GO:0017086,Liver Cirrhosis,MESH:D008103,1,Simvastatin,0,
4-aminobutyrate transaminase complex,GO:0032144,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ABAT
6-phosphofructokinase complex,GO:0005945,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,PFKP
7SK snRNP,GO:0120259,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,HEXIM1
acrosomal membrane,GO:0002080,Liver Cirrhosis,MESH:D008103,1,sodium arsenite,0,
acrosomal membrane,GO:0002080,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,CAV1
acrosomal vesicle,GO:0001669,Liver Cirrhosis,MESH:D008103,0,,1,LOXL1
acrosomal vesicle,GO:0001669,"Liver Cirrhosis, Experimental",MESH:D008106,0,,3,BMF|CXADR|ITGB1
actin cap,GO:0030478,Liver Cirrhosis,MESH:D008103,1,Thiamethoxam,0,
actin cap,GO:0030478,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,GSN
actin cortical patch,GO:0030479,Copper-Overload Cirrhosis,MESH:C566858,0,,1,MET
actin cortical patch,GO:0030479,"Liver Cirrhosis, Experimental",MESH:D008106,0,,2,GMFG|HIP1
actin cytoskeleton,GO:0015629,Copper-Overload Cirrhosis,MESH:C566858,0,,1,ACTA2
actin cytoskeleton,GO:0015629,Liver Cirrhosis,MESH:D008103,0,,5,ACTA2|CDH1|CNR1|FLT1|TAGLN2
actin cytoskeleton,GO:0015629,"Liver Cirrhosis, Experimental",MESH:D008106,0,,32,ABLIM3|ACTA2|ACTN1|ADAM17|AHNAK|APPL1|ARPC1B|AXL|BMF|CAPG|CNR1|CTTNBP2NL|EPB41L2|EZR|FGR|FLNA|GBP2|GSN|ILK|IQGAP1|LCP1|MYO1C|MYO1F|MYO5A|TAGLN2|TAX1BP3|TES|TPM1|TPM3|TPM4|VASP|WIPF1
actin filament,GO:0005884,Liver Cirrhosis,MESH:D008103,1,Cadmium Chloride,1,MICAL2
actin filament,GO:0005884,"Liver Cirrhosis, Biliary",MESH:D008105,0,,1,KEAP1
actin filament,GO:0005884,"Liver Cirrhosis, Experimental",MESH:D008106,0,,24,ACTN1|AIF1|ANXA1|COTL1|EZR|FLNA|FMNL1|FYN|GCK|HCK|INPP5D|IQGAP1|LCP1|MYO5A|PSTPIP1|RAC2|RCN2|RCSD1|RHOQ|TPM1|TPM3|TPM4|VOPP1|WIPF1
actin filament bundle,GO:0032432,Liver Cirrhosis,MESH:D008103,1,Particulate Matter,0,
actin filament bundle,GO:0032432,"Liver Cirrhosis, Experimental",MESH:D008106,0,,3,CRYAB|FLNA|LCP1
activin receptor complex,GO:0048179,Liver Cirrhosis,MESH:D008103,0,,1,TGFBR1
activin responsive factor complex,GO:0032444,Copper-Overload Cirrhosis,MESH:C566858,0,,1,SMAD2
activin responsive factor complex,GO:0032444,"Liver Cirrhosis, Experimental",MESH:D008106,0,,2,SMAD2|SMAD4
actomyosin,GO:0042641,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,MYO5A
actomyosin contractile ring,GO:0005826,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,PSTPIP1
"actomyosin, myosin complex part",GO:0042642,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,MYO5A
adherens junction,GO:0005912,Liver Cirrhosis,MESH:D008103,0,,3,CDH1|CTNNB1|VEGFA
adherens junction,GO:0005912,"Liver Cirrhosis, Biliary",MESH:D008105,0,,2,CDH5|KEAP1
adherens junction,GO:0005912,"Liver Cirrhosis, Experimental",MESH:D008106,0,,13,CDH5|CXADR|EMB|EZR|FAT1|ITGB1|LPXN|MSN|NDRG1|SDR42E1|SNAP23|TAX1BP3|VEGFA
aggresome,GO:0016235,"Liver Cirrhosis, Biliary",MESH:D008105,0,,1,UBD
aggresome,GO:0016235,"Liver Cirrhosis, Experimental",MESH:D008106,0,,2,FGR|UBD
AIM2 inflammasome complex,GO:0097169,Liver Cirrhosis,MESH:D008103,1,perfluorooctane sulfonic acid,0,
AIM2 inflammasome complex,GO:0097169,"Liver Cirrhosis, Experimental",MESH:D008106,0,,4,CASP1|CASP12|CASP4|PYCARD
AIP1-IRE1 complex,GO:1990597,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ERN1
alpha9-beta1 integrin-ADAM8 complex,GO:0071133,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,ITGB3
alpha-beta T cell receptor complex,GO:0042105,"Liver Cirrhosis, Biliary",MESH:D008105,0,,1,CD3D
alpha-beta T cell receptor complex,GO:0042105,"Liver Cirrhosis, Experimental",MESH:D008106,0,,1,TYROBP
