GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
6-phosphofructokinase complex,GO:0005945,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,PFKM
acrosomal membrane,GO:0002080,"Diabetes Mellitus, Experimental",MESH:D003921,1,sodium arsenite,2,CAV1|MFGE8
acrosomal membrane,GO:0002080,"Diabetes Mellitus, Type 1",MESH:D003922,1,sodium arsenite,0,
acrosomal vesicle,GO:0001669,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,KCNJ11
acrosomal vesicle,GO:0001669,"Diabetes Mellitus, Transient Neonatal, 3",MESH:C566432,0,,1,KCNJ11
acrosomal vesicle,GO:0001669,"Diabetes Mellitus, Type 1",MESH:D003922,0,,2,CTSH|KCNJ11
acrosomal vesicle,GO:0001669,"Diabetes Mellitus, Type 2",MESH:D003924,0,,2,ITGA1|KCNJ11
actin cytoskeleton,GO:0015629,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,SNAP25
actin cytoskeleton,GO:0015629,"Diabetes Mellitus, Type 2",MESH:D003924,0,,3,AUTS2|MAEA|SNAP25
actin filament,GO:0005884,Diabetes Mellitus,MESH:D003920,1,Cadmium,1,RAC1
actin filament,GO:0005884,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,GCK
actin filament,GO:0005884,"Diabetes Mellitus, Permanent Neonatal",MESH:C563425,0,,1,GCK
actin filament,GO:0005884,"Diabetes Mellitus, Type 2",MESH:D003924,1,Cadmium,1,GCK
actin filament bundle,GO:0032432,Diabetes Mellitus,MESH:D003920,1,Particulate Matter,0,
actin filament bundle,GO:0032432,"Diabetes Mellitus, Type 2",MESH:D003924,1,Particulate Matter,0,
actomyosin contractile ring,GO:0005826,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,MAEA
adherens junction,GO:0005912,Diabetes Mellitus,MESH:D003920,0,,2,A|KIF1A
adherens junction,GO:0005912,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,VEGFA
adherens junction,GO:0005912,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,A
aggresome,GO:0016235,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,PRKCQ
AIM2 inflammasome complex,GO:0097169,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,CASP12
AIM2 inflammasome complex,GO:0097169,"Diabetes Mellitus, Type 2",MESH:D003924,1,perfluorooctane sulfonic acid,0,
alphav-beta3 integrin-IGF-1-IGF1R complex,GO:0035867,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,IGF1
alphav-beta3 integrin-IGF-1-IGF1R complex,GO:0035867,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,IGF1
alphav-beta3 integrin-PKCalpha complex,GO:0035866,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,PRKCA
alveolar lamellar body,GO:0097208,Diabetes Mellitus,MESH:D003920,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,CTSH
alveolar lamellar body,GO:0097208,"Diabetes Mellitus, Type 2",MESH:D003924,1,Particulate Matter,0,
AP-3 adaptor complex,GO:0030123,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,AP3S2
apical dendrite,GO:0097440,"Diabetes Mellitus, Experimental",MESH:D003921,0,,2,FAS|PPARGC1A
apical dendrite,GO:0097440,"Diabetes Mellitus, Type 2",MESH:D003924,0,,3,ENPP1|FAS|PPARGC1A
apical ectoplasmic specialization,GO:0061831,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,ATP2A2
apical ectoplasmic specialization,GO:0061831,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,ATP2A2
apical part of cell,GO:0045177,"Diabetes Mellitus, Experimental",MESH:D003921,0,,4,HSD11B1|NOS3|PRKCA|REN
apical part of cell,GO:0045177,"Diabetes Mellitus, Type 1",MESH:D003922,0,,2,ITPR3|NOS3
apical part of cell,GO:0045177,"Diabetes Mellitus, Type 2",MESH:D003924,0,,3,CD36|KCNQ1|NOS3
apical plasma membrane,GO:0016324,Diabetes Mellitus,MESH:D003920,0,,2,A|FN1
apical plasma membrane,GO:0016324,"Diabetes Mellitus, Experimental",MESH:D003921,0,,9,CAV1|CYBA|CYP4A10|CYP4A14|FAS|PFKM|SLC2A2|SLC9A1|SLC9A3
apical plasma membrane,GO:0016324,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,ITPR3
apical plasma membrane,GO:0016324,"Diabetes Mellitus, Type 2",MESH:D003924,0,,11,A|CD36|CYBA|EGFR|FAS|GP2|KCNQ1|KL|SLC22A3|SLC2A1|SLC2A2
apoptotic body,GO:0097189,Diabetes Mellitus,MESH:D003920,3,Arsenic|Cadmium|Raloxifene Hydrochloride,0,
apoptotic body,GO:0097189,"Diabetes Mellitus, Experimental",MESH:D003921,6,astaxanthine|Diethylhexyl Phthalate|pterostilbene|Quercetin|S-allylcysteine|sodium arsenite,0,
apoptotic body,GO:0097189,"Diabetes Mellitus, Type 1",MESH:D003922,1,sodium arsenite,0,
apoptotic body,GO:0097189,"Diabetes Mellitus, Type 2",MESH:D003924,5,Arsenic|astaxanthine|Cadmium|Diethylhexyl Phthalate|Nickel,0,
astrocyte projection,GO:0097449,"Diabetes Mellitus, Type 2",MESH:D003924,0,,1,SLC1A2
asymmetric synapse,GO:0032279,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,CHRM2
asymmetric synapse,GO:0032279,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,CHRM2
autolysosome,GO:0044754,Diabetes Mellitus,MESH:D003920,4,arsenite|Cadmium|Docosahexaenoic Acids|Metformin,0,
autolysosome,GO:0044754,"Diabetes Mellitus, Experimental",MESH:D003921,7,Dietary Fats|Glucose|Metformin|Niacinamide|Sertraline|sodium arsenite|Taurine,0,
autolysosome,GO:0044754,"Diabetes Mellitus, Type 1",MESH:D003922,4,Calcitriol|Niacinamide|sodium arsenite|Taurine,0,
autolysosome,GO:0044754,"Diabetes Mellitus, Type 2",MESH:D003924,7,Cadmium|Curcumin|Dietary Fats|epigallocatechin gallate|Glucose|Metformin|Niacinamide,0,
autolysosome membrane,GO:0120281,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,HLA-DRB1
autophagosome,GO:0005776,Diabetes Mellitus,MESH:D003920,10,Arsenic|arsenite|Atrazine|Berberine|Cadmium|Lead|Metformin|puerarin|Raloxifene Hydrochloride|Resveratrol,0,
autophagosome,GO:0005776,"Diabetes Mellitus, Experimental",MESH:D003921,9,Berberine|Dibutyl Phthalate|Diethylhexyl Phthalate|Glucose|Hydrogen Peroxide|Metformin|puerarin|Resveratrol|Taurine,0,
autophagosome,GO:0005776,"Diabetes Mellitus, Type 1",MESH:D003922,2,Resveratrol|Taurine,0,
autophagosome,GO:0005776,"Diabetes Mellitus, Type 2",MESH:D003924,13,Arsenic|Atrazine|Berberine|Cadmium|Dibutyl Phthalate|Diethylhexyl Phthalate|epigallocatechin gallate|Ethanol|Glucose|Lead|Metformin|Nickel|Resveratrol,0,
axolemma,GO:0030673,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,KCNJ11
axolemma,GO:0030673,"Diabetes Mellitus, Transient Neonatal, 3",MESH:C566432,0,,1,KCNJ11
axolemma,GO:0030673,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,KCNJ11
axolemma,GO:0030673,"Diabetes Mellitus, Type 2",MESH:D003924,0,,2,KCNJ11|SLC1A2
axon,GO:0030424,Diabetes Mellitus,MESH:D003920,0,,2,KIF1A|SIRT1
axon,GO:0030424,"Diabetes Mellitus, Experimental",MESH:D003921,1,tributyltin,6,INSR|PRKCA|SIRT1|SNAP25|TGFB1|TNFRSF1A
axon,GO:0030424,"Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans",MESH:C562710,0,,1,INSR
axon,GO:0030424,"Diabetes Mellitus, Type 2",MESH:D003924,0,,7,MAPK8IP1|RNF6|SIRT1|SLC1A2|SNAP25|TNFRSF1A|TNFRSF1B
axonal growth cone,GO:0044295,Diabetes Mellitus,MESH:D003920,0,,1,KIF5B
axonal growth cone,GO:0044295,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,SNAP25
axonal growth cone,GO:0044295,"Diabetes Mellitus, Type 2",MESH:D003924,0,,2,MAPK8IP1|SNAP25
axonal spine,GO:0044308,Diabetes Mellitus,MESH:D003920,1,Cadmium,0,
axonal spine,GO:0044308,"Diabetes Mellitus, Type 2",MESH:D003924,1,Cadmium,0,
axon cytoplasm,GO:1904115,Diabetes Mellitus,MESH:D003920,0,,3,KIF1A|KIF5B|SOD1
axon cytoplasm,GO:1904115,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,SOD1
axon cytoplasm,GO:1904115,"Diabetes Mellitus, Type 2",MESH:D003924,0,,2,AP3S2|SOD1
axoneme,GO:0005930,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,CTSH
axon terminus,GO:0043679,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,CHRM2
axon terminus,GO:0043679,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,CHRM2
azurophil granule,GO:0042582,"Diabetes Mellitus, Experimental",MESH:D003921,0,,1,MPO
azurophil granule,GO:0042582,"Diabetes Mellitus, Type 1",MESH:D003922,0,,1,NOS1
