GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acetylcholine-gated channel complex,GO:0005892,"Epilepsy, Frontal Lobe",MESH:D017034,0,,2,CHRNA4|CHRNB2
acetylcholine-gated channel complex,GO:0005892,"Epilepsy, Generalized",MESH:D004829,0,,1,CHRNA7
acetylcholine-gated channel complex,GO:0005892,"Epilepsy, Nocturnal Frontal Lobe, Type 1",MESH:C563930,0,,1,CHRNA4
acetylcholine-gated channel complex,GO:0005892,"Epilepsy, Nocturnal Frontal Lobe, Type 3",MESH:C565334,0,,1,CHRNB2
acetylcholine-gated channel complex,GO:0005892,"Epilepsy, Nocturnal Frontal Lobe, Type 4",MESH:C563679,0,,1,CHRNA2
acrosomal vesicle,GO:0001669,Epilepsy,MESH:D004827,0,,1,VDAC2
actin cytoskeleton,GO:0015629,Epilepsy,MESH:D004827,0,,4,AUTS2|FLNA|ILK|SNAP25
actin cytoskeleton,GO:0015629,"Epilepsy, Idiopathic Generalized",MESH:C562694,0,,1,CLCN2
actin cytoskeleton,GO:0015629,"Epilepsy, Temporal Lobe",MESH:D004833,0,,1,CNR1
actin filament,GO:0005884,Epilepsy,MESH:D004827,0,,4,ALG13|DYRK1A|FLNA|TSC1
actin filament,GO:0005884,"EPILEPSY, FAMILIAL TEMPORAL LOBE, 1",OMIM:600512,0,,1,MICAL1
actin filament,GO:0005884,"Epilepsy, Temporal Lobe",MESH:D004833,0,,1,TEK
actin filament bundle,GO:0032432,Epilepsy,MESH:D004827,0,,1,FLNA
adherens junction,GO:0005912,"Epilepsy, Temporal Lobe",MESH:D004833,0,,1,VEGFA
AIP1-IRE1 complex,GO:1990597,Epilepsy,MESH:D004827,0,,1,ERN1
anchoring junction,GO:0070161,Cortical Dysplasia-Focal Epilepsy Syndrome,MESH:C567657,0,,1,CNTNAP2
anchoring junction,GO:0070161,Epilepsy,MESH:D004827,0,,2,CNTNAP2|SCN8A
anchoring junction,GO:0070161,"Epilepsy, Temporal Lobe",MESH:D004833,0,,2,KDR|TEK
