GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acrosomal membrane,GO:0002080,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,sodium arsenite,0,
acrosomal vesicle,GO:0001669,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKACA
actin filament,GO:0005884,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,Cadmium|Cadmium Chloride,0,
adherens junction,GO:0005912,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,RDX
alphav-beta3 integrin-PKCalpha complex,GO:0035866,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKCA
apical dendrite,GO:0097440,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,FAS
apical part of cell,GO:0045177,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,4,LDLR|PRKCA|RDX|VLDLR
apical plasma membrane,GO:0016324,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,8,ABCB4|ABCC2|FAS|LDLR|PTEN|RDX|SCARB1|VLDLR
apoptotic body,GO:0097189,Non-alcoholic Fatty Liver Disease,MESH:D065626,6,Arsenic Trioxide|Cadmium|Cadmium Chloride|Quercetin|Raloxifene Hydrochloride|sodium arsenite,0,
aryl hydrocarbon receptor complex,GO:0034751,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,AHR|AHR2
autolysosome,GO:0044754,Non-alcoholic Fatty Liver Disease,MESH:D065626,11,Arsenic Trioxide|Cadmium|Cadmium Chloride|Dietary Fats|Glucose|hydroquinone|Niacinamide|Oleic Acid|Palmitic Acid|sodium arsenite|Taurine,0,
autophagosome,GO:0005776,Non-alcoholic Fatty Liver Disease,MESH:D065626,12,Acetaminophen|Arsenic Trioxide|Benzo(a)pyrene|Cadmium|Cadmium Chloride|Ethanol|Glucose|Palmitic Acid|puerarin|Raloxifene Hydrochloride|Resveratrol|Taurine,0,
axon,GO:0030424,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,tributyltin,6,ALDH1A1|CYP17A1|PRKCA|SIRT1|TGFB1|TNFRSF1B
axonal spine,GO:0044308,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,Cadmium|Cadmium Chloride,0,
axoneme,GO:0005930,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKACA
azurophil granule lumen,GO:0035578,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKCD
basal plasma membrane,GO:0009925,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ACE
basement membrane,GO:0005604,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,LAMA1
basolateral plasma membrane,GO:0016323,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,LDLR|MTTP|SCARB1
blood microparticle,GO:0072562,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,TGFB1
brush border membrane,GO:0031526,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,4,ABCC2|ACE|MTTP|PEMT
calcium channel complex,GO:0034704,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKACA
calyx of Held,GO:0044305,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKCA
cAMP-dependent protein kinase complex,GO:0005952,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKACA
catalase complex,GO:0062151,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,CAT
CatSper complex,GO:0036128,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,bisphenol A,0,
caveola,GO:0005901,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,JAK2|LDLR|SCARB1
CD40 receptor complex,GO:0035631,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,TNFRSF1B
CD95 death-inducing signaling complex,GO:0031265,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,FAS
cell-cell junction,GO:0005911,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,bisphenol A,2,LAMA1|PRKCD
cell junction,GO:0030054,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,IFI30
cell periphery,GO:0071944,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,ADIPOQ|PRKCE|RDX
cell projection,GO:0042995,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,CYP17A1|PTEN
cell surface,GO:0009986,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,13,ABCC2|ADIPOQ|APOH|ATP5F1B|CD14|FAS|FOLR2|IL1A|LDLR|SCARB1|TGFB1|TNF|VLDLR
cell tip,GO:0051286,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,RDX
cellular_component,GO:0005575,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,EIF2AK1|FTO|GPT
centrosome,GO:0005813,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,IL1RN|NFE2L2|PRKACA
chromatin,GO:0000785,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,10,AHR|ESR1|NFE2L2|NR1H4|NR5A2|PPARA|PPARD|PPARG|SIRT1|SREBF1
chromatin silencing complex,GO:0005677,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SIRT1
chromosome,GO:0005694,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,NR5A2
chylomicron,GO:0042627,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,APOH
ciliary basal body,GO:0036064,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,4,ADH1A|ADH1B|NFE2L2|PRKCA
ciliary base,GO:0097546,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKACA
cilium,GO:0005929,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,ADH1A|ADH1B
clathrin-coated endocytic vesicle membrane,GO:0030669,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,LDLR
clathrin-coated pit,GO:0005905,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,LDLR|VLDLR
clathrin-coated vesicle,GO:0030136,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,ABCB4
cleavage furrow,GO:0032154,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,RDX
collagen-containing extracellular matrix,GO:0062023,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,F2|LAMA1|TGFB1
collagen trimer,GO:0005581,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,ADIPOQ|C1QC|MMP1
complement component C1 complex,GO:0005602,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,C1QC
complement component C1q complex,GO:0062167,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,C1QC
cone photoreceptor outer segment,GO:0120199,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKCA
COPII-coated ER to Golgi transport vesicle,GO:0030134,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SERPINA1
cornified envelope,GO:0001533,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SERPINB2
cortical actin cytoskeleton,GO:0030864,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,RDX
cortical granule,GO:0060473,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Resveratrol,0,
creatine kinase complex,GO:0002185,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Taurine,0,
Cul3-RING ubiquitin ligase complex,GO:0031463,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,RDX
cytolytic granule,GO:0044194,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRF1
cytolytic granule lumen,GO:1904856,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRF1
cytoplasm,GO:0005737,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,43,ABCB4|ACE|ADH1A|ADH4|AHR|AHR2|ALDH1A1|CAT|CYP2E1|EIF2AK1|ESR1|FGF21|FTO|GPT|GSTA1|GSTM1|GSTP1|GSTT1|IKBKG|IL1B|JAK2|LEP|MRTFA|NFE2L2|NLRP3|NQO1|NR5A2|PNPLA3|PPARG|PRDX3|PRKACA|PRKCA|PRKCD|PRKCE|PTEN|RDX|SCARB1|SERPINB2|SIRT1|SREBF1|TGFB1|TRIB1|XBP1
cytoplasmic side of plasma membrane,GO:0009898,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,JAK2|PTEN
cytoplasmic stress granule,GO:0010494,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,sodium arsenite,0,
cytoplasmic vesicle,GO:0031410,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,Sucrose,2,PRF1|SREBF1
cytoskeleton,GO:0005856,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,JAK2|PRKCE|RDX
cytosol,GO:0005829,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,51,ABCB4|ADH1A|ADH1B|ADH4|AHCY|AHR|ALDH1A1|ALDH1B1|ALDH4A1|CAT|EIF2AK1|ESR1|FAS|FGF21|FTO|GNMT|GPT|GSTA1|GSTM1|GSTP1|GSTT1|IFI30|IKBKG|IL1A|IL1B|IL1RN|JAK2|LEP|LIF|MRTFA|MTTP|NFE2L2|NLRP3|NQO1|NR1H4|NR5A2|PEMT|PPARG|PRDX3|PRF1|PRKACA|PRKCA|PRKCD|PRKCE|PTEN|RDX|SIRT1|SREBF1|TRIB1|TRIB3|XBP1
cytosolic aryl hydrocarbon receptor complex,GO:0034752,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,AHR
death-inducing signaling complex,GO:0031264,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,FAS
dendrite,GO:0030425,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,MMP1|NQO1|PRKCA
dendritic branch,GO:0044307,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,bisphenol A,0,
dendritic spine,GO:0043197,Non-alcoholic Fatty Liver Disease,MESH:D065626,1,bisphenol A,1,PTEN
DNA recombinase complex,GO:0097519,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,RAG2
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex",GO:0009330,Non-alcoholic Fatty Liver Disease,MESH:D065626,2,Arsenic Trioxide|Reactive Oxygen Species,0,
early endosome,GO:0005769,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,LDLR|PRDX3
endocytic vesicle membrane,GO:0030666,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SCARB1
endodeoxyribonuclease complex,GO:1905347,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,RAG2
endolysosome,GO:0036019,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,PRKCD
endolysosome membrane,GO:0036020,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,LDLR
endomembrane system,GO:0012505,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,4,JAK2|LDLR|TM6SF2|VLDLR
endoplasmic reticulum,GO:0005783,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,14,ADIPOQ|AHCY|CYP17A1|CYP2E1|MTTP|NLRP3|PEMT|PRKCA|PRKCD|PRKCE|SERPINA1|SREBF1|STC2|XBP1
endoplasmic reticulum-Golgi intermediate compartment membrane,GO:0033116,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,INS|SERPINA1|TM6SF2
endoplasmic reticulum lumen,GO:0005788,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,5,F2|INS|MTTP|SERPINA1|STC2
endoplasmic reticulum membrane,GO:0005789,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,9,B3GAT1|CYP17A1|CYP1A2|CYP2E1|PEMT|PNPLA3|SREBF1|TM6SF2|XBP1
endosome,GO:0005768,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,ACE|FAS|LDLR
endosome lumen,GO:0031904,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,INS|JAK2|PRF1
endosome membrane,GO:0010008,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,CD14|LDLR|PTEN
eNoSc complex,GO:0061773,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SIRT1
ER to Golgi transport vesicle membrane,GO:0012507,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SREBF1
ESC/E(Z) complex,GO:0035098,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,1,SIRT1
euchromatin,GO:0000791,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,4,ESR1|JAK2|NR1H4|SIRT1
external side of plasma membrane,GO:0009897,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,9,ACE|CD14|F2|FAS|FOLR2|IL4|LDLR|TNF|TNFRSF1B
extracellular exosome,GO:0070062,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,2,ACE|GSTA1
extracellular matrix,GO:0031012,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,3,LAMA1|MMP1|TGFB1
extracellular region,GO:0005576,Non-alcoholic Fatty Liver Disease,MESH:D065626,0,,35,ACE|ADIPOQ|APOH|B3GAT1|C1QC|CAT|CD14|CSF2|F2|FAS|FGF21|FOLR2|GSTM1|GSTP1|IFI30|IL1A|IL1B|IL1RN|IL3|IL4|INS|LAMA1|LEP|LIF|MMP1|NLRP3|PRF1|PRKCD|PTEN|SERPINA1|SERPINB2|STC2|TGFB1|TNF|TNFRSF1B
