GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
A band,GO:0031672,Heart Diseases,MESH:D006331,0,,1,UNC45B
acrosomal membrane,GO:0002080,Heart Diseases,MESH:D006331,1,sodium arsenite,0,
actin cap,GO:0030478,Heart Diseases,MESH:D006331,1,Thiamethoxam,0,
actin filament,GO:0005884,Heart Diseases,MESH:D006331,2,Cadmium|Cadmium Chloride,1,RAC2
actin filament bundle,GO:0032432,Heart Diseases,MESH:D006331,1,Particulate Matter,0,
adherens junction,GO:0005912,Heart Diseases,MESH:D006331,0,,1,VEGFA
alveolar lamellar body,GO:0097208,Heart Diseases,MESH:D006331,2,Acetylcysteine|Particulate Matter,0,
amyloid-beta complex,GO:0106003,Heart Diseases,MESH:D006331,1,Paraquat,0,
apical ectoplasmic specialization,GO:0061831,Heart Diseases,MESH:D006331,0,,1,ATP2A2
apical part of cell,GO:0045177,Heart Diseases,MESH:D006331,0,,2,ABCB1A|SPP1
apical plasma membrane,GO:0016324,Heart Diseases,MESH:D006331,0,,4,ABCB1A|ABCC1|ABCC2|CYBA
apoptotic body,GO:0097189,Heart Diseases,MESH:D006331,10,Arsenic|Arsenic Trioxide|astaxanthine|Cadmium|Cadmium Chloride|Cisplatin|Indomethacin|Raloxifene Hydrochloride|S-allylcysteine|sodium arsenite,0,
apoptotic body,GO:0097189,Pulmonary Heart Disease,MESH:D011660,1,Indomethacin,0,
aryl hydrocarbon receptor complex,GO:0034751,Heart Diseases,MESH:D006331,0,,1,AHR2
autolysosome,GO:0044754,Heart Diseases,MESH:D006331,17,Arsenic Trioxide|Cadmium|Cadmium Chloride|Chloroquine|Cisplatin|Curcumin|Dietary Fats|Doxorubicin|epigallocatechin gallate|ferrostatin-1|Metformin|Methamphetamine|Miconazole|Paraquat|Rifampin|sodium arsenite|Taurine,0,
autophagosome,GO:0005776,Heart Diseases,MESH:D006331,21,Arsenic|Arsenic Trioxide|Benzo(a)pyrene|Cadmium|Cadmium Chloride|Chloroquine|Cisplatin|Doxorubicin|epigallocatechin gallate|Ethanol|Hydrogen Peroxide|Indomethacin|Iohexol|lead nitrate|Melatonin|Metformin|Methamphetamine|Paraquat|Raloxifene Hydrochloride|Resveratrol|Taurine,0,
autophagosome,GO:0005776,Pulmonary Heart Disease,MESH:D011660,1,Indomethacin,0,
axon,GO:0030424,Heart Diseases,MESH:D006331,0,,3,BSN|SIRT1|TH
axonal spine,GO:0044308,Heart Diseases,MESH:D006331,2,Cadmium|Cadmium Chloride,0,
axon cytoplasm,GO:1904115,Heart Diseases,MESH:D006331,0,,1,BSN
axon terminus,GO:0043679,Heart Diseases,MESH:D006331,0,,1,ADRA2A
basal plasma membrane,GO:0009925,Heart Diseases,MESH:D006331,0,,1,ABCC1
basement membrane,GO:0005604,Heart Diseases,MESH:D006331,0,,3,ALB|TIMP1|VEGFA
basolateral plasma membrane,GO:0016323,Heart Diseases,MESH:D006331,0,,2,ABCC1|ADRA2A
beta-catenin-TCF7L2 complex,GO:0070369,Heart Diseases,MESH:D006331,0,,1,TCF4
beta-catenin-TCF complex,GO:1990907,Heart Diseases,MESH:D006331,0,,1,TCF4
blood microparticle,GO:0072562,Heart Diseases,MESH:D006331,0,,1,ALB
brush border membrane,GO:0031526,Heart Diseases,MESH:D006331,0,,2,ABCB1A|ABCC2
calcium ion-transporting ATPase complex,GO:0090534,Heart Diseases,MESH:D006331,0,,1,ATP2A2
cardiac myofibril,GO:0097512,Heart Diseases,MESH:D006331,0,,2,TNNI3|TNNT2
cardiac Troponin complex,GO:1990584,Heart Diseases,MESH:D006331,2,Doxorubicin|Isoproterenol,2,TNNI3|TNNT2
CatSper complex,GO:0036128,Heart Diseases,MESH:D006331,1,bisphenol A,0,
cell body,GO:0044297,Heart Diseases,MESH:D006331,0,,1,EPO
cell-cell junction,GO:0005911,Heart Diseases,MESH:D006331,2,bisphenol A|Fluorouracil,0,
cell cortex,GO:0005938,Heart Diseases,MESH:D006331,0,,2,BSN|RAC2
cell projection,GO:0042995,Heart Diseases,MESH:D006331,2,2-chloro-5-nitrobenzanilide|Lipopolysaccharides,4,BSN|RAC2|SPP1|TH
cell surface,GO:0009986,Heart Diseases,MESH:D006331,1,deoxynivalenol,8,ABCB1A|ABCC2|ATP5PF|BSN|EPO|RARG|SFRP1|VEGFA
cellular_component,GO:0005575,Heart Diseases,MESH:D006331,0,,3,ALB|MIR34A|PON1
centrosome,GO:0005813,Heart Diseases,MESH:D006331,0,,1,APEX1
chromatin,GO:0000785,Heart Diseases,MESH:D006331,0,,5,HDAC1|HDAC3|RARG|SIRT1|TCF4
chromatin,GO:0000785,TESTICULAR ANOMALIES WITH OR WITHOUT CONGENITAL HEART DISEASE,OMIM:615542,0,,1,GATA4
chromatin silencing complex,GO:0005677,Heart Diseases,MESH:D006331,0,,1,SIRT1
chromosome,GO:0005694,Heart Diseases,MESH:D006331,0,,1,HDAC3
"chromosome, centromeric region",GO:0000775,Heart Diseases,MESH:D006331,0,,1,PPP2CA
"chromosome, telomeric region",GO:0000781,Heart Diseases,MESH:D006331,0,,1,APEX1
cochlear hair cell ribbon synapse,GO:0098683,Heart Diseases,MESH:D006331,1,Cisplatin,1,BSN
collagen-containing extracellular matrix,GO:0062023,Heart Diseases,MESH:D006331,0,,1,SFRP1
contractile fiber,GO:0043292,Heart Diseases,MESH:D006331,0,,1,TNNI3
cortical granule,GO:0060473,Heart Diseases,MESH:D006331,3,Glutathione|Lipopolysaccharides|Resveratrol,0,
creatine kinase complex,GO:0002185,Heart Diseases,MESH:D006331,2,aluminum phosphide|Taurine,0,
cytoplasm,GO:0005737,Heart Diseases,MESH:D006331,0,,28,ABCB1A|ADRA2A|AHR2|ALB|APEX1|CRP|CYBA|GCG|HDAC1|HDAC3|HSPB6|MIR21|MT2A|NCF4|NPPB|PNPLA2|PPP2CA|PSMA2|RAC2|RARG|S1PR2|SIRT1|SPP1|TH|TNNI3|UNC45B|VEGFA|XDH
cytoplasmic side of plasma membrane,GO:0009898,Heart Diseases,MESH:D006331,0,,1,TH
cytoplasmic stress granule,GO:0010494,Heart Diseases,MESH:D006331,1,sodium arsenite,0,
