GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
actin cortical patch,GO:0030479,"Hepatitis, Chronic",MESH:D006521,0,,1,MET
actin cytoskeleton,GO:0015629,Hepatitis C,MESH:D006526,0,,1,RIGI
actin cytoskeleton,GO:0015629,"Hepatitis, Chronic",MESH:D006521,0,,1,ACTA2
actin filament,GO:0005884,Hepatitis,MESH:D006505,0,,1,KEAP1
activin responsive factor complex,GO:0032444,"Hepatitis, Chronic",MESH:D006521,0,,1,SMAD2
adherens junction,GO:0005912,Hepatitis,MESH:D006505,0,,1,KEAP1
aggresome,GO:0016235,"Hepatitis, Animal",MESH:D006520,0,,1,UBD
AIM2 inflammasome complex,GO:0097169,Hepatitis,MESH:D006505,1,perfluorooctane sulfonic acid,0,
alveolar lamellar body,GO:0097208,Hepatitis,MESH:D006505,1,Acetylcysteine,0,
anchoring junction,GO:0070161,"Hepatitis C, Chronic",MESH:D019698,0,,1,ITGB6
apical part of cell,GO:0045177,Hepatitis,MESH:D006505,0,,1,ATP7B
apical part of cell,GO:0045177,Hepatitis C,MESH:D006526,0,,1,HFE
apical plasma membrane,GO:0016324,Hepatitis,MESH:D006505,0,,1,TF
apical plasma membrane,GO:0016324,"Hepatitis, Animal",MESH:D006520,0,,1,CYP4A14
apical plasma membrane,GO:0016324,"Hepatitis, Autoimmune",MESH:D019693,0,,1,IL18
apical plasma membrane,GO:0016324,Hepatitis C,MESH:D006526,0,,2,CD81|SCARB1
apical plasma membrane,GO:0016324,"Hepatitis, Chronic",MESH:D006521,0,,1,ATP7A
apicolateral plasma membrane,GO:0016327,"Hepatitis, Chronic",MESH:D006521,0,,1,KRT19
apoptotic body,GO:0097189,Hepatitis,MESH:D006505,1,Norfloxacin,0,
apoptotic body,GO:0097189,Hepatitis A,MESH:D006506,1,Glycyrrhizic Acid,0,
apoptotic body,GO:0097189,"Hepatitis, Autoimmune",MESH:D019693,1,Indomethacin,0,
apoptotic body,GO:0097189,Hepatitis B,MESH:D006509,2,baicalin|Indomethacin,0,
apoptotic body,GO:0097189,"Hepatitis C, Chronic",MESH:D019698,1,Indomethacin,0,
aryl hydrocarbon receptor complex,GO:0034751,"Hepatitis, Chronic",MESH:D006521,0,,1,MET
autolysosome,GO:0044754,Hepatitis,MESH:D006505,5,Chloroquine|Dietary Fats|Metformin|Methamphetamine|Rifampin,0,
autolysosome,GO:0044754,"Hepatitis, Animal",MESH:D006520,2,Dietary Fats|Oleic Acid,0,
autolysosome,GO:0044754,"Hepatitis, Autoimmune",MESH:D019693,1,rhoifolin,0,
autophagosome,GO:0005776,Hepatitis,MESH:D006505,7,Acetaminophen|Chloroquine|Ethanol|Melatonin|Metformin|Methamphetamine|Resveratrol,0,
autophagosome,GO:0005776,"Hepatitis, Alcoholic",MESH:D006519,1,Ethanol,0,
autophagosome,GO:0005776,"Hepatitis, Autoimmune",MESH:D019693,3,Indomethacin|Melatonin|rhoifolin,0,
autophagosome,GO:0005776,Hepatitis B,MESH:D006509,1,Indomethacin,0,
autophagosome,GO:0005776,Hepatitis C,MESH:D006526,1,Resveratrol,0,
autophagosome,GO:0005776,"Hepatitis C, Chronic",MESH:D019698,1,Indomethacin,0,
axon,GO:0030424,"Hepatitis, Autoimmune",MESH:D019693,0,,1,TGFB1
axon,GO:0030424,Hepatitis C,MESH:D006526,0,,1,OPRM1
axon,GO:0030424,"Hepatitis, Chronic",MESH:D006521,0,,2,ATP7A|TGFB1
axon cytoplasm,GO:1904115,"Hepatitis, Chronic",MESH:D006521,0,,1,SOD1
axon terminus,GO:0043679,"Hepatitis, Autoimmune",MESH:D019693,0,,1,CCL2
basal part of cell,GO:0045178,Hepatitis,MESH:D006505,0,,1,TF
basal part of cell,GO:0045178,Hepatitis C,MESH:D006526,0,,1,HFE
basal plasma membrane,GO:0009925,Hepatitis,MESH:D006505,0,,1,TF
basal plasma membrane,GO:0009925,Hepatitis C,MESH:D006526,0,,1,CD81
basal plasma membrane,GO:0009925,"Hepatitis, Chronic",MESH:D006521,0,,1,MET
basement membrane,GO:0005604,Hepatitis,MESH:D006505,0,,3,ALB|SPARC|TF
basement membrane,GO:0005604,Hepatitis B,MESH:D006509,0,,1,LOXL2
basement membrane,GO:0005604,Hepatitis C,MESH:D006526,0,,1,LOXL2
basement membrane,GO:0005604,"Hepatitis, Chronic",MESH:D006521,0,,1,ACTA2
basolateral plasma membrane,GO:0016323,Hepatitis,MESH:D006505,0,,1,ATP7B
basolateral plasma membrane,GO:0016323,Hepatitis B,MESH:D006509,0,,1,SLC10A1
basolateral plasma membrane,GO:0016323,Hepatitis C,MESH:D006526,0,,2,CD81|SCARB1
basolateral plasma membrane,GO:0016323,"Hepatitis, Chronic",MESH:D006521,0,,1,ATP7A
bicellular tight junction,GO:0005923,Hepatitis,MESH:D006505,0,,1,ATP7B
bicellular tight junction,GO:0005923,Hepatitis C,MESH:D006526,0,,1,RIGI
blood microparticle,GO:0072562,Hepatitis,MESH:D006505,0,,1,ALB
blood microparticle,GO:0072562,"Hepatitis, Autoimmune",MESH:D019693,0,,1,TGFB1
blood microparticle,GO:0072562,Hepatitis B,MESH:D006509,0,,1,HP
blood microparticle,GO:0072562,"Hepatitis B, Chronic",MESH:D019694,0,,1,HP
blood microparticle,GO:0072562,"Hepatitis C, Chronic",MESH:D019698,0,,1,HP
blood microparticle,GO:0072562,"Hepatitis, Chronic",MESH:D006521,0,,1,TGFB1
brush border membrane,GO:0031526,"Hepatitis, Chronic",MESH:D006521,0,,1,ATP7A
Cajal body,GO:0015030,Hepatitis,MESH:D006505,0,,1,PARP1
