GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,GO:0017086,Hypertension,MESH:D006973,1,Simvastatin,0,
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,GO:0017086,"Hypertension, Pulmonary",MESH:D006976,1,Simvastatin,0,
A band,GO:0031672,Familial Primary Pulmonary Hypertension,MESH:D065627,0,,1,HDAC4
acrosomal membrane,GO:0002080,Familial Primary Pulmonary Hypertension,MESH:D065627,0,,1,CAV1
acrosomal membrane,GO:0002080,Hypertension,MESH:D006973,1,sodium arsenite,1,CAV1
acrosomal vesicle,GO:0001669,Hypertension,MESH:D006973,0,,3,DRD2|KLK1|SCNN1A
acrosomal vesicle,GO:0001669,"Hypertension, Pulmonary",MESH:D006976,0,,1,PRKG1
actin cap,GO:0030478,Hypertension,MESH:D006973,1,cobaltous chloride,0,
actin cytoskeleton,GO:0015629,Hypertension,MESH:D006973,0,,1,TPM1
actin cytoskeleton,GO:0015629,"Hypertension, Renal",MESH:D006977,0,,1,MYH9
actin filament,GO:0005884,Essential Hypertension,MESH:D000075222,0,,1,AIF1
actin filament,GO:0005884,Hypertension,MESH:D006973,2,Cadmium|Cadmium Chloride,3,AIF1|ANXA1|TPM1
actin filament,GO:0005884,"Hypertension, Renal",MESH:D006977,0,,1,MYH9
actin filament bundle,GO:0032432,Hypertension,MESH:D006973,1,Particulate Matter,0,
actin filament bundle,GO:0032432,Pulmonary Arterial Hypertension,MESH:D000081029,1,Particulate Matter,0,
actomyosin,GO:0042641,Familial Primary Pulmonary Hypertension,MESH:D065627,0,,1,HDAC4
actomyosin,GO:0042641,"Hypertension, Renal",MESH:D006977,0,,1,MYH9
actomyosin contractile ring,GO:0005826,"Hypertension, Renal",MESH:D006977,0,,1,MYH9
adherens junction,GO:0005912,Essential Hypertension,MESH:D000075222,0,,2,ADD1|TJP1
adherens junction,GO:0005912,Familial Primary Pulmonary Hypertension,MESH:D065627,0,,1,BMPR2
adherens junction,GO:0005912,Hypertension,MESH:D006973,0,,2,ADD1|AGER
adherens junction,GO:0005912,"Hypertension, Portal",MESH:D006975,0,,1,VEGFA
adherens junction,GO:0005912,"Hypertension, Pulmonary",MESH:D006976,0,,1,BMPR2
adherens junction,GO:0005912,"Hypertension, Renal",MESH:D006977,0,,1,MYH9
adherens junction,GO:0005912,Pulmonary Arterial Hypertension,MESH:D000081029,0,,1,BMPR2
AIM2 inflammasome complex,GO:0097169,Hypertension,MESH:D006973,1,perfluorooctane sulfonic acid,0,
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex,GO:0071065,Hypertension,MESH:D006973,0,,1,VCAM1
alphav-beta3 integrin-HMGB1 complex,GO:0035868,Essential Hypertension,MESH:D000075222,0,,1,HMGB1
alphav-beta3 integrin-HMGB1 complex,GO:0035868,Hypertension,MESH:D006973,0,,1,HMGB1
alphav-beta3 integrin-IGF-1-IGF1R complex,GO:0035867,Hypertension,MESH:D006973,0,,1,IGF1
alveolar lamellar body,GO:0097208,Hypertension,MESH:D006973,2,Acetylcysteine|Particulate Matter,0,
alveolar lamellar body,GO:0097208,"Hypertension, Pulmonary",MESH:D006976,0,,1,ABCA3
alveolar lamellar body,GO:0097208,Intracranial Hypertension,MESH:D019586,1,Acetylcysteine,0,
alveolar lamellar body,GO:0097208,Pulmonary Arterial Hypertension,MESH:D000081029,1,Particulate Matter,0,
alveolar lamellar body membrane,GO:0097233,"Hypertension, Pulmonary",MESH:D006976,0,,1,ABCA3
amyloid-beta complex,GO:0106003,Hypertension,MESH:D006973,1,ferulic acid,0,
amyloid-beta complex,GO:0106003,"Hypertension, Pulmonary",MESH:D006976,1,Paraquat,0,
anchoring junction,GO:0070161,Hypertension,MESH:D006973,0,,2,GJA4|GJC1
anchoring junction,GO:0070161,"Hypertension, Pulmonary",MESH:D006976,0,,1,SLC6A4
anchoring junction,GO:0070161,Ocular Hypertension,MESH:D009798,0,,1,SH3PXD2B
ANPR-A receptor complex,GO:1990620,Hypertension,MESH:D006973,0,,1,NPR1
apical dendrite,GO:0097440,Intracranial Hypertension,MESH:D019586,0,,1,SLC4A10
apical junction complex,GO:0043296,Essential Hypertension,MESH:D000075222,0,,1,TJP1
apical part of cell,GO:0045177,Essential Hypertension,MESH:D000075222,0,,2,NOS3|TJP1
apical part of cell,GO:0045177,Hypertension,MESH:D006973,0,,11,AQP1|ATP2B1|CD36|HSD11B1|KLK1|NOS3|PLAT|REN|REN2|UMOD|VCAM1
apical part of cell,GO:0045177,"Hypertension, Malignant",MESH:D006974,0,,2,REN|REN2
apical part of cell,GO:0045177,"Hypertension, Portal",MESH:D006975,0,,1,NOS3
apical part of cell,GO:0045177,"Hypertension, Pregnancy-Induced",MESH:D046110,0,,1,NOS3
apical part of cell,GO:0045177,"Hypertension, Pulmonary",MESH:D006976,0,,1,NOS3
apical part of cell,GO:0045177,"Hypertension, Renovascular",MESH:D006978,0,,1,NOS3
apical plasma membrane,GO:0016324,Essential Hypertension,MESH:D000075222,0,,4,ATP1B1|CYBA|OCLN|TJP1
apical plasma membrane,GO:0016324,Familial Primary Pulmonary Hypertension,MESH:D065627,0,,2,BMPR2|CAV1
apical plasma membrane,GO:0016324,Hypertension,MESH:D006973,0,,30,ABCC1|ACE2|AGER|ANXA1|AQP1|ATP1A1|ATP2B1|CAV1|CD36|CLCNKA|CYBA|CYP4A10|CYP4F2|FN1|GJA1|GNAS|GRK2|NEDD4L|NHERF2|NOX4|PTEN|SCNN1A|SCNN1B|SCNN1G|SLC12A2|SLC12A3|SLC6A18|STK39|UMOD|VCAM1
apical plasma membrane,GO:0016324,"Hypertension, Pulmonary",MESH:D006976,0,,5,ACE2|ATP7A|BMPR2|KCNMA1|SLC31A1
apical plasma membrane,GO:0016324,"Hypertension, Renal",MESH:D006977,0,,1,MYH9
apical plasma membrane,GO:0016324,Intracranial Hypertension,MESH:D019586,0,,1,SLC4A10
