GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
actin cap,GO:0030478,Hypoxia,MESH:D000860,1,cobaltous chloride,0,
actin cap,GO:0030478,"Hypoxia, Brain",MESH:D002534,1,cobaltous chloride,0,
actin cap,GO:0030478,"Hypoxia-Ischemia, Brain",MESH:D020925,1,cobaltous chloride,0,
actin cytoskeleton,GO:0015629,Hypoxia,MESH:D000860,0,,1,ACTB
actin filament,GO:0005884,Hypoxia,MESH:D000860,0,,1,ACTB
adherens junction,GO:0005912,Hypoxia,MESH:D000860,0,,1,ACTB
adherens junction,GO:0005912,"Hypoxia-Ischemia, Brain",MESH:D020925,0,,1,VEGFA
apical junction complex,GO:0043296,Hypoxia,MESH:D000860,0,,1,ACTB
apical part of cell,GO:0045177,Hypoxia,MESH:D000860,0,,2,NOS3|PLAT
apical plasma membrane,GO:0016324,Hypoxia,MESH:D000860,0,,1,GNAS
apoptotic body,GO:0097189,Hypoxia,MESH:D000860,2,Arsenic Trioxide|Indomethacin,0,
ATF1-ATF4 transcription factor complex,GO:1990590,Hypoxia,MESH:D000860,0,,1,ATF4
ATF4-CREB1 transcription factor complex,GO:1990589,Hypoxia,MESH:D000860,0,,1,ATF4
autolysosome,GO:0044754,Hypoxia,MESH:D000860,8,Arsenic Trioxide|Chloroquine|Copper Sulfate|Dietary Fats|Glucose|Oleic Acid|Sevoflurane|Taurine,0,
autolysosome,GO:0044754,"Hypoxia-Ischemia, Brain",MESH:D020925,1,Methamphetamine,0,
autophagosome,GO:0005776,Hypoxia,MESH:D000860,10,Acetaminophen|Arsenic Trioxide|Chloroquine|Copper Sulfate|Glucose|Hydrogen Peroxide|Indomethacin|Resveratrol|Sevoflurane|Taurine,0,
autophagosome,GO:0005776,"Hypoxia-Ischemia, Brain",MESH:D020925,2,Lithium Chloride|Methamphetamine,0,
axon,GO:0030424,Hypoxia,MESH:D000860,0,,3,ACTB|BDNF|DAF-2
axon,GO:0030424,"Hypoxia, Brain",MESH:D002534,0,,1,ITPR2
