GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
aggresome,GO:0016235,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,0,,1,SQSTM1
amphisome,GO:0044753,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,0,,1,SQSTM1
apical plasma membrane,GO:0016324,"Hypercalciuria, childhood idiopathic",MESH:C536082,0,,1,KL
autolysosome,GO:0044754,Child Behavior Disorders,MESH:D002653,1,Niacinamide,0,
autolysosome,GO:0044754,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,0,,1,SQSTM1
autophagosome,GO:0005776,Child Behavior Disorders,MESH:D002653,1,Lead,0,
autophagosome,GO:0005776,"Lead Poisoning, Nervous System, Childhood",MESH:D020264,2,Lead|lead acetate,0,
autophagosome,GO:0005776,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,0,,1,SQSTM1
axon,GO:0030424,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A3
axon,GO:0030424,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
axon,GO:0030424,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,3,DYNC1H1|SMN1|SMN2
axon cytoplasm,GO:1904115,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
axonemal dynein complex,GO:0005858,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
axon terminus,GO:0043679,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
azurophil granule lumen,GO:0035578,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
basement membrane,GO:0005604,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,0,,1,COL2A1
Cajal body,GO:0015030,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,2,SMN1|SMN2
calyx of Held,GO:0044305,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A3
CatSper complex,GO:0036128,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
caveola,GO:0005901,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A2
cell-cell junction,GO:0005911,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
cell cortex,GO:0005938,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
cell projection,GO:0042995,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A2
cell projection,GO:0042995,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,SMN1
cell surface,GO:0009986,Alternating hemiplegia of childhood,MESH:C536589,0,,2,ATP1A2|ATP1A3
centrosome,GO:0005813,"Child Development Disorders, Pervasive",MESH:D002659,0,,2,DRD4|MECP2
centrosome,GO:0005813,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
chromatin,GO:0000785,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,MECP2
ciliary membrane,GO:0060170,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,0,,1,GPR88
cilium,GO:0005929,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,0,,1,GPR88
collagen-containing extracellular matrix,GO:0062023,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,0,,1,COL2A1
collagen trimer,GO:0005581,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,0,,1,COL2A1
collagen type II trimer,GO:0005585,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,0,,1,COL2A1
collagen type XI trimer,GO:0005592,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,0,,1,COL2A1
COPI-coated vesicle,GO:0030137,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,SMN1
cytoplasm,GO:0005737,Alternating hemiplegia of childhood,MESH:C536589,0,,2,ATP1A2|ATP1A3
cytoplasm,GO:0005737,"Child Development Disorders, Pervasive",MESH:D002659,0,,3,DRD4|MECP2|MRTFB
cytoplasm,GO:0005737,"CHOREA, CHILDHOOD-ONSET, WITH PSYCHOMOTOR RETARDATION",OMIM:616939,0,,1,GPR88
cytoplasm,GO:0005737,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,0,,1,DNAJC12
cytoplasm,GO:0005737,"Myopathy, Reducing Body, X-Linked, Childhood-Onset",MESH:C567468,0,,1,FHL1
cytoplasm,GO:0005737,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,0,,1,SQSTM1
cytoplasm,GO:0005737,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,0,,1,COL2A1
cytoplasm,GO:0005737,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,3,DYNC1H1|SMN1|SMN2
cytoplasmic dynein complex,GO:0005868,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
cytoplasmic ribonucleoprotein granule,GO:0036464,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,2,SMN1|SMN2
cytoplasmic side of plasma membrane,GO:0009898,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
cytoplasmic vesicle,GO:0031410,"MONONEUROPATHY OF THE MEDIAN NERVE, MILD",OMIM:613353,0,,1,SH3TC2
cytoskeleton,GO:0005856,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
cytosol,GO:0005829,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,MECP2
cytosol,GO:0005829,"DYSTONIA, CHILDHOOD-ONSET, WITH OPTIC ATROPHY AND BASAL GANGLIA ABNORMALITIES",OMIM:617282,0,,1,MECR
cytosol,GO:0005829,"Myopathy, Reducing Body, X-Linked, Childhood-Onset",MESH:C567468,0,,1,FHL1
cytosol,GO:0005829,"NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET",OMIM:617145,0,,1,SQSTM1
cytosol,GO:0005829,Sick Building Syndrome,MESH:D018877,0,,1,PNPLA6
cytosol,GO:0005829,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,3,DYNC1H1|SMN1|SMN2
cytosol,GO:0005829,"STRIATONIGRAL DEGENERATION, CHILDHOOD-ONSET",OMIM:617054,0,,1,VAC14
dendrite,GO:0030425,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
dendrite terminus,GO:0044292,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
dendritic branch,GO:0044307,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
dendritic microtubule,GO:1901588,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
dendritic shaft,GO:0043198,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
dendritic spine,GO:0043197,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A2
dendritic spine,GO:0043197,Child Behavior Disorders,MESH:D002653,1,bisphenol A,0,
dendritic spine,GO:0043197,"Child Development Disorders, Pervasive",MESH:D002659,0,,1,DRD4
dendritic spine head,GO:0044327,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A3
dendritic spine neck,GO:0044326,Alternating hemiplegia of childhood,MESH:C536589,0,,1,ATP1A3
dynein complex,GO:0030286,Spinal Muscular Atrophies of Childhood,MESH:D014897,0,,1,DYNC1H1
