GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
actin filament bundle,GO:0032432,"Lupus Erythematosus, Systemic",MESH:D008180,1,Particulate Matter,0,
aggresome,GO:0016235,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,CLU
alpha-beta T cell receptor complex,GO:0042105,"Lupus Erythematosus, Cutaneous",MESH:D008178,0,,1,TCRA
alveolar lamellar body,GO:0097208,"Lupus Erythematosus, Systemic",MESH:D008180,1,Particulate Matter,0,
apical dendrite,GO:0097440,"Lupus Erythematosus, Systemic",MESH:D008180,0,,2,CLU|FAS
apical dendrite,GO:0097440,Lupus Nephritis,MESH:D008181,0,,1,FAS
apical plasma membrane,GO:0016324,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,FAS
apical plasma membrane,GO:0016324,Lupus Nephritis,MESH:D008181,0,,1,FAS
apoptotic body,GO:0097189,"Lupus Erythematosus, Systemic",MESH:D008180,1,Indomethacin,0,
autolysosome,GO:0044754,"Lupus Erythematosus, Cutaneous",MESH:D008178,3,Chloroquine|Rifampin|Sertraline,0,
autolysosome,GO:0044754,"Lupus Erythematosus, Discoid",MESH:D008179,1,Chloroquine,0,
autolysosome,GO:0044754,"Lupus Erythematosus, Systemic",MESH:D008180,2,Chloroquine|Rifampin,0,
autolysosome,GO:0044754,Lupus Nephritis,MESH:D008181,1,Rifampin,0,
autolysosome membrane,GO:0120281,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,HLA-DRB1
autophagosome,GO:0005776,Chilblain lupus 1,MESH:C535924,0,,1,STING1
autophagosome,GO:0005776,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Chloroquine,0,
autophagosome,GO:0005776,"Lupus Erythematosus, Discoid",MESH:D008179,1,Chloroquine,0,
autophagosome,GO:0005776,"Lupus Erythematosus, Systemic",MESH:D008180,3,Chloroquine|Indomethacin|Melatonin,0,
autophagosome membrane,GO:0000421,Chilblain lupus 1,MESH:C535924,0,,1,STING1
axon,GO:0030424,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,ANXA3
axon,GO:0030424,Lupus Nephritis,MESH:D008181,0,,1,STAT1
azurophil granule lumen,GO:0035578,Lupus Nephritis,MESH:D008181,0,,1,C3
azurophil granule membrane,GO:0035577,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,SYNGR1
basal plasma membrane,GO:0009925,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,P2RY12
beta-catenin-TCF complex,GO:1990907,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,TCF7
catalase complex,GO:0062151,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,CAT
caveola,GO:0005901,"Lupus Erythematosus, Systemic",MESH:D008180,0,,2,P2RY12|PTGS2
CD95 death-inducing signaling complex,GO:0031265,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,FAS
CD95 death-inducing signaling complex,GO:0031265,Lupus Nephritis,MESH:D008181,0,,1,FAS
cell body,GO:0044297,"Lupus Erythematosus, Systemic",MESH:D008180,0,,2,CD40LG|FCGR2B
cell body membrane,GO:0044298,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,P2RY12
cell-cell junction,GO:0005911,"Lupus Erythematosus, Cutaneous",MESH:D008178,1,Fluorouracil,0,
cell-cell junction,GO:0005911,"Lupus Erythematosus, Systemic",MESH:D008180,0,,2,CSK|DEF6
cell periphery,GO:0071944,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,CLU
cell projection,GO:0042995,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,CD40LG
cell projection,GO:0042995,Lupus Nephritis,MESH:D008181,1,Lipopolysaccharides,0,
cell projection membrane,GO:0031253,"Lupus Erythematosus, Systemic",MESH:D008180,0,,1,P2RY12
cell surface,GO:0009986,"Lupus Erythematosus, Cutaneous",MESH:D008178,0,,1,TCRA
