GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
acrosomal vesicle,GO:0001669,Obesity,MESH:D009765,0,,1,ADCY3
acrosomal vesicle,GO:0001669,"Obesity, Morbid",MESH:D009767,0,,1,ADCY3
actin cytoskeleton,GO:0015629,Obesity,MESH:D009765,0,,1,CNR1
actin filament,GO:0005884,Obesity,MESH:D009765,1,Cadmium,1,GAS7
actin filament,GO:0005884,Pediatric Obesity,MESH:D063766,1,Cadmium,0,
actin filament bundle,GO:0032432,Obesity,MESH:D009765,1,Particulate Matter,0,
actin filament bundle,GO:0032432,"Obesity, Abdominal",MESH:D056128,1,Particulate Matter,0,
adherens junction,GO:0005912,Obesity,MESH:D009765,0,,1,A
AIM2 inflammasome complex,GO:0097169,Obesity,MESH:D009765,0,,1,CASP1
alveolar lamellar body,GO:0097208,Obesity,MESH:D009765,2,Acetylcysteine|Particulate Matter,0,
alveolar lamellar body,GO:0097208,"Obesity, Abdominal",MESH:D056128,1,Particulate Matter,0,
apical cytoplasm,GO:0090651,Obesity,MESH:D009765,0,,1,ADCY3
apical cytoplasm,GO:0090651,"Obesity, Morbid",MESH:D009767,0,,1,ADCY3
apical dendrite,GO:0097440,Obesity,MESH:D009765,0,,2,ENPP1|NEGR1
apical part of cell,GO:0045177,Obesity,MESH:D009765,0,,4,HSD11B1|LDLR|RAPGEF3|VLDLR
apical part of cell,GO:0045177,"Obesity, Abdominal",MESH:D056128,0,,1,HSD11B1
apical plasma membrane,GO:0016324,Obesity,MESH:D009765,0,,12,A|ADRB2|DCXR|GNAS|IGFBP2|KCNMA1|LDLR|SLC22A1|SLC22A2|SLC22A3|TF|VLDLR
apical plasma membrane,GO:0016324,"Obesity, Morbid",MESH:D009767,0,,1,KCNMA1
apoptosome,GO:0043293,Obesity,MESH:D009765,0,,1,CYCS
apoptotic body,GO:0097189,Obesity,MESH:D009765,4,Cadmium|Diethylhexyl Phthalate|evodiamine|Quercetin,0,
apoptotic body,GO:0097189,"Obesity, Abdominal",MESH:D056128,1,Letrozole,0,
apoptotic body,GO:0097189,Pediatric Obesity,MESH:D063766,1,Cadmium,0,
aryl hydrocarbon receptor complex,GO:0034751,Obesity,MESH:D009765,0,,1,AHR
autolysosome,GO:0044754,Obesity,MESH:D009765,8,Cadmium|Curcumin|Dietary Fats|Glucose|Metformin|qidan|Sertraline|Taurine,1,FTL
autolysosome,GO:0044754,"Obesity, Abdominal",MESH:D056128,1,Dietary Fats,0,
autolysosome,GO:0044754,Pediatric Obesity,MESH:D063766,1,Cadmium,0,
autophagosome,GO:0005776,Obesity,MESH:D009765,10,Atrazine|Berberine|Cadmium|Diethylhexyl Phthalate|Glucose|Lead|Metformin|Polystyrenes|Resveratrol|Taurine,1,FTL
autophagosome,GO:0005776,Pediatric Obesity,MESH:D063766,1,Cadmium,0,
axolemma,GO:0030673,Obesity,MESH:D009765,0,,1,ACHE
axon,GO:0030424,Obesity,MESH:D009765,0,,12,ACADM|ACHE|ADRB2|CNR1|GHRL|HTR2A|NEGR1|NPY1R|NTRK2|SDC3|SIRT1|TNFRSF1B
axon,GO:0030424,"Obesity, Hyperphagia, and Developmental Delay",MESH:C563938,0,,1,NTRK2
axon,GO:0030424,"Obesity, Morbid",MESH:D009767,0,,1,BDNF
axonal spine,GO:0044308,Obesity,MESH:D009765,1,Cadmium,0,
axonal spine,GO:0044308,Pediatric Obesity,MESH:D063766,1,Cadmium,0,
axon cytoplasm,GO:1904115,Obesity,MESH:D009765,0,,2,RAB21|SOD1
axoneme,GO:0005930,Obesity,MESH:D009765,0,,2,INPP5E|PRKAR1A
axon terminus,GO:0043679,Obesity,MESH:D009765,0,,5,CCL2|GLUL|NTRK2|PCSK1|RAPGEF3
axon terminus,GO:0043679,"Obesity, Hyperphagia, and Developmental Delay",MESH:C563938,0,,1,NTRK2
azurophil granule lumen,GO:0035578,Obesity,MESH:D009765,0,,2,ACLY|FTL
azurophil granule membrane,GO:0035577,Obesity,MESH:D009765,0,,1,CD68
basal dendrite,GO:0097441,Obesity,MESH:D009765,0,,1,ENPP1
basal part of cell,GO:0045178,Obesity,MESH:D009765,0,,1,TF
basal plasma membrane,GO:0009925,Obesity,MESH:D009765,0,,4,RAPGEF3|SLC22A1|SLC22A2|TF
basement membrane,GO:0005604,Obesity,MESH:D009765,0,,2,ACHE|TF
basolateral part of cell,GO:1990794,Obesity,MESH:D009765,0,,1,RAPGEF3
basolateral plasma membrane,GO:0016323,Obesity,MESH:D009765,0,,9,AQP7|ENPP1|LDLR|LEPR|SLC16A7|SLC22A1|SLC22A2|SLC22A3|TFRC
basolateral plasma membrane,GO:0016323,"Obesity, Morbid",MESH:D009767,0,,1,LEPR
blood microparticle,GO:0072562,Pediatric Obesity,MESH:D063766,0,,1,APOA5
brush border,GO:0005903,Obesity,MESH:D009765,0,,1,DCXR
brush border membrane,GO:0031526,Obesity,MESH:D009765,0,,2,AQP7|RAPGEF3
Cajal body,GO:0015030,Obesity,MESH:D009765,0,,1,PARP1
cAMP-dependent protein kinase complex,GO:0005952,Obesity,MESH:D009765,0,,2,PRKAR1A|PRKAR2B
catalytic complex,GO:1902494,Obesity,MESH:D009765,0,,1,LPL
