GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
9+0 non-motile cilium,GO:0097731,"Osteoarthritis, Hip",MESH:D015207,0,,1,SMO
acrosomal vesicle,GO:0001669,Osteoarthritis,MESH:D010003,0,,1,VDAC2
actin cytoskeleton,GO:0015629,Osteoarthritis,MESH:D010003,0,,3,ACTB|CLIC4|EZR
actin cytoskeleton,GO:0015629,"Osteoarthritis, Hip",MESH:D015207,0,,1,FILIP1
actin filament,GO:0005884,Osteoarthritis,MESH:D010003,0,,4,ACTB|EZR|LTBP3|PLS3
actin filament,GO:0005884,"Osteoarthritis, Hip",MESH:D015207,0,,1,LTBP3
actin filament bundle,GO:0032432,Osteoarthritis,MESH:D010003,0,,1,PLS3
actomyosin,GO:0042641,Osteoarthritis,MESH:D010003,0,,1,PDCD6IP
adherens junction,GO:0005912,Osteoarthritis,MESH:D010003,0,,6,ACTB|AGER|EZR|MSN|SDCBP|TRPV4
aggresome,GO:0016235,Osteoarthritis,MESH:D010003,0,,2,CLU|EEF2
anchoring junction,GO:0070161,Osteoarthritis,MESH:D010003,0,,1,CLIC4
apical dendrite,GO:0097440,Osteoarthritis,MESH:D010003,0,,1,CLU
apical junction complex,GO:0043296,Osteoarthritis,MESH:D010003,0,,1,ACTB
apical part of cell,GO:0045177,Osteoarthritis,MESH:D010003,0,,4,CLIC4|DPEP1|EZR|MSN
apical part of cell,GO:0045177,"Osteoarthritis, Hip",MESH:D015207,0,,2,CRHR1|HFE
apical plasma membrane,GO:0016324,Osteoarthritis,MESH:D010003,0,,9,ADGRG2|AGER|ATP6V1B2|CTSK|DPEP1|EZR|MSN|SLC2A1|TRPV4
apoptotic body,GO:0097189,Osteoarthritis,MESH:D010003,2,astaxanthine|Indomethacin,0,
apoptotic body,GO:0097189,"Osteoarthritis, Hip",MESH:D015207,1,Indomethacin,0,
astrocyte projection,GO:0097449,Osteoarthritis,MESH:D010003,0,,1,EZR
autolysosome,GO:0044754,Osteoarthritis,MESH:D010003,3,Curcumin|Dietary Fats|ferrostatin-1,1,FTL
autolysosome,GO:0044754,"Osteoarthritis, Knee",MESH:D020370,1,rhoifolin,0,
autophagosome,GO:0005776,Osteoarthritis,MESH:D010003,5,Acetaminophen|Ethanol|Indomethacin|Lithium Chloride|Resveratrol,1,FTL
autophagosome,GO:0005776,"Osteoarthritis, Hip",MESH:D015207,1,Indomethacin,0,
autophagosome,GO:0005776,"Osteoarthritis, Knee",MESH:D020370,2,Resveratrol|rhoifolin,0,
axolemma,GO:0030673,"Osteoarthritis, Hip",MESH:D015207,0,,1,MAPT
axon,GO:0030424,Osteoarthritis,MESH:D010003,0,,7,ACTB|AGER|ATP1A3|CALCA|DPYSL2|TGFB1|VIM
axon,GO:0030424,"Osteoarthritis, Hip",MESH:D015207,0,,2,MAPT|SMO
axonal growth cone,GO:0044295,"Osteoarthritis, Hip",MESH:D015207,0,,2,MAPT|SMO
axon cytoplasm,GO:1904115,Osteoarthritis,MESH:D010003,0,,1,OPA1
axon cytoplasm,GO:1904115,"Osteoarthritis, Hip",MESH:D015207,0,,1,MAPT
axoneme,GO:0005930,"Osteoarthritis, Hip",MESH:D015207,0,,1,MAPT
azurophil granule lumen,GO:0035578,Osteoarthritis,MESH:D010003,0,,2,FTL|SDCBP
basal part of cell,GO:0045178,"Osteoarthritis, Hip",MESH:D015207,0,,1,HFE
basal plasma membrane,GO:0009925,Osteoarthritis,MESH:D010003,0,,1,AGER
basement membrane,GO:0005604,Osteoarthritis,MESH:D010003,0,,2,COL1A2|COL2A1
basement membrane,GO:0005604,"Osteoarthritis, Hip",MESH:D015207,0,,1,TNC
basement membrane,GO:0005604,Osteoarthritis with Mild Chondrodysplasia,MESH:C565740,0,,1,COL2A1
basement membrane,GO:0005604,SHORT STATURE AND ADVANCED BONE AGE WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS,OMIM:165800,0,,1,ACAN
basolateral plasma membrane,GO:0016323,Osteoarthritis,MESH:D010003,0,,3,EZR|MSN|SLC2A1
bBAF complex,GO:0140092,Osteoarthritis,MESH:D010003,0,,1,ACTB
bicellular tight junction,GO:0005923,Osteoarthritis,MESH:D010003,0,,1,PDCD6IP
blood microparticle,GO:0072562,Osteoarthritis,MESH:D010003,0,,1,TGFB1
brahma complex,GO:0035060,Osteoarthritis,MESH:D010003,0,,1,ACTB
brush border,GO:0005903,Osteoarthritis,MESH:D010003,0,,3,ACTB|CLIC1|EZR
calyx of Held,GO:0044305,Osteoarthritis,MESH:D010003,0,,2,ACTB|ATP1A3
catalytic complex,GO:1902494,Osteoarthritis,MESH:D010003,0,,2,P3H3|PDHA1
caveola,GO:0005901,Osteoarthritis,MESH:D010003,0,,2,PTGS2|SLC2A1
