GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
A band,GO:0031672,Parkinson Disease,MESH:D010300,0,,1,RPL6
acrosomal vesicle,GO:0001669,Parkinson Disease,MESH:D010300,0,,1,DRD2
acrosomal vesicle,GO:0001669,Parkinsonian Disorders,MESH:D020734,0,,1,DRD2
actin cytoskeleton,GO:0015629,Parkinson Disease,MESH:D010300,0,,3,MAP2|MLP60A|SNCA
actin cytoskeleton,GO:0015629,"PARKINSON DISEASE 1, AUTOSOMAL DOMINANT",OMIM:168601,0,,1,SNCA
actin cytoskeleton,GO:0015629,"Parkinson Disease 4, Autosomal Dominant Lewy Body",MESH:C565324,0,,1,SNCA
actin cytoskeleton,GO:0015629,"Parkinson Disease, Secondary",MESH:D010302,0,,1,SNCA
actin cytoskeleton,GO:0015629,Parkinsonian Disorders,MESH:D020734,0,,1,SNCA
actin filament,GO:0005884,Parkinson Disease,MESH:D010300,0,,1,AIF1
actin filament,GO:0005884,Parkinsonian Disorders,MESH:D020734,1,Cadmium,0,
actin filament bundle,GO:0032432,Parkinson Disease,MESH:D010300,1,Particulate Matter,1,KST
actin filament bundle,GO:0032432,Parkinsonian Disorders,MESH:D020734,1,Particulate Matter,0,
actomyosin contractile ring,GO:0005826,Parkinson Disease,MESH:D010300,0,,1,KST
aggresome,GO:0016235,Parkinson Disease,MESH:D010300,0,,3,HSPA1A|PRKN|SLC2A14
aggresome,GO:0016235,"Parkinson Disease, Secondary",MESH:D010302,0,,1,PRKN
aggresome,GO:0016235,Parkinsonian Disorders,MESH:D020734,0,,1,PRKN
alphav-beta3 integrin-IGF-1-IGF1R complex,GO:0035867,Parkinson Disease,MESH:D010300,0,,1,IGF1R
alveolar lamellar body,GO:0097208,Parkinson Disease,MESH:D010300,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,Parkinsonian Disorders,MESH:D020734,1,Particulate Matter,0,
amphisome,GO:0044753,Parkinson Disease,MESH:D010300,0,,1,LRRK2
amphisome,GO:0044753,"PARKINSON DISEASE 8, AUTOSOMAL DOMINANT",OMIM:607060,0,,1,LRRK2
amphisome,GO:0044753,Parkinsonian Disorders,MESH:D020734,0,,1,LRRK2
amyloid-beta complex,GO:0106003,Parkinson Disease,MESH:D010300,1,Paraquat,0,
amyloid-beta complex,GO:0106003,"Parkinson Disease, Secondary",MESH:D010302,1,Paraquat,0,
amyloid-beta complex,GO:0106003,Parkinsonian Disorders,MESH:D020734,1,Paraquat,0,
anchoring junction,GO:0070161,Parkinson Disease,MESH:D010300,0,,1,CNTNAP2
apical dendrite,GO:0097440,Parkinson Disease,MESH:D010300,0,,2,MAP2|PPARGC1A
apical distal dendrite,GO:0150014,Parkinson Disease,MESH:D010300,0,,1,MAP2
apical junction complex,GO:0043296,Parkinson Disease,MESH:D010300,0,,1,NECTIN2
apical part of cell,GO:0045177,Parkinson Disease,MESH:D010300,0,,1,HFE
apical part of cell,GO:0045177,"PARKINSONISM WITH SPASTICITY, X-LINKED",OMIM:300911,0,,1,ATP6AP2
apical plasma membrane,GO:0016324,AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1,OMIM:105500,0,,1,TRPM7
apical plasma membrane,GO:0016324,"Dystonia-Parkinsonism, Adult-Onset",MESH:C567844,0,,1,SLC39A14
