GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
actin cytoskeleton,GO:0015629,Pneumonia,MESH:D011014,0,,1,MYLK
actin filament,GO:0005884,Pneumonia,MESH:D011014,2,Cadmium|Cadmium Chloride,0,
actin filament bundle,GO:0032432,Bronchopneumonia,MESH:D001996,1,Particulate Matter,0,
actin filament bundle,GO:0032432,Pneumonia,MESH:D011014,1,Particulate Matter,0,
actin filament bundle,GO:0032432,"Pneumonia, Viral",MESH:D011024,1,Particulate Matter,0,
AIM2 inflammasome complex,GO:0097169,Pneumonia,MESH:D011014,0,,1,CASP1
alveolar lamellar body,GO:0097208,Bronchopneumonia,MESH:D001996,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,Pneumonia,MESH:D011014,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,"Pneumonia, Viral",MESH:D011024,1,Particulate Matter,0,
amyloid-beta complex,GO:0106003,Pneumonia,MESH:D011014,1,Paraquat,0,
apical part of cell,GO:0045177,Pneumonia,MESH:D011014,0,,1,SPP1
apical plasma membrane,GO:0016324,Pneumonia,MESH:D011014,0,,1,IL18
apoptotic body,GO:0097189,Pneumonia,MESH:D011014,7,"Arsenic|Asbestos, Crocidolite|Cadmium|Cadmium Chloride|Cisplatin|Indomethacin|Nickel",0,
aryl hydrocarbon receptor complex,GO:0034751,Pneumonia,MESH:D011014,0,,1,AHR
autolysosome,GO:0044754,Pneumonia,MESH:D011014,8,Cadmium|Cadmium Chloride|Cisplatin|Copper Sulfate|Dietary Fats|Paraquat|Sirolimus|Taurine,0,
autolysosome,GO:0044754,"Pneumonia, Pneumococcal",MESH:D011018,1,Rifampin,0,
autophagosome,GO:0005776,Pneumonia,MESH:D011014,11,Arsenic|Cadmium|Cadmium Chloride|Cisplatin|Copper Sulfate|Indomethacin|Nickel|Paraquat|Sirolimus|ST2825|Taurine,1,IL6ST
autophagosome,GO:0005776,"Pneumonia, Pneumocystis",MESH:D011020,1,Hydrogen Peroxide,0,
autophagosome membrane,GO:0000421,Pneumonia,MESH:D011014,0,,1,IL6ST
axon,GO:0030424,Pneumonia,MESH:D011014,0,,5,IL1R1|SIRT1|TGFB1|TNFRSF1A|TNFRSF1B
axon,GO:0030424,"Pneumonia, Pneumococcal",MESH:D011018,0,,2,MAPK1|SIRT1
axonal spine,GO:0044308,Pneumonia,MESH:D011014,2,Cadmium|Cadmium Chloride,0,
axon terminus,GO:0043679,Pneumonia,MESH:D011014,0,,1,CCL2
azurophil granule lumen,GO:0035578,"Pneumonia, Pneumococcal",MESH:D011018,0,,1,MAPK1
basal plasma membrane,GO:0009925,"Pneumonia, Viral",MESH:D011024,0,,1,ACE
blood microparticle,GO:0072562,Pneumonia,MESH:D011014,0,,1,TGFB1
brush border membrane,GO:0031526,"Pneumonia, Viral",MESH:D011024,0,,1,ACE
Cajal body,GO:0015030,Pneumonia,MESH:D011014,0,,1,PARP1
CatSper complex,GO:0036128,Pneumonia,MESH:D011014,1,bisphenol A,0,
caveola,GO:0005901,Pneumonia,MESH:D011014,0,,1,HMOX1
caveola,GO:0005901,"Pneumonia, Pneumococcal",MESH:D011018,0,,2,MAPK1|MAPK3
CD40 receptor complex,GO:0035631,Pneumonia,MESH:D011014,0,,2,IKBKB|TNFRSF1B
cell body,GO:0044297,Pneumonia,MESH:D011014,0,,3,CD40LG|CX3CL1|IL6ST
cell-cell junction,GO:0005911,Pneumonia,MESH:D011014,1,bisphenol A,1,MYLK
cell projection,GO:0042995,Pneumonia,MESH:D011014,1,Lipopolysaccharides,3,CD40LG|CX3CL1|SPP1
cell surface,GO:0009986,Pneumonia,MESH:D011014,0,,14,CCR6|CCR9|CD40LG|CX3CL1|CXCR2|CXCR3|IL1R1|IL2RB|ITGB2|MYD88|TGFB1|TLR4|TNF|TNFRSF1A
centrosome,GO:0005813,Pneumonia,MESH:D011014,0,,1,CCR6
centrosome,GO:0005813,"Pneumonia, Pneumococcal",MESH:D011018,0,,1,MAPK1
C-fiber,GO:0044299,Pneumonia,MESH:D011014,0,,1,CCL2
chromatin,GO:0000785,Pneumonia,MESH:D011014,0,,4,AHR|EGR1|PARP1|SIRT1
chromatin,GO:0000785,"Pneumonia, Pneumococcal",MESH:D011018,0,,1,SIRT1
chromatin silencing complex,GO:0005677,Pneumonia,MESH:D011014,0,,1,SIRT1
chromatin silencing complex,GO:0005677,"Pneumonia, Pneumococcal",MESH:D011018,0,,1,SIRT1
chromosome,GO:0005694,Pneumonia,MESH:D011014,0,,2,IL33|PARP1
ciliary basal body,GO:0036064,"Pneumonia, Pneumococcal",MESH:D011018,0,,2,MAPK1|MAPK3
ciliary neurotrophic factor receptor complex,GO:0070110,Pneumonia,MESH:D011014,0,,1,IL6ST
cilium,GO:0005929,"Pneumonia, Pneumococcal",MESH:D011018,0,,2,MAPK1|MAPK3
cleavage furrow,GO:0032154,Pneumonia,MESH:D011014,0,,1,MYLK
cochlear hair cell ribbon synapse,GO:0098683,Pneumonia,MESH:D011014,1,Cisplatin,0,
collagen-containing extracellular matrix,GO:0062023,Pneumonia,MESH:D011014,0,,1,TGFB1
cortical cytoskeleton,GO:0030863,"Pneumonia, Aspiration",MESH:D011015,0,,1,NOS2
cortical granule,GO:0060473,Pneumonia,MESH:D011014,1,Lipopolysaccharides,0,
creatine kinase complex,GO:0002185,Pneumonia,MESH:D011014,1,Taurine,0,
CRLF-CLCF1 complex,GO:0097058,Pneumonia,MESH:D011014,0,,1,IL6ST
cytoplasm,GO:0005737,Pneumonia,MESH:D011014,0,,22,ABCF1|AHR|CASP1|CCR1|CCR2|CXCR3|EGR1|IKBKB|IL13|IL18|IL1B|IL1R2|IL33|MYD88|MYLK|PARP1|PF4|POMC|SIRT1|SPP1|TGFB1|TLR4
cytoplasm,GO:0005737,"Pneumonia, Aspiration",MESH:D011015,0,,1,NOS2
cytoplasm,GO:0005737,"Pneumonia, Pneumococcal",MESH:D011018,0,,3,MAPK1|MAPK3|SIRT1
cytoplasm,GO:0005737,"Pneumonia, Viral",MESH:D011024,0,,1,ACE
cytoplasmic side of plasma membrane,GO:0009898,Pneumonia,MESH:D011014,0,,2,IKBKB|MYD88
cytoskeleton,GO:0005856,"Pneumonia, Pneumococcal",MESH:D011018,0,,2,MAPK1|MAPK3
cytosol,GO:0005829,Pneumonia,MESH:D011014,0,,13,ABCF1|AHR|CASP1|HMOX1|IKBKB|IL18|IL1B|IL2RB|IL6ST|MYD88|MYLK|PARP1|SIRT1
cytosol,GO:0005829,"Pneumonia, Aspiration",MESH:D011015,0,,1,NOS2
