GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
actin cytoskeleton,GO:0015629,Psoriasis,MESH:D011565,0,,1,RIGI
adherens junction,GO:0005912,Psoriasis,MESH:D011565,0,,1,VEGFA
aggresome,GO:0016235,Psoriasis,MESH:D011565,0,,1,CARD14
AP-1 adaptor complex,GO:0030121,Psoriasis,MESH:D011565,0,,1,AP1S3
apical part of cell,GO:0045177,Psoriasis,MESH:D011565,0,,1,REN
astrocyte projection,GO:0097449,Psoriasis,MESH:D011565,0,,1,GJB2
autolysosome,GO:0044754,Psoriasis,MESH:D011565,2,Calcitriol|Sirolimus,0,
autophagosome,GO:0005776,Psoriasis,MESH:D011565,1,Sirolimus,0,
axoneme,GO:0005930,Psoriasis,MESH:D011565,0,,1,PTTG1
azurophil granule lumen,GO:0035578,Psoriasis,MESH:D011565,0,,1,S100A7
azurophil granule membrane,GO:0035577,Psoriasis,MESH:D011565,0,,1,VNN1
basement membrane,GO:0005604,Psoriasis,MESH:D011565,0,,1,VEGFA
basolateral plasma membrane,GO:0016323,Psoriasis,MESH:D011565,0,,1,TGFA
bicellular tight junction,GO:0005923,Psoriasis,MESH:D011565,0,,1,RIGI
catalase complex,GO:0062151,Psoriasis,MESH:D011565,0,,1,CAT
cell body,GO:0044297,Psoriasis,MESH:D011565,0,,1,GJB2
cell junction,GO:0030054,Psoriasis,MESH:D011565,0,,2,GJB2|HCAR2
cell surface,GO:0009986,Parapsoriasis,MESH:D010267,0,,2,HLA-A|HLA-E
cell surface,GO:0009986,Psoriasis,MESH:D011565,0,,8,APOE|CP|HLA-C|IL12B|IL23R|TGFA|TNF|VEGFA
cellular_component,GO:0005575,Psoriasis,MESH:D011565,0,,4,CSMD1|LCE3C|LCE3D|ZC3H12C
centrosome,GO:0005813,Psoriasis,MESH:D011565,0,,2,PCNA|TP53
chromatin,GO:0000785,Psoriasis,MESH:D011565,0,,6,PCNA|PPARG|REL|RUNX3|STAT3|TP53
chromosome,GO:0005694,Psoriasis,MESH:D011565,0,,2,CARM1|MKI67
"chromosome, centromeric region",GO:0000775,Psoriasis,MESH:D011565,0,,1,MKI67
chylomicron,GO:0042627,Psoriasis,MESH:D011565,0,,1,APOE
chylomicron remnant,GO:0034360,Psoriasis,MESH:D011565,0,,1,APOE
cilium,GO:0005929,Psoriasis,MESH:D011565,0,,1,PTTG1
clathrin-coated endocytic vesicle membrane,GO:0030669,Psoriasis,MESH:D011565,0,,2,APOE|TGFA
clathrin-coated pit,GO:0005905,Psoriasis,MESH:D011565,0,,1,AP1S3
collagen-containing extracellular matrix,GO:0062023,Psoriasis,MESH:D011565,0,,1,S100A7
