GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,GO:0017086,Pulmonary Edema,MESH:D011654,1,Simvastatin,0,
actin cap,GO:0030478,Pulmonary edema of mountaineers,MESH:C535833,1,cobaltous chloride,0,
actin filament,GO:0005884,Pulmonary Edema,MESH:D011654,1,Cadmium,0,
actin filament bundle,GO:0032432,Pulmonary Edema,MESH:D011654,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,Pulmonary Edema,MESH:D011654,2,Acetylcysteine|Particulate Matter,0,
amyloid-beta complex,GO:0106003,Pulmonary Edema,MESH:D011654,2,ferulic acid|Paraquat,0,
apical part of cell,GO:0045177,Pulmonary Edema,MESH:D011654,0,,1,NOS3
apoptotic body,GO:0097189,Pulmonary Edema,MESH:D011654,7,Arsenic|Arsenic Trioxide|Cadmium|Glycyrrhizic Acid|Indomethacin|Nickel|Quercetin,0,
autolysosome,GO:0044754,Pulmonary Edema,MESH:D011654,11,Arsenic Trioxide|Cadmium|Calcitriol|Curcumin|Doxorubicin|Metformin|Methamphetamine|Oleic Acid|Paraquat|Sertraline|Sevoflurane,0,
autophagosome,GO:0005776,Pulmonary Edema,MESH:D011654,19,"Acetaminophen|Arsenic|Arsenic Trioxide|Berberine|Cadmium|Doxorubicin|Ethanol|ferulic acid|Indomethacin|Iohexol|lipopolysaccharide, E coli O55-B5|Lithium Chloride|Melatonin|Metformin|Methamphetamine|Nickel|Paraquat|Resveratrol|Sevoflurane",0,
axonal spine,GO:0044308,Pulmonary Edema,MESH:D011654,1,Cadmium,0,
axon terminus,GO:0043679,Pulmonary Edema,MESH:D011654,0,,1,GHRH
basolateral plasma membrane,GO:0016323,Pulmonary Edema,MESH:D011654,0,,1,TGFA
Cajal body,GO:0015030,Pulmonary Edema,MESH:D011654,0,,1,PARP1
cardiac Troponin complex,GO:1990584,Pulmonary Edema,MESH:D011654,2,Doxorubicin|Isoproterenol,0,
catalase complex,GO:0062151,Pulmonary Edema,MESH:D011654,0,,1,CAT
CatSper complex,GO:0036128,Pulmonary Edema,MESH:D011654,1,bisphenol A,0,
caveola,GO:0005901,Pulmonary Edema,MESH:D011654,0,,1,NOS3
cell-cell junction,GO:0005911,Pulmonary Edema,MESH:D011654,2,bisphenol A|Fluorouracil,0,
cell periphery,GO:0071944,Pulmonary Edema,MESH:D011654,0,,1,ADIPOQ
cell projection,GO:0042995,Pulmonary Edema,MESH:D011654,1,Lipopolysaccharides,0,
cell surface,GO:0009986,Pulmonary Edema,MESH:D011654,0,,3,ADIPOQ|TGFA|TNF
cellular_component,GO:0005575,Pulmonary Edema,MESH:D011654,0,,1,HSPA12B
chromatin,GO:0000785,Pulmonary Edema,MESH:D011654,0,,1,PARP1
chromosome,GO:0005694,Pulmonary Edema,MESH:D011654,0,,1,PARP1
clathrin-coated endocytic vesicle membrane,GO:0030669,Pulmonary Edema,MESH:D011654,0,,1,TGFA
collagen trimer,GO:0005581,Pulmonary Edema,MESH:D011654,0,,1,ADIPOQ
cortical granule,GO:0060473,Pulmonary Edema,MESH:D011654,2,Lipopolysaccharides|Resveratrol,0,
