GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,GO:0017086,Stroke,MESH:D020521,1,Simvastatin,0,
A band,GO:0031672,Stroke,MESH:D020521,0,,1,ANK2
actin filament,GO:0005884,Stroke,MESH:D020521,1,Cadmium,0,
actin filament bundle,GO:0032432,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
actin filament bundle,GO:0032432,Ischemic Stroke,MESH:D000083242,1,Particulate Matter,0,
actin filament bundle,GO:0032432,Stroke,MESH:D020521,1,Particulate Matter,0,
aggresome,GO:0016235,Stroke,MESH:D020521,1,Bortezomib,0,
alpha9-beta1 integrin-ADAM8 complex,GO:0071133,Stroke,MESH:D020521,0,,1,ITGB3
alphav-beta3 integrin-HMGB1 complex,GO:0035868,Stroke,MESH:D020521,0,,2,ITGAV|ITGB3
alphav-beta3 integrin-IGF-1-IGF1R complex,GO:0035867,Stroke,MESH:D020521,0,,2,ITGAV|ITGB3
alphav-beta3 integrin-PKCalpha complex,GO:0035866,Stroke,MESH:D020521,0,,2,ITGAV|ITGB3
alphav-beta3 integrin-vitronectin complex,GO:0071062,Stroke,MESH:D020521,0,,1,ITGB3
alveolar lamellar body,GO:0097208,Hemorrhagic Stroke,MESH:D000083302,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,Ischemic Stroke,MESH:D000083242,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,Stroke,MESH:D020521,1,Particulate Matter,0,
anchoring junction,GO:0070161,Stroke,MESH:D020521,0,,1,SH3PXD2A
apical part of cell,GO:0045177,Ischemic Stroke,MESH:D000083242,0,,2,NOS3|PLAT
apical part of cell,GO:0045177,Stroke,MESH:D020521,0,,1,PLAT
apical plasma membrane,GO:0016324,Heat Stroke,MESH:D018883,0,,1,IL6RA
apical plasma membrane,GO:0016324,Stroke,MESH:D020521,0,,3,ANK2|ITGB3|PRKAA2
apoptotic body,GO:0097189,Ischemic Stroke,MESH:D000083242,1,Cisplatin,0,
