GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
actin cap,GO:0030478,Paratuberculosis,MESH:D010283,0,,1,GSN
actin cytoskeleton,GO:0015629,Paratuberculosis,MESH:D010283,0,,1,GSN
actin cytoskeleton,GO:0015629,Tuberculosis,MESH:D014376,0,,1,CORO1A
actin filament,GO:0005884,Tuberculosis,MESH:D014376,0,,1,CORO1A
actin filament bundle,GO:0032432,"Mycobacterium tuberculosis, susceptibility to infection by",MESH:C536092,1,Particulate Matter,0,
actin filament bundle,GO:0032432,"Tuberculosis, Pulmonary",MESH:D014397,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,"Mycobacterium tuberculosis, susceptibility to infection by",MESH:C536092,1,Particulate Matter,0,
alveolar lamellar body,GO:0097208,"Tuberculosis, Pulmonary",MESH:D014397,1,Particulate Matter,0,
apical ectoplasmic specialization,GO:0061831,Paratuberculosis,MESH:D010283,0,,1,GSN
apical plasma membrane,GO:0016324,Paratuberculosis,MESH:D010283,0,,1,TF
apoptotic body,GO:0097189,"Tuberculosis, Pulmonary",MESH:D014397,1,Arsenic,0,
autolysosome,GO:0044754,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,1,IRGM
autolysosome,GO:0044754,Tuberculosis,MESH:D014376,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Central Nervous System",MESH:D020306,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Gastrointestinal",MESH:D014385,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Lymph Node",MESH:D014388,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Meningeal",MESH:D014390,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Multidrug-Resistant",MESH:D018088,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Pleural",MESH:D014396,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Pulmonary",MESH:D014397,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Renal",MESH:D014398,1,Rifampin,0,
autolysosome,GO:0044754,"Tuberculosis, Spinal",MESH:D014399,1,Rifampin,0,
autophagosome,GO:0005776,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,1,IRGM
autophagosome,GO:0005776,"Tuberculosis, Pulmonary",MESH:D014397,1,Arsenic,0,
autophagosome membrane,GO:0000421,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,1,IRGM
axon,GO:0030424,Tuberculosis,MESH:D014376,0,,1,CORO1A
axon terminus,GO:0043679,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,1,CCL2
axon terminus,GO:0043679,"Tuberculosis, Pulmonary",MESH:D014397,0,,1,CCL2
azurophil granule lumen,GO:0035578,Paratuberculosis,MESH:D010283,0,,1,C3
basal ectoplasmic specialization,GO:0061832,Paratuberculosis,MESH:D010283,0,,1,GSN
basal part of cell,GO:0045178,Paratuberculosis,MESH:D010283,0,,1,TF
basal plasma membrane,GO:0009925,Paratuberculosis,MESH:D010283,0,,1,TF
basement membrane,GO:0005604,Paratuberculosis,MESH:D010283,0,,1,TF
blood microparticle,GO:0072562,Paratuberculosis,MESH:D010283,0,,1,C1R
blood microparticle,GO:0072562,Tuberculosis,MESH:D014376,0,,1,HP
cell body,GO:0044297,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,1,TLR2
cell body,GO:0044297,"Tuberculosis, Pulmonary",MESH:D014397,0,,1,MMP3
cell-cell junction,GO:0005911,Tuberculosis,MESH:D014376,0,,1,CORO1A
cell cortex,GO:0005938,Tuberculosis,MESH:D014376,0,,1,CORO1A
cell leading edge,GO:0031252,Tuberculosis,MESH:D014376,0,,1,CORO1A
cell projection,GO:0042995,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,2,IRGM|TLR2
cell surface,GO:0009986,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",OMIM:607948,0,,3,CD209|TIRAP|TLR2
cell surface,GO:0009986,Paratuberculosis,MESH:D010283,0,,3,AOC3|C3|TF
cell surface,GO:0009986,Tuberculosis,MESH:D014376,0,,1,TIRAP
cell surface,GO:0009986,"Tuberculosis, Pulmonary",MESH:D014397,0,,2,CD209|MMP7
cell tip,GO:0051286,Paratuberculosis,MESH:D010283,0,,1,TF
centriolar satellite,GO:0034451,"Tuberculosis, Pulmonary",MESH:D014397,0,,1,ASAP1
