GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
14-3-3 protein binding,GO:0071889,Alzheimer Disease,MESH:D000544,0,,1,ESR1
1-phosphatidylinositol binding,GO:0005545,Alzheimer Disease,MESH:D000544,0,,1,PICALM
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Alzheimer Disease,MESH:D000544,1,Curcumin,0,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,Alzheimer Disease,MESH:D000544,2,Curcumin|Indomethacin,0,
3-hydroxybutyrate dehydrogenase activity,GO:0003858,Alzheimer Disease,MESH:D000544,1,Copper Sulfate,0,
3-phosphoinositide-dependent protein kinase activity,GO:0004676,Alzheimer Disease,MESH:D000544,0,,1,GSK3B
3-phosphoinositide-dependent protein kinase binding,GO:0043423,Alzheimer Disease,MESH:D000544,0,,2,INSR|PTK2B
5'-nucleotidase activity,GO:0008253,Alzheimer Disease,MESH:D000544,1,Streptozocin,0,
ABC-type transporter activity,GO:0140359,Alzheimer Disease,MESH:D000544,0,,1,ABCA7
ABC-type transporter activity,GO:0140359,Alzheimer Disease 9,MESH:C563834,0,,1,ABCA7
ABC-type xenobiotic transporter activity,GO:0008559,Alzheimer Disease,MESH:D000544,1,Dronabinol,0,
acetylcholine binding,GO:0042166,Alzheimer Disease,MESH:D000544,0,,3,ACHE|CHRNA7|CHRNB2
acetylcholine-gated monoatomic cation-selective channel activity,GO:0022848,Alzheimer Disease,MESH:D000544,2,Dronabinol|Nicotine,2,CHRNA7|CHRNB2
acetylcholine receptor activator activity,GO:0030549,Alzheimer Disease,MESH:D000544,0,,1,APP
acetylcholine receptor activity,GO:0015464,Alzheimer Disease,MESH:D000544,0,,2,CHRNA7|CHRNB2
acetylcholine receptor binding,GO:0033130,Alzheimer Disease,MESH:D000544,0,,1,APP
acetylcholinesterase activity,GO:0003990,Alzheimer Disease,MESH:D000544,13,"Acetylcholine|Aluminum|Aluminum Chloride|Dronabinol|Ellagic Acid|Melatonin|Metals, Heavy|Particulate Matter|Plant Extracts|Reserpine|Rivastigmine|Scopolamine|Sodium Fluoride",3,ACE|ACHE|BCHE
acetyl-CoA carboxylase activity,GO:0003989,Alzheimer Disease,MESH:D000544,2,Glucose|Resveratrol,0,
acid phosphatase activity,GO:0003993,Alzheimer Disease,MESH:D000544,10,Cadmium|Copper Sulfate|cupric chloride|Curcumin|Fluorides|Folic Acid|Iron|Plant Extracts|Resveratrol|Streptozocin,0,
aconitate hydratase activity,GO:0003994,Alzheimer Disease,MESH:D000544,3,Hydrogen Peroxide|Streptozocin|Zinc,0,
actin binding,GO:0003779,Alzheimer Disease,MESH:D000544,0,,8,ABCA7|ACE|ARC|CD2AP|MAPT|NCK2|NOS3|SLC30A6
actin binding,GO:0003779,Alzheimer Disease 9,MESH:C563834,0,,1,ABCA7
actin filament binding,GO:0051015,Alzheimer Disease,MESH:D000544,0,,3,ABI3|BIN1|CD2AP
actin monomer binding,GO:0003785,Alzheimer Disease,MESH:D000544,0,,1,NOS3
active monoatomic ion transmembrane transporter activity,GO:0022853,Alzheimer Disease,MESH:D000544,1,Nicotine,0,
adenosine deaminase activity,GO:0004000,Alzheimer Disease,MESH:D000544,1,Zinc,0,
adenylate cyclase activator activity,GO:0010856,Alzheimer Disease,MESH:D000544,0,,1,CALM1
adenylate cyclase activity,GO:0004016,Alzheimer Disease,MESH:D000544,1,Dronabinol,0,
adenylate cyclase binding,GO:0008179,Alzheimer Disease,MESH:D000544,0,,2,CALM1|CHRNA7
adenylate kinase activity,GO:0004017,Alzheimer Disease,MESH:D000544,1,Berberine,0,
ADP binding,GO:0043531,Alzheimer Disease,MESH:D000544,0,,1,ATP5F1A
adrenergic receptor activity,GO:0004935,Alzheimer Disease,MESH:D000544,1,Nicotine,0,
alcohol dehydrogenase (NAD+) activity,GO:0004022,Alzheimer Disease,MESH:D000544,1,Curcumin,0,
aldehyde dehydrogenase [NAD(P)+] activity,GO:0004030,Alzheimer Disease,MESH:D000544,1,Plant Extracts,0,
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,Alzheimer Disease,MESH:D000544,3,Berberine|Galactose|Streptozocin,0,
alkaline phosphatase activity,GO:0004035,Alzheimer Disease,MESH:D000544,24,"Aluminum Chloride|Amphotericin B|Cadmium|Cannabidiol|Colchicine|Curcumin|Ellagic Acid|Fluorides|Folic Acid|Glucose|Homocysteine|Hydrogen Peroxide|Nanotubes, Carbon|Niacin|Nicotine|Paroxetine|Plant Extracts|Raloxifene Hydrochloride|Resveratrol|Rosiglitazone|Sodium Fluoride|Streptozocin|Tadalafil|Zinc",0,
alpha-actinin binding,GO:0051393,Alzheimer Disease,MESH:D000544,0,,1,PPARG
alpha-amylase activity,GO:0004556,Alzheimer Disease,MESH:D000544,3,Berberine|Curcumin|Resveratrol,0,
alpha-glucosidase activity,GO:0090599,Alzheimer Disease,MESH:D000544,1,Berberine,0,
alpha-mannosidase activity,GO:0004559,Alzheimer Disease,MESH:D000544,1,Plant Preparations,0,
aminopeptidase activity,GO:0004177,Alzheimer Disease,MESH:D000544,5,Dichlorodiphenyl Dichloroethylene|Glucose|Hydrogen Peroxide|Streptozocin|Zinc,0,
