GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity,GO:0003845,Asthma,MESH:D001249,0,,1,HSD11B2
"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding",GO:0071886,Asthma,MESH:D001249,0,,1,HTR2A
1-alkyl-2-acetylglycerophosphocholine esterase activity,GO:0003847,Asthma,MESH:D001249,0,,1,PLA2G7
"3',5'-cyclic-AMP phosphodiesterase activity",GO:0004115,Asthma,MESH:D001249,0,,2,PDE4B|PDE4D
"3',5'-cyclic-nucleotide phosphodiesterase activity",GO:0004114,Asthma,MESH:D001249,0,,2,PDE4B|PDE4D
3'-5' exonuclease activity,GO:0008408,Asthma,MESH:D001249,0,,1,RAD50
3-hydroxybutyrate dehydrogenase activity,GO:0003858,Asthma,MESH:D001249,1,Arsenic Trioxide,0,
4-nitrophenol 2-monooxygenase activity,GO:0018601,Asthma,MESH:D001249,0,,1,CYP2E1
5'-nucleotidase activity,GO:0008253,Asthma,MESH:D001249,4,Benzo(a)pyrene|bisphenol A|geraniol|Streptozocin,0,
ABC-type transporter activity,GO:0140359,Asthma,MESH:D001249,1,Dietary Fats,0,
ABC-type xenobiotic transporter activity,GO:0008559,Asthma,MESH:D001249,1,verlukast,0,
acetylcholinesterase activity,GO:0003990,Asthma,MESH:D001249,10,Acetylcholine|Aluminum Hydroxide|bisphenol A|epigallocatechin gallate|Hexachlorocyclohexane|Organophosphates|Particulate Matter|Pesticides|Tretinoin|Vehicle Emissions,0,
acetyl-CoA carboxylase activity,GO:0003989,Asthma,MESH:D001249,3,bisphenol A|Dietary Fats|Resveratrol,0,
acetyltransferase activity,GO:0016407,Asthma,MESH:D001249,0,,1,NAT1
acid phosphatase activity,GO:0003993,Asthma,MESH:D001249,11,Arsenic|Arsenic Trioxide|Benzo(a)pyrene|bisphenol A|Cadmium|Glyphosate|phenanthrene|Polycyclic Aromatic Hydrocarbons|pyrene|Resveratrol|Streptozocin,0,
aconitate hydratase activity,GO:0003994,Asthma,MESH:D001249,5,bisphenol A|Dietary Fats|Paraquat|Streptozocin|Zinc,0,
actin binding,GO:0003779,Asthma,MESH:D001249,0,,1,NOS2
actin filament binding,GO:0051015,Asthma,MESH:D001249,1,Histamine,1,CTNNA3
actin filament binding,GO:0051015,"Asthma, Aspirin-Induced",MESH:D055963,1,Histamine,0,
acyl-CoA oxidase activity,GO:0003997,Asthma,MESH:D001249,1,perfluoro-n-nonanoic acid,0,
acyl-CoA oxidase activity,GO:0003997,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 8",OMIM:613207,1,perfluoro-n-nonanoic acid,0,
acylphosphatase activity,GO:0003998,Asthma,MESH:D001249,1,Glutathione,0,
adenosine deaminase activity,GO:0004000,Asthma,MESH:D001249,1,Zinc,0,
adenylate cyclase activity,GO:0004016,Asthma,MESH:D001249,0,,1,ADCY2
adenylate cyclase binding,GO:0008179,Asthma,MESH:D001249,0,,2,ADCY2|ADCYAP1R1
adenylate kinase activity,GO:0004017,Asthma,MESH:D001249,1,Mustard Gas,0,
ADP phosphatase activity,GO:0043262,Asthma,MESH:D001249,1,bisphenol A,0,
adrenergic receptor activity,GO:0004935,Asthma,MESH:D001249,1,Dexamethasone,0,
advanced glycation end-product receptor activity,GO:0050785,Asthma,MESH:D001249,0,,1,AGER
advanced glycation end-product receptor activity,GO:0050785,"Asthma, Occupational",MESH:D059366,0,,1,AGER
aldehyde dehydrogenase (NAD+) activity,GO:0004029,Asthma,MESH:D001249,0,,1,ALDH2
aldehyde dehydrogenase [NAD(P)+] activity,GO:0004030,Asthma,MESH:D001249,2,Acetaldehyde|Captan,1,ALDH2
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,Asthma,MESH:D001249,1,Streptozocin,0,
alkaline phosphatase activity,GO:0004035,Asthma,MESH:D001249,25,Acetaldehyde|Acetaminophen|Arsenic|Arsenic Trioxide|Benzo(a)pyrene|bisphenol A|Cadmium|Carbon Tetrachloride|Dexamethasone|Dietary Fats|epigallocatechin gallate|Epinephrine|Hydrogen Sulfide|Malathion|Mercury|Methotrexate|montelukast|pendimethalin|Phenobarbital|Prednisolone|pyrazolanthrone|Resveratrol|Streptozocin|Vitamin A|Zinc,0,
alkaline phosphatase activity,GO:0004035,"Asthma, Aspirin-Induced",MESH:D055963,1,montelukast,0,
alkaline phosphatase activity,GO:0004035,"Asthma, Exercise-Induced",MESH:D001250,1,montelukast,0,
alkaline phosphatase activity,GO:0004035,Status Asthmaticus,MESH:D013224,3,Ampicillin|Epinephrine|Prednisolone,0,
alkane 1-monooxygenase activity,GO:0018685,Asthma,MESH:D001249,1,Phenobarbital,0,
alpha-amylase activity,GO:0004556,Asthma,MESH:D001249,2,Resveratrol|Synephrine,0,
alpha-L-arabinofuranosidase activity,GO:0046556,Asthma,MESH:D001249,0,,1,IL33
alpha-mannosidase activity,GO:0004559,Asthma,MESH:D001249,1,Plant Preparations,0,
alpha-mannosidase activity,GO:0004559,"Asthma, Occupational",MESH:D059366,1,Plant Preparations,0,
aminoacylase activity,GO:0004046,Asthma,MESH:D001249,0,,1,CAT
aminopeptidase activity,GO:0004177,Asthma,MESH:D001249,3,geraniol|Streptozocin|Zinc,0,
AMP-activated protein kinase activity,GO:0004679,Asthma,MESH:D001249,11,Arsenic Trioxide|bisphenol A|Carbon Disulfide|Dietary Fats|Emodin|geraniol|Hydrogen Sulfide|Permethrin|Resveratrol|Soot|Streptozocin,0,
amylase activity,GO:0016160,Asthma,MESH:D001249,3,Cadmium|Dexamethasone|Streptozocin,0,
amyloid-beta binding,GO:0001540,Asthma,MESH:D001249,0,,1,AGER
amyloid-beta binding,GO:0001540,"Asthma, Occupational",MESH:D059366,0,,1,AGER
anaphase-promoting complex binding,GO:0010997,Asthma,MESH:D001249,0,,1,PTEN
antigen binding,GO:0003823,Asthma,MESH:D001249,0,,1,TGFB1
antigen binding,GO:0003823,"Asthma, Occupational",MESH:D059366,0,,1,TGFB1
antioxidant activity,GO:0016209,Asthma,MESH:D001249,10,Aluminum Hydroxide|Arsenic Trioxide|bisphenol A|Carbon Tetrachloride|Dietary Fats|Glutathione|Isoproterenol|Particulate Matter|perfluorooctane sulfonic acid|Tretinoin,2,CAT|SOD1
antioxidant activity,GO:0016209,Status Asthmaticus,MESH:D013224,1,Isoproterenol,0,
AP-1 adaptor complex binding,GO:0035650,"Asthma, Occupational",MESH:D059366,1,Silicon Dioxide,0,
arachidonate 12(S)-lipoxygenase activity,GO:0004052,Asthma,MESH:D001249,0,,1,ALOX5
arachidonate 5-lipoxygenase activity,GO:0004051,Asthma,MESH:D001249,0,,1,ALOX5
arachidonate 8(S)-lipoxygenase activity,GO:0036403,Asthma,MESH:D001249,0,,1,ALOX5
arachidonic acid epoxygenase activity,GO:0008392,Asthma,MESH:D001249,0,,2,ALOX5|CYP2E1
arachidonic acid omega-hydroxylase activity,GO:0052869,Asthma,MESH:D001249,0,,1,HMOX1
arginase activity,GO:0004053,Asthma,MESH:D001249,3,bisphenol A|Streptozocin|Zinc,2,ARG1|ARG2
arginine binding,GO:0034618,Asthma,MESH:D001249,0,,1,NOS2
aromatase activity,GO:0070330,Asthma,MESH:D001249,0,,1,CYP2E1
arrestin family protein binding,GO:1990763,Asthma,MESH:D001249,1,Leukotriene D4,0,
arylamine N-acetyltransferase activity,GO:0004060,Asthma,MESH:D001249,0,,1,NAT1
arylesterase activity,GO:0004064,Asthma,MESH:D001249,1,Parathion,0,
aryl sulfotransferase activity,GO:0004062,Asthma,MESH:D001249,1,Acetaminophen,0,
ATP-activated inward rectifier potassium channel activity,GO:0015272,Asthma,MESH:D001249,1,Zinc,0,
ATPase binding,GO:0051117,Asthma,MESH:D001249,0,,1,PDE4D
ATP binding,GO:0005524,Asthma,MESH:D001249,0,,6,ADCY2|DNAH5|KIF3A|PARP1|PPP2CA|RAD50
ATP binding,GO:0005524,"Asthma, Occupational",MESH:D059366,0,,2,PRKCA|PRKD1
ATP binding,GO:0005524,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 5",OMIM:611064,0,,1,IRAK3
ATP-dependent activity,GO:0140657,Asthma,MESH:D001249,3,Arsenic|bisphenol A|Streptozocin,0,
ATP-dependent peptidase activity,GO:0004176,Asthma,MESH:D001249,0,,1,PARP1
ATP hydrolysis activity,GO:0016887,Asthma,MESH:D001249,14,Acetaminophen|Arsenic|Arsenic Trioxide|bisphenol A|Cadmium|Dietary Fats|epigallocatechin gallate|Malathion|Particulate Matter|pyrazolanthrone|Resveratrol|Soot|Streptozocin|Vehicle Emissions,3,DNAH5|PARP1|RAD50
